Owner	Jeff Peterson
Export	Personal contacts
Source	Google Contacts

Name	Relationship	Preferred	Phone	Email
Cody Brewer	Girlfriend	Text	(307) 555-0142	cody.brewer.guide@gmail.com
Kyle Peterson	Brother	Text	(307) 555-0153	kyle.peterson.fish@gmail.com
Tom Peterson	Father	Call	(406) 555-0164	tom.peterson@outlook.com
Linda Peterson	Mother	Call	(406) 555-0175	linda.peterson@outlook.com
Jake Tanner	Patrol director	Text or email	(307) 555-0186	jtanner@tetonsummit.com
Jake Hoffman	Patrol partner	Text	(307) 555-0285	jake.hoffman@tetonsummit.com
Dr. Amy Oakes	Team physician	Email	(307) 555-0197	aoakes@tetonorthopedics.com
Dr. Sarah Vance	Vet	Call	(307) 555-0208	frontdesk@jacksonanimalhospital.com
Bill Hensley	Landlord	Text	(307) 555-0219	
Summit Alpine Guides	Guiding dispatch	Call	(307) 555-0230	info@summitalpineguides.com
Snow King Fitness	Gym	Call	(307) 555-0241	
Bridger-Teton Avalanche Center	Avalanche center	Call	(307) 555-0252	btac@avalanche.org
Mike Reilly	Teton County SAR coordinator	Call	(307) 555-0263	mreilly@tetoncountysar.org
Cowboy Coffee Roasters	Coffee	Call	(307) 555-0274	
