id,username,full_name,email,initials
mem_001,angelapham,Angela Pham,,
mem_002,rajchand,Raj Chandrasekaran,,
mem_003,angelapham,Raj Chandrasekaran,neha.malhotra@gmail.com,Slides are in three versions still.
mem_004,angelapham,Angela Pham,duc.park@icloud.com,Pushed the milestone by two days.
mem_005,angelapham,Raj Chandrasekaran,mai.reddy@icloud.com,"Prep is done, sending notes."
mem_006,rajchand,Angela Pham,liam.vo@icloud.com,Weather looks clear for the cook.
mem_007,angelapham,Raj Chandrasekaran,lisa.le@yahoo.com,Pushed the milestone by two days.
mem_008,angelapham,Raj Chandrasekaran,bao.ho@gmail.com,Slides are in three versions still.
mem_009,angelapham,Angela Pham,arjun.doyle@icloud.com,Confirming for the schedule.
mem_010,angelapham,Angela Pham,priya.bennett@outlook.com,"Prep is done, sending notes."
mem_011,rajchand,Raj Chandrasekaran,pooja.murray@yahoo.com,Handled and logged.
mem_012,angelapham,Angela Pham,lisa.nguyen@gmail.com,Weather looks clear for the cook.
mem_013,angelapham,Angela Pham,anil.murray@gmail.com,Shipment tracking looks on time.
mem_014,angelapham,Angela Pham,amit.bennett@outlook.com,Shipment tracking looks on time.
mem_015,rajchand,Angela Pham,trang.murray@outlook.com,Reminder that this is time sensitive.
mem_016,rajchand,Angela Pham,hung.park@outlook.com,Moved this to next week.
mem_017,angelapham,Angela Pham,trang.bui@icloud.com,Need a fourth for Saturday.
mem_018,rajchand,Raj Chandrasekaran,arjun.le@gmail.com,Pushed the milestone by two days.
mem_019,angelapham,Raj Chandrasekaran,sean.patel@gmail.com,Moved this to next week.
mem_020,rajchand,Angela Pham,khanh.hayes@outlook.com,Reconciled against the bank feed.
mem_021,rajchand,Angela Pham,ethan.walsh@gmail.com,Confirming for the schedule.
mem_022,rajchand,Raj Chandrasekaran,grace.patel@gmail.com,Need a fourth for Saturday.
mem_023,rajchand,Raj Chandrasekaran,rachel.johnson@yahoo.com,Reconciled against the bank feed.
mem_024,angelapham,Raj Chandrasekaran,nam.bennett@gmail.com,Reminder that this is time sensitive.
mem_025,angelapham,Raj Chandrasekaran,vinh.doyle@outlook.com,Labs came back slightly elevated.
mem_026,rajchand,Angela Pham,laura.doan@outlook.com,Reconciled against the bank feed.
mem_027,angelapham,Angela Pham,ryan.sharma@yahoo.com,Slides are in three versions still.
mem_028,rajchand,Angela Pham,grace.okonkwo@gmail.com,Labs came back slightly elevated.
mem_029,rajchand,Angela Pham,hung.chen@gmail.com,"Party is on the 3rd, planning now."
mem_030,rajchand,Angela Pham,chi.reddy@yahoo.com,Following up on the earlier note.
mem_031,angelapham,Raj Chandrasekaran,vinh.reddy@yahoo.com,Moved this to next week.
mem_032,rajchand,Angela Pham,thao.malhotra@gmail.com,Moved this to next week.
mem_033,angelapham,Angela Pham,khanh.park@icloud.com,Flagging this for confirmation.
mem_034,rajchand,Raj Chandrasekaran,marcus.pham@yahoo.com,Numbers attached for review.
mem_035,rajchand,Raj Chandrasekaran,sean.pearson@yahoo.com,Let me know if this works.
mem_036,rajchand,Raj Chandrasekaran,bao.obrien@yahoo.com,Numbers attached for review.
mem_037,rajchand,Angela Pham,tyler.dang@gmail.com,Labs came back slightly elevated.
mem_038,angelapham,Raj Chandrasekaran,laura.okonkwo@yahoo.com,Shipment tracking looks on time.
mem_039,angelapham,Raj Chandrasekaran,andrew.reddy@yahoo.com,Let me know if this works.
mem_040,rajchand,Angela Pham,chris.dang@outlook.com,Flagging this for confirmation.
mem_041,angelapham,Raj Chandrasekaran,andrew.chen@gmail.com,Weather looks clear for the cook.
mem_042,angelapham,Angela Pham,lan.chen@outlook.com,Let me know if this works.
mem_043,rajchand,Raj Chandrasekaran,nina.bui@icloud.com,Handled and logged.
mem_044,rajchand,Raj Chandrasekaran,chloe.williams@outlook.com,Handled and logged.
mem_045,angelapham,Angela Pham,marcus.kim@yahoo.com,Shipment tracking looks on time.
mem_046,rajchand,Angela Pham,kavya.tran@outlook.com,"Party is on the 3rd, planning now."
mem_047,rajchand,Angela Pham,sanjay.smith@outlook.com,Handled and logged.
mem_048,rajchand,Angela Pham,arjun.le@icloud.com,"Party is on the 3rd, planning now."
mem_049,rajchand,Angela Pham,emily.webb@yahoo.com,Shipment tracking looks on time.
mem_050,angelapham,Angela Pham,ethan.do@gmail.com,Shipment tracking looks on time.
mem_051,rajchand,Raj Chandrasekaran,ethan.bui@gmail.com,Flagging this for confirmation.
mem_052,rajchand,Angela Pham,grace.foster@gmail.com,Weather looks clear for the cook.
mem_053,rajchand,Raj Chandrasekaran,sarah.pham@icloud.com,Flagging this for confirmation.
