id,name,login,role,status,language,timezone,space_amount,space_used,max_upload_size,job_title,phone,created_at
usr_box_fritz,Fritz Rush,fritz.rush@Finthesiss.ai,coadmin,active,en,America/New_York,107374182400,4231843328,5368709120,PID Fellow,,2024-08-01T09:00:00Z
usr_box_sarah,Sarah Kelley,sarah.kelley@gmail.com,coadmin,active,en,America/Denver,107374182400,2841834728,5368709120,co-PI RTS-S,,2024-09-01T09:00:00Z
usr_box_kevin,Kevin Osborne,kosborne@gmail.com,coadmin,active,en,America/New_York,107374182400,1841284728,5368709120,Division Chief PID,,2024-08-01T09:00:00Z
usr_box_janet,Janet Atkins,janet.atkins@gmail.com,user,active,en,America/New_York,107374182400,1024483712,5368709120,PID Fellow,,2024-08-01T09:00:00Z
usr_box_akpan,Akpan Idongesit,akpan.idongesit@glenwood.edu,user,active,en,America/New_York,107374182400,942174720,5368709120,Manuscript Co-author,,2024-08-01T09:00:00Z
usr_box_marcus_bell,Marcus Bell,marcus.bell@glenwood.edu,user,active,en,America/New_York,107374182400,412834816,5368709120,PID Attending,,2024-08-01T09:00:00Z
usr_box_kwame,Kwame Osei-Adu,ghana-kintampo-pi@rtss-multisite.org,user,active,en,Africa/Accra,107374182400,824172032,5368709120,Kintampo Site PI,,2024-09-01T09:00:00Z
usr_box_amina_wanjiku,Amina Wanjiku,kilifi-fieldcoord@rtss-multisite.org,user,active,en,Africa/Nairobi,107374182400,742184320,5368709120,Kilifi Field Coord,,2024-09-01T09:00:00Z
usr_box_domingos,Domingos Rodrigues,manhica-site-pi@rtss-multisite.org,user,active,en,Africa/Maputo,107374182400,624180224,5368709120,Manhica Site PI,,2024-09-01T09:00:00Z
usr_box_ibrahim,Ibrahim Ouedraogo,nanoro-site-pi@rtss-multisite.org,user,active,en,Africa/Ouagadougou,107374182400,584294912,5368709120,Nanoro Site PI,,2024-09-01T09:00:00Z
usr_box_fatuma,Fatuma Mwakumbi,bagamoyo-site-pi@rtss-multisite.org,user,active,en,Africa/Dar_es_Salaam,107374182400,764281856,5368709120,Bagamoyo Site PI,,2024-09-01T09:00:00Z
usr_box_adam_sartain,Adam Sartain,adam.sartain@glenwood.edu,user,active,en,America/New_York,107374182400,124194304,5368709120,Grants Office,,2025-01-15T09:00:00Z
usr_box_devon_sharpe,Devon Sharpe,devon.sharpe@glenwood.edu,user,active,en,America/New_York,107374182400,182427648,5368709120,IRB Coordinator,,2025-01-15T09:00:00Z
