id,name,email,avatar_url,type,bot,owner_workspace,created_time
u_matt,Matt Coleman,matt.coleman@Finthesiss.ai,,person,false,Grace Church,2024-01-15T10:00:00Z
u_pdh,Pastor David Henning,pastor@gracechurchelpaso.org,,person,false,Grace Church,2024-01-15T10:00:00Z
u_fh,Frank Herrera,frank.herrera@gracechurchelpaso.org,,person,false,Grace Church,2024-01-15T10:00:00Z
u_rv,Rosa Villarreal,rosa.villarreal@gmail.com,,person,false,Grace Church,2024-02-10T09:30:00Z
u_sa,Sofia Coleman-Alarcon,sofia.alarcon@gmail.com,,person,false,Grace Church,2024-05-01T14:00:00Z
u_carlos,Carlos Coleman,carlos.coleman@gmail.com,,person,false,Grace Church,2024-06-01T09:00:00Z
u_lupe,Lupe Coleman-Reyes,lupe.coleman@gmail.com,,person,false,Grace Church,2024-07-14T11:20:00Z
u_lorena,Lorena Castillo,lorena.castillo@gmail.com,,person,false,Grace Church,2024-08-05T13:45:00Z
u_diego,Diego Alarcon,diego.alarcon@gmail.com,,person,false,Grace Church,2024-08-20T10:30:00Z
u_jamie,Jamie Morales,jamie.morales@gmail.com,,person,false,Grace Church,2024-09-01T15:00:00Z
u_deacon_maria,Deacon Maria Solis,maria.solis@gracechurchelpaso.org,,person,false,Grace Church,2024-09-15T09:00:00Z
u_deacon_ruth,Deacon Ruth Aguirre,ruth.aguirre@gracechurchelpaso.org,,person,false,Grace Church,2024-09-15T09:15:00Z
u_admin,Grace Church Admin,office@gracechurchelpaso.org,,person,false,Grace Church,2024-01-15T10:00:00Z
u_treasurer,Frank Herrera (Treasurer role),frank.herrera@gracechurchelpaso.org,,person,false,Grace Church,2024-01-15T10:00:00Z
u_bot_reminder,Reminder Bot,,,bot,true,Grace Church,2024-01-15T10:00:00Z
