Date	Description	Debit_USD	Credit_USD	Balance_USD
2026-01-01	Balance Forward			37990.00
2026-01-02	Federal Pension Deposit		1800.00	39790.00
2026-01-02	Montgomery County Property Tax ACH	480.00		39310.00
2026-01-03	Nationwide Insurance Premium ACH	145.00		39165.00
2026-01-04	State Farm Auto Insurance ACH	109.85		39055.15
2026-01-04	AARP UnitedHealthcare Medicare Prem.	209.78		38845.37
2026-01-06	Dominion Energy ACH	198.40		38646.97
2026-01-07	Washington Suburban Sanitary Comm.	54.80		38592.17
2026-01-08	Comcast Internet Services ACH	84.99		38507.18
2026-01-08	AT&T Phone Service ACH	94.95		38412.23
2026-01-10	Chess.com Premium Subscription	8.00		38404.23
2026-01-12	Vanguard Investment Income Transfer		600.00	39004.23
2026-01-12	Whole Foods Market	118.40		38885.83
2026-01-14	Costco Wholesale	174.80		38711.03
2026-01-14	Exxon Mobil	34.80		38676.23
2026-01-15	Social Security Direct Deposit		1950.00	40626.23
2026-01-17	Safeway Grocery	92.60		40533.63
2026-01-17	Whole Foods Market	85.20		40448.43
2026-01-18	Grace Community Church Tithe	300.00		40148.43
2026-01-19	MACCF Operating Fund Transfer	95.00		40053.43
2026-01-21	Exxon Mobil	34.10		40019.33
2026-01-22	Giant Food	66.40		39952.93
2026-01-24	Marchetti's Restaurant	79.40		39873.53
2026-01-25	Target	38.20		39835.33
2026-01-26	Amazon.com	42.80		39792.53
2026-01-27	Foreign Affairs Magazine	22.00		39770.53
2026-01-28	Whole Foods Market	94.80		39675.73
2026-01-30	Family Gift	80.00		39595.73
2026-01-31	Miscellaneous	35.50		39560.23
2026-01-31	Closing Balance			39560.23
