Organization_Name	Contact_Person	Contact_Phone	Contact_Email	Assigned_Slot	Slot_Type	Status	Confirmed_Date	Follow_Up_Notes
Bluff City Medical Center	Dr. Lorraine Vickers	(901) 555-0578	lorraine.vickers@gmail.com	Table 1 - General Health Screening	Exhibit Table	Confirmed	Jul 8 2025	BCMC providing BP cuffs and glucose meters
Midtown Family Practice	Dr. Stephanie Wright	(901) 555-0892	swright@midtownfp.net	Table 2 - Diabetes Education	Exhibit Table	Confirmed	Jul 8 2025	Bringing A1C test kits, 30 attendee slots
Bluff City Community College Nursing Program	Sandra Coles	(901) 555-0501	sandra.coles@gmail.com	Table 3 - Nursing Career and Wellness Screening	Exhibit Table	Confirmed	Jul 10 2025	Students volunteering for blood pressure checks
Memphis Food Bank	Lisa Chambers	(901) 555-0715	lchambers@memphisfoodbank.org	Table 4 - Nutrition and Food Access	Exhibit Table	Confirmed	Jul 10 2025	Bringing produce samples and recipe cards
South Memphis Pulmonary Associates	Dr. Gerald Potts	(901) 555-0844	gpotts@smpa.net	Table 5 - Lung Health and COPD	Exhibit Table	Confirmed	Jul 12 2025	Spirometry demos available
Cooper Eye Care	Dr. James Howard	(901) 555-0623	jhoward@coopereyecare.com	Table 6 - Eye Health and Diabetic Retinopathy	Exhibit Table	Confirmed	Jul 12 2025	Vision screening for 20 attendees
Bluff City Diabetes Center	Dr. Priya Nair	(901) 555-0781	pnair@bluffcitydiabetes.com	Table 7 - Diabetes Management Resources	Exhibit Table	Confirmed	Jul 14 2025	CGM demos, medication review handouts
Memphis Urban League	Denise Carpenter	(901) 555-0892	dcarpenter@memphisurbanleague.org	Table 8 - Workforce and Community Programs	Exhibit Table	Confirmed	Jul 14 2025	Benefits enrollment assistance
Bluff City Mental Health Center	Dr. Tamara Webb	(901) 555-0931	info@bluffcitymh.org	Table 9 - Mental Health Resources	Exhibit Table	Confirmed	Jul 16 2025	Stigma reduction brochures, referral info
Walgreens Pharmacy (Elvis Presley)	Kevin Batts	(901) 555-0288	N/A	Table 10 - Medication Safety and Management	Exhibit Table	Confirmed	Jul 16 2025	Medication disposal info, Rx discount cards
Pastor William Greer	Senior Pastor, Grace Community Church	(901) 555-0456	william.greer@gmail.com	Opening Prayer and Welcome (10:00 AM)	Program Slot	Confirmed	Jul 3 2025	10 minutes, includes scripture reading
Dr. Tanya Brooks	Family Physician, South Memphis Clinic	(901) 555-0667	tbrooks@southmemphisclinic.net	Keynote: Managing Chronic Illness with Faith (10:20 AM)	Keynote Talk	Confirmed	Jul 5 2025	30 minutes plus Q&A
Rev. Angela Dawson	Chaplain, Golden Heart Medical Center	(901) 555-0623	angela.dawson@gmail.com	Workshop: Faith and Healing - A Pastoral Perspective (11:30 AM)	Workshop	Confirmed	Jul 9 2025	45 minutes, breakout room B
Lisa Moore	Registered Dietitian Nutritionist	(901) 555-0744	lmoore@nutrition.net	Workshop: Eating Well on a Real Budget (12:15 PM)	Workshop	Confirmed	Jul 11 2025	30 minutes, hands-on demonstration
Deacon Charles Mosley	Grace Community Church	(901) 555-0923	N/A	Logistics Coordination and Volunteer Lead	Coordinator	Confirmed	Jun 28 2025	Managing 12 church volunteers on the day
Rebecca Price (Emcee)	Host, WGSP Morning Reflections	(901) 555-0142	rebecca.price@Finthesiss.ai	Full Event Emcee	Emcee	Confirmed	Jun 28 2025	Coordinating all transitions and announcements
