# Webster Bank — Personal Checking Ledger (partial, June 2026)
# Owner: Chris Johnson & Sienna Johnson  Acct ...4530  Typical balance $8,000–$12,000
Date	Description	Type	Amount	Balance
2026-06-01	Opening balance			$9,140.00
2026-06-02	FDNY payroll (net, biweekly)	Credit	+$3,020.00	$12,160.00
2026-06-03	Con Edison — utilities	Debit	-$350.00	$11,810.00
2026-06-05	Yonkers Chevrolet — auto loan	Debit	-$485.00	$11,325.00
2026-06-05	Verizon + streaming bundle	Debit	-$280.00	$11,045.00
2026-06-06	Instacart — groceries	Debit	-$412.00	$10,633.00
2026-06-10	Support to Colleen	Debit	-$300.00	$10,333.00
2026-06-15	Sacred Heart tuition (FACTS)	Debit	-$850.00	$9,483.00
2026-06-16	FDNY payroll (net, biweekly)	Credit	+$3,020.00	$12,503.00
2026-06-16	Mulvihill-Lynch — dance	Debit	-$450.00	$12,053.00
2026-06-18	Auto insurance	Debit	-$260.00	$11,793.00
2026-06-20	Transfer to savings (roof/emergency)	Debit	-$500.00	$11,293.00
2026-06-25	Webster Mortgage — P&I + escrow	Debit	-$2,765.00	$8,528.00
2026-06-28	Sienna payroll (net)	Credit	+$2,300.00	$10,828.00
2026-06-30	529 contribution (auto)	Debit	-$200.00	$10,628.00
2026-06-30	Closing balance			$10,628.00
