id,subject,organizer_name,organizer_address,location,start_date,end_date,is_all_day,is_online,attendees
ol_e_001,Quarterly concierge team all-hands,Andrea Marsh,andrea.marsh@hawthornegrand.internal,Hawthorne Grand training room 2B,2026-10-30T09:00:00-07:00,2026-10-30T10:00:00-07:00,False,False,yves.quinn;marc.belanger;priya.nair;jess.okafor
ol_e_002,December bidding window opens,Andrea Marsh,andrea.marsh@hawthornegrand.internal,Hawthorne Grand training room 2B,2026-11-04T09:00:00-08:00,2026-11-04T10:00:00-08:00,False,False,yves.quinn;marc.belanger;priya.nair;jess.okafor
ol_e_003,VIP arrival Dr. Boaz,Andrea Marsh,andrea.marsh@hawthornegrand.internal,Hawthorne Grand training room 2B,2026-10-15T17:30:00-07:00,2026-10-15T20:30:00-07:00,False,False,yves.quinn;marc.belanger;priya.nair;jess.okafor
ol_e_004,VIP arrival Ms. Alcorn,Andrea Marsh,andrea.marsh@hawthornegrand.internal,Hawthorne Grand training room 2B,2026-10-12T15:00:00-07:00,2026-10-12T16:00:00-07:00,False,False,yves.quinn;marc.belanger;priya.nair;jess.okafor
ol_e_005,Concierge weekly stand-up,Andrea Marsh,andrea.marsh@hawthornegrand.internal,Hawthorne Grand training room 2B,2026-11-02T08:00:00-08:00,2026-11-02T08:00:00-08:00,False,False,yves.quinn;marc.belanger;priya.nair;jess.okafor
ol_e_006,New year Les Clefs d'Or aspirant social,Andrea Marsh,andrea.marsh@hawthornegrand.internal,Hawthorne Grand training room 2B,2027-01-15T18:00:00-08:00,2027-01-15T20:00:00-08:00,False,False,yves.quinn;marc.belanger;priya.nair;jess.okafor
ol_e_007,Front office annual training refresh,Andrea Marsh,andrea.marsh@hawthornegrand.internal,Hawthorne Grand training room 2B,2026-11-18T08:00:00-08:00,2026-11-18T08:00:00-08:00,False,False,yves.quinn;marc.belanger;priya.nair;jess.okafor
ol_e_008,VIP arrival Mr. Warner,Andrea Marsh,andrea.marsh@hawthornegrand.internal,Hawthorne Grand training room 2B,2026-10-19T14:00:00-07:00,2026-10-19T16:00:00-07:00,False,False,yves.quinn;marc.belanger;priya.nair;jess.okafor
ol_e_009,Fire safety drill Q4,Andrea Marsh,andrea.marsh@hawthornegrand.internal,Hawthorne Grand training room 2B,2026-10-15T15:00:00-07:00,2026-10-15T16:00:00-07:00,False,False,yves.quinn;marc.belanger;priya.nair;jess.okafor
ol_e_010,Andrea 1:1 with Yves,Andrea Marsh,andrea.marsh@hawthornegrand.internal,Hawthorne Grand training room 2B,2026-10-08T14:00:00-07:00,2026-10-08T16:00:00-07:00,False,False,yves.quinn;marc.belanger;priya.nair;jess.okafor
ol_e_011,Andrea 1:1 with Marc,Andrea Marsh,andrea.marsh@hawthornegrand.internal,Hawthorne Grand training room 2B,2026-10-08T15:00:00-07:00,2026-10-08T16:00:00-07:00,False,False,yves.quinn;marc.belanger;priya.nair;jess.okafor
ol_e_012,Concierge team offsite,Andrea Marsh,andrea.marsh@hawthornegrand.internal,Hawthorne Grand training room 2B,2027-02-20T09:00:00-08:00,2027-02-20T10:00:00-08:00,False,False,yves.quinn;marc.belanger;priya.nair;jess.okafor
ol_e_013,Housekeeping and concierge alignment,Andrea Marsh,andrea.marsh@hawthornegrand.internal,Hawthorne Grand training room 2B,2026-11-06T09:00:00-08:00,2026-11-06T10:00:00-08:00,False,False,yves.quinn;marc.belanger;priya.nair;jess.okafor
ol_e_014,Front office holiday party,Andrea Marsh,andrea.marsh@hawthornegrand.internal,Hawthorne Grand training room 2B,2026-12-18T19:00:00-08:00,2026-12-18T20:00:00-08:00,False,False,yves.quinn;marc.belanger;priya.nair;jess.okafor
ol_e_015,Guest experience review Q4,Andrea Marsh,andrea.marsh@hawthornegrand.internal,Hawthorne Grand training room 2B,2026-11-20T14:00:00-08:00,2026-11-20T16:00:00-08:00,False,False,yves.quinn;marc.belanger;priya.nair;jess.okafor
