id,display_name,given_name,surname,email,job_title,company,mobile_phone
ol_c_001,Andrea Marsh,Andrea,Marsh,andrea.marsh@hawthornegrand.internal,Front Office Manager,The Hawthorne Grand,+15035552000
ol_c_002,Marc Belanger,Marc,Belanger,marc.belanger@hawthornegrand.internal,Guest Services Concierge,The Hawthorne Grand,+15035552013
ol_c_003,Priya Nair,Priya,Nair,priya.nair@hawthornegrand.internal,Guest Services Concierge,The Hawthorne Grand,+15035552026
ol_c_004,Jess Okafor,Jess,Okafor,jess.okafor@hawthornegrand.internal,Guest Services Concierge,The Hawthorne Grand,+15035552039
ol_c_005,Ellen Whitfield,Ellen,Whitfield,ellen.whitfield@hawthornegrand.internal,General Manager,The Hawthorne Grand,+15035552052
ol_c_006,Tom Reyes,Tom,Reyes,tom.reyes@hawthornegrand.internal,Assistant GM,The Hawthorne Grand,+15035552065
ol_c_007,Danika Rios,Danika,Rios,danika.rios@hawthornegrand.internal,Housekeeping Lead,The Hawthorne Grand,+15035552078
ol_c_008,Michael Chan,Michael,Chan,michael.chan@hawthornegrand.internal,Bell Captain,The Hawthorne Grand,+15035552091
ol_c_009,Lena Ostrowski,Lena,Ostrowski,lena.ostrowski@hawthornegrand.internal,Reservations Manager,The Hawthorne Grand,+15035552104
ol_c_010,Rob Alcantar,Rob,Alcantar,rob.alcantar@hawthornegrand.internal,Chief Engineer,The Hawthorne Grand,+15035552117
ol_c_011,Sara Kensington,Sara,Kensington,sara.kensington@hawthornegrand.internal,F&B Director,The Hawthorne Grand,+15035552130
ol_c_012,Ravi Sundaram,Ravi,Sundaram,ravi.sundaram@hawthornegrand.internal,Portland Elite Car -- driver liaison,The Hawthorne Grand,+15035552143
ol_c_013,Amy Fields,Amy,Fields,amy.fields@hawthornegrand.internal,IT Support,The Hawthorne Grand,+15035552156
ol_c_014,Denise Yin,Denise,Yin,denise.yin@hawthornegrand.internal,Payroll,The Hawthorne Grand,+15035552169
ol_c_015,Karolina Bors,Karolina,Bors,karolina.bors@hawthornegrand.internal,HR Business Partner,The Hawthorne Grand,+15035552182
