id,firstname,lastname,email,phone,jobtitle,company,lifecyclestage,createdate,lastmodifieddate
201,Office,Manager,office@doylestowndentalgroup.com,+12155553801,Practice Manager,Doylestown Dental Group,lead,2025-10-03T16:03:49+00:00,2026-03-06T09:18:45+00:00
202,Shop,Owner,owner@ardmorebakehouse.com,+16105553818,Owner,Ardmore Bakehouse,opportunity,2025-10-19T18:23:25+00:00,2026-02-28T05:15:00+00:00
203,Store,Manager,store@mediahardwareco.com,+16105553825,Manager,Media Hardware Co,lead,2025-11-02T09:36:37+00:00,2026-03-09T10:26:58+00:00
204,Shop,Owner,shop@lansdaleautobody.com,+12155553832,Owner,Lansdale Auto Body,opportunity,2025-11-15T10:31:19+00:00,2026-03-12T03:36:12+00:00
205,Restaurant,Manager,manager@norristownfamilyrestaurant.com,+16105553849,Manager,Norristown Family Restaurant,opportunity,2025-11-28T13:27:22+00:00,2026-03-08T17:28:49+00:00
206,Shop,Owner,shop@glensidebarbers.com,+12155553856,Owner,Glenside Barbers,lead,2025-12-06T22:39:16+00:00,2026-03-10T00:21:12+00:00
207,Clinic,Office,office@kopveterinaryclinic.com,+16105553863,Office Manager,KOP Veterinary Clinic,opportunity,2025-12-19T12:20:25+00:00,2026-03-09T02:18:15+00:00
208,Studio,Owner,hello@abingtonyogastudio.com,+12155553870,Owner,Abington Yoga Studio,lead,2026-01-08T21:00:20+00:00,2026-03-09T16:42:57+00:00
209,Machine,Shop,shop@newtownmachineshop.com,+12675553887,Owner,Newtown Machine Shop,opportunity,2026-01-21T13:06:16+00:00,2026-03-13T22:27:32+00:00
210,Roastery,Owner,roastery@jenkintowncoffeeroasters.com,+12155553894,Owner,Jenkintown Coffee Roasters,opportunity,2026-02-03T04:58:36+00:00,2026-03-15T16:05:57+00:00
211,Laundromat,Owner,owner@hatborolaundromat.com,+12155553901,Owner,Hatboro Laundromat,lead,2026-02-12T16:03:49+00:00,2026-03-06T09:18:45+00:00
212,Taproom,Manager,taproom@conshohockenbrewing.com,+16105553918,Manager,Conshohocken Brewing Taproom,opportunity,2026-02-24T18:23:25+00:00,2026-03-12T05:15:00+00:00
213,Grooming,Shop,shop@willowgrovepetgrooming.com,+12155553925,Owner,Willow Grove Pet Grooming,lead,2026-03-05T09:36:37+00:00,2026-03-14T10:26:58+00:00
214,Print,Works,shop@westchesterprintworks.com,+16105553932,Owner,West Chester Print Works,opportunity,2026-03-11T10:31:19+00:00,2026-03-16T03:36:12+00:00
215,Nail,Salon,salon@foxchasenailsalon.com,+12155553939,Owner,Fox Chase Nail Salon,lead,2025-10-09T13:27:22+00:00,2026-02-08T17:28:49+00:00
216,Florist,Shop,shop@cheltenhamflorist.com,+12155553946,Owner,Cheltenham Florist,customer,2025-10-25T22:39:16+00:00,2026-02-10T00:21:12+00:00
217,Book,Shop,shop@brynmawrbookshop.com,+16105553953,Owner,Bryn Mawr Bookshop,opportunity,2025-11-08T12:20:25+00:00,2026-02-09T02:18:15+00:00
218,Facilities,Manager,facilities@warminstercoldstorage.com,+12155553960,Facilities Manager,Warminster Cold Storage,opportunity,2025-11-21T13:06:16+00:00,2026-02-09T16:42:57+00:00
219,Daycare,Office,office@drexelhilldaycare.com,+16105553967,Director,Drexel Hill Daycare,lead,2025-12-02T13:06:16+00:00,2026-02-13T22:27:32+00:00
220,Front,Desk,front@lowermerionwellnesscenter.com,+16105553974,Office Manager,Lower Merion Wellness Center,customer,2025-12-16T04:58:36+00:00,2026-02-15T16:05:57+00:00
221,Rita,Nakamura,office@nakamura-house.example,+12155553102,Homeowner,Nakamura residence,lead,2026-04-01T00:00:00+00:00,2026-05-01T00:00:00+00:00
222,Peter,Ahmed,peter.ahmed.jenk@example.com,+12154403311,Homeowner,Ahmed household,subscriber,2026-04-02T00:00:00+00:00,2026-05-02T00:00:00+00:00
223,Diana,Kelso,diana.kelso.buckscnty@example.com,+12155553234,Property owner,Kelso Kitchens,opportunity,2026-04-03T00:00:00+00:00,2026-05-03T00:00:00+00:00
224,Sam,Bruno,sam.bruno.trooper@example.com,+16104403455,Shop owner,Bruno Auto Detail,customer,2026-04-04T00:00:00+00:00,2026-05-04T00:00:00+00:00
225,Ravi,Patel,ravi.patel.blueBell@example.com,+12153305566,Business owner,Patel Nursery,lead,2026-04-05T00:00:00+00:00,2026-05-05T00:00:00+00:00
226,Angela,Reid,angela.reid.narberth@example.com,+16104408811,Landlord,Reid Rentals,subscriber,2026-04-06T00:00:00+00:00,2026-05-06T00:00:00+00:00
227,Toby,Fischer,toby.fischer.montco@example.com,+12154412266,Farm owner,Fischer Farm Stand,opportunity,2026-04-07T00:00:00+00:00,2026-05-07T00:00:00+00:00
228,Priya,Shah,priya.shah.abington@example.com,+12154413377,Homeowner,Shah Family Home,customer,2026-04-08T00:00:00+00:00,2026-05-08T00:00:00+00:00
229,Owen,Lambert,owen.lambert.chelt@example.com,+12154678822,Cafe owner,Lambert Cafe,lead,2026-04-09T00:00:00+00:00,2026-05-09T00:00:00+00:00
230,Nia,Roberts,nia.roberts.hatboro@example.com,+12155502233,Homeowner,Roberts residence,subscriber,2026-04-10T00:00:00+00:00,2026-05-10T00:00:00+00:00
