Id,FirstName,LastName,Email,Phone,Title,AccountId,MailingCity
sf-c-akiko,Akiko,Watanabe,akiko.watanabe@shibui-gallery.jp,+81-75-561-0100,Gallery Director,acc-shibui,Kyoto
sf-c-jl,Jean-Luc,Moreau,jl.moreau@galerie-terre.fr,+33-1-42-71-1234,Gallery Director,acc-terre,Paris
sf-c-tomomi,Tomomi,Ishida,tomomi.ishida@kyotocraftmuseum.or.jp,+81-75-761-4111,Curator,acc-museum,Kyoto
sf-c-mika,Mika,Tanabe,mika.tanabe@higashiyama-collective.jp,+81-90-3344-5566,Kiln Coordinator,acc-hcc,Kyoto
sf-c-col-001,Yui,Kobayashi,yui.kobayashi000@outlook.jp,+81-90-9017-7717,Private Collector,acc-private-hh,Kobe
sf-c-col-002,Yui,Yamamoto,yui.yamamoto001@gmail.com,+81-90-8876-6528,Private Collector,acc-private-hh,Sapporo
sf-c-col-003,Akira,Sato,akira.sato002@gmail.com,+81-90-6726-4047,Private Collector,acc-private-hh,Kanazawa
sf-c-col-004,Ayaka,Yoshida,ayaka.yoshida003@gmail.com,+81-90-7456-4766,Private Collector,acc-private-hh,Tokyo
sf-c-col-005,Sho,Ito,sho.ito004@softbank.jp,+81-90-4400-3771,Private Collector,acc-private-hh,Sendai
sf-c-col-006,Hiroshi,Abe,hiroshi.abe005@softbank.jp,+81-90-9032-4974,Private Collector,acc-private-hh,Kobe
sf-c-col-007,Takumi,Nakamura,takumi.nakamura006@docomo.ne.jp,+81-90-6481-9356,Private Collector,acc-private-hh,Sendai
sf-c-col-008,Hiroshi,Matsumoto,hiroshi.matsumoto007@docomo.ne.jp,+81-90-7663-7301,Private Collector,acc-private-hh,Kyoto
sf-c-col-009,Yui,Sasaki,yui.sasaki008@outlook.jp,+81-90-5810-4671,Private Collector,acc-private-hh,Fukuoka
sf-c-col-010,Ryo,Yamazaki,ryo.yamazaki009@gmail.com,+81-90-7255-1436,Private Collector,acc-private-hh,Sendai
sf-c-col-011,Daichi,Kato,daichi.kato010@outlook.jp,+81-90-6666-3437,Private Collector,acc-private-hh,Nagoya
sf-c-col-012,Sakura,Abe,sakura.abe011@docomo.ne.jp,+81-90-4417-5261,Private Collector,acc-private-hh,Fukuoka
sf-c-col-013,Kenji,Matsumoto,kenji.matsumoto012@outlook.jp,+81-90-8244-3453,Private Collector,acc-private-hh,Kanazawa
sf-c-col-014,Yui,Watanabe,yui.watanabe013@outlook.jp,+81-90-3959-1335,Private Collector,acc-private-hh,Tokyo
sf-c-col-015,Sakura,Abe,sakura.abe014@outlook.jp,+81-90-3705-5102,Private Collector,acc-private-hh,Sendai
sf-c-col-016,Ayaka,Kato,ayaka.kato015@gmail.com,+81-90-5696-9849,Private Collector,acc-private-hh,Kobe
