id,username,full_name,email,initials
r5opih0r9rpuz99wn8kukoxc,angelabrooks,Angela Brooks,angela.brooks@Finthesiss.ai,AB
1a1q6nfw3ypw09nz9p6detar,suki.patel,Suki Patel,suki.patel@u.washington.edu,SP
3ezj3c5l4f6zdv7ews1y55rj,ravi.krishnamurthy,Ravi Krishnamurthy,ravi.k@thornfield.edu,RK
sr40k2c3ofqynhky1qli7uvg,yuki.nakamura,Prof. Yuki Nakamura,y.nakamura@cid.edu,PY
bkysa4n727pt4i6ykckoigsp,marcus.webb,Marcus Webb,m.webb@cid.edu,MW
8hhioo7gigmq83c0xc6wkrug,zoe.park,Zoe Park,zoe@greenleafyouth.org,ZP
0mewutd59d41ht3abj6dsxms,oliver.strand,Oliver Strand,oliver.strand@fastmail.com,OS
6l2grjg59bwt3w3pey2estk2,kevin.brooks,Kevin Brooks,kev.brooks16@fastmail.com,KB
qwioq0597155sken649dfuru,linda.brooks,Linda Brooks,linda@goldengatebakery.com,LB
etlf6jl79qj0d3e4z319x944,robert.brooks,Robert Brooks,r.brooks@pinecrest.tech,RB
9uaikpnlj8ssmggo6hg9fl3c,ruth.brooks,Ruth Brooks,ruth.b1948@fastmail.com,RB
vqsc2rw5074ofp5fefdeso18,may.brooks,May Brooks,may.brooks@fastmail.com,MB
3dyzdgh704x4riw540f9ndij,naomichen,Naomi Chen,naomi.c@fastmail.com,NC
8gzk4cf7qt7g2rvgnofj7nc1,juleswinters,Jules Winters,jules.w@protonmail.com,JW
xecelo8t95anejn1mzv3gn28,priyarao,Priya Rao,priya.r@fastmail.com,PR
3ed7y98ns7g6vywzwwulyvl0,devonpark,Devon Park,devon.p@protonmail.com,DP
mzcfsb24ml0k1j8wcjlvucmu,selenaortiz,Selena Ortiz,selena@briarwood-tutoring.org,SO
7a538gdcdbjrji0looen4yw3,jameswhitaker,James Whitaker,james.w@briarwood-tutoring.org,JW
epzdk9ri29gqzr1h2nkulvps,noraellingsen,Nora Ellingsen,nora.e@briarwood-tutoring.org,NE
rg3o3n1phn17e0lvldfeihbx,reynaalvarez,Reyna Alvarez,reyna@harborviewwellness.co,RA
m2ryj0519ysipx2ixu0vyj2e,deviramaswamy,Devi Ramaswamy,devi@harborviewwellness.co,DR
