invoice_id,invoice_number,type,contact_id,contact_name,date,due_date,status,line_amount_types,sub_total,total_tax,total,amount_due,amount_paid,currency_code,reference
inv_xero_0091,XR-INV-0091,ACCREC,cnt_xero_who,World Health Organization,2026-02-15,2026-03-15,PAID,NoTax,2200.00,0.00,2200.00,0.00,2200.00,USD,RTSS Implementation Review
inv_xero_0104,XR-INV-0104,ACCREC,cnt_xero_unicef,UNICEF ESA,2026-03-28,2026-04-28,PAID,NoTax,1800.00,0.00,1800.00,0.00,1800.00,USD,Field-Site Coverage Consult
inv_xero_0125,XR-INV-0125,ACCREC,cnt_xero_who,World Health Organization,2026-05-11,2026-06-11,PAID,NoTax,3200.00,0.00,3200.00,0.00,3200.00,USD,Q2 Implementation Science Brief
inv_xero_0138,XR-INV-0138,ACCREC,cnt_xero_unicef,UNICEF ESA,2026-06-22,2026-07-22,PAID,NoTax,2500.00,0.00,2500.00,0.00,2500.00,USD,Pediatric Malaria Vaccine Advisory
inv_xero_0145,XR-INV-0145,ACCREC,cnt_xero_who,World Health Organization,2026-07-14,2026-08-14,PAID,NoTax,1145.00,0.00,1145.00,0.00,1145.00,USD,Session Moderation Geneva Virtual
inv_xero_0146,XR-INV-0146,ACCREC,cnt_xero_who,World Health Organization,2026-07-14,2026-08-14,PAID,NoTax,455.00,0.00,455.00,0.00,455.00,USD,Session Moderation Geneva Virtual DUPLICATE OF 0145 - PAYPAL TXN PP-6621 IS SAME PAYMENT
inv_xero_0151,XR-INV-0151,ACCREC,cnt_xero_who,World Health Organization,2026-08-30,2026-09-30,PAID,NoTax,2500.00,0.00,2500.00,0.00,2500.00,USD,Q3 Implementation Science Brief
inv_xero_0158,XR-INV-0158,ACCREC,cnt_xero_unicef,UNICEF ESA,2026-09-19,2026-10-19,PAID,NoTax,1500.00,0.00,1500.00,0.00,1500.00,USD,Pre-IDWeek Dashboard Consult
inv_xero_0201,XR-INV-0201,ACCPAY,cnt_xero_delta,Delta Air Lines,2024-02-15,2024-03-15,PAID,NoTax,100,0.00,100,0.00,100,USD,Reference invoice
inv_xero_0202,XR-INV-0202,ACCREC,cnt_xero_who,WHO,2024-03-15,2024-04-15,PAID,NoTax,2500,0.00,2500,0.00,2500,USD,Reference invoice
inv_xero_0203,XR-INV-0203,ACCPAY,cnt_xero_delta,Delta Air Lines,2024-04-15,2024-05-15,PAID,NoTax,150,0.00,150,0.00,150,USD,Reference invoice
inv_xero_0204,XR-INV-0204,ACCREC,cnt_xero_who,WHO,2024-05-15,2024-06-15,PAID,NoTax,1500,0.00,1500,0.00,1500,USD,Reference invoice
inv_xero_0205,XR-INV-0205,ACCPAY,cnt_xero_delta,Delta Air Lines,2024-06-15,2024-07-15,PAID,NoTax,250,0.00,250,0.00,250,USD,Reference invoice
