activity,child,season,fee,payment_status,due_date,notes
Gymnastics,Maisie,Fall 2026,175.00,Paid,2026-08-15,Kettering Gymnastics Center - Level 3
Gymnastics Meet Fees,Maisie,Fall 2026,45.00,Paid,2026-09-05,Regional invitational entry
Gymnastics Leotard,Maisie,Fall 2026,68.50,Paid,2026-08-20,Team competition leotard
Soccer League,Owen,Fall 2026,125.00,Paid,2026-08-01,Kettering Rec Soccer U10
Soccer Tournament,Owen,Oct 2026,35.00,Unpaid,2026-10-10,Delco Park weekend tournament
Soccer Cleats,Owen,Fall 2026,52.99,Paid,2026-08-10,Outgrew last pair
Soccer Team Photos,Owen,Fall 2026,25.00,Unpaid,2026-10-20,Optional package
Art Club,Maisie,Fall 2026,60.00,Paid,2026-09-01,Van Buren Elementary after-school program
Art Supplies Fee,Maisie,Fall 2026,15.00,Paid,2026-09-01,One-time consumables
Piano Lessons,Owen,Monthly,80.00,Paid,2026-10-01,Ms. Patricia - 30 min weekly
Piano Books,Owen,Fall 2026,42.00,Paid,2026-09-05,Level 2A method and theory
Scouts,Owen,Fall 2026,55.00,Paid,2026-09-15,Pack 132 annual registration
Scouts Uniform,Owen,Fall 2026,38.00,Paid,2026-09-15,Class B shirt and belt
Book Fair,Both,Oct 2026,30.00,Paid,2026-10-05,School book fair spending cap
Field Trip,Owen,Oct 2026,12.00,Paid,2026-10-08,Boonshoft Museum
Field Trip,Maisie,Nov 2026,15.00,Unpaid,2026-11-03,Cox Arboretum
Yearbook Deposit,Owen,2026-27,20.00,Unpaid,2026-11-15,Non-refundable order deposit
Yearbook Deposit,Maisie,2026-27,20.00,Unpaid,2026-11-15,Non-refundable order deposit
Winter Basketball,Owen,Winter 2026,110.00,Unpaid,2026-11-01,Rec league registration opens Oct
Gymnastics Winter,Maisie,Winter 2026,185.00,Unpaid,2026-12-01,Renewal window Nov 15
Late Fee,Owen,Sep 2026,10.00,Paid,2026-09-08,Missed soccer registration deadline
Refund,Owen,Aug 2026,-20.00,Received,2026-08-25,Duplicate charge reversed
Spring Piano Recital,Owen,Spring 2027,25.00,Unpaid,2027-02-15,Venue and program fee
Fall Concert Attire,Maisie,Fall 2026,22.00,Paid,2026-09-25,White blouse and black skirt
Activity Bus Pass,Both,Fall 2026,60.00,Paid,2026-08-25,Semester after-school transport
