provider_name,relationship,phone,availability,rate_per_hour,notes
Linda Brennan,Mother (ICE primary),937-555-0134,"Flexible, prefers weekdays",0,"Primary emergency contact; may have own appointments - confirm the day of; Kettering local"
Rick Brennan,Father,937-555-0135,"Home and car backup only",0,"Calls only - does not use text; backup for car/logistics, not primary childcare"
Jess Brennan,Sister,614-555-0218,"Weekends, some weekdays",0,"Lives in Columbus - roughly 1hr drive; email jess.brennan.cbus@gmail.com"
Natasha Okonkwo,Friend / Coworker,,When off shift,0,"Also works rotating shifts - check phone in contacts before calling"
Van Buren Before/After Care,School program,937-555-0500,School days 6:30AM to 6:00PM,20,"Per day, before + after; Van Buren Elementary - Owen 5th grade, Maisie 2nd grade"
Bright Horizons Kettering,Daycare,937-555-0890,M-F 6:00AM to 6:30PM,15,"Per hour, drop-in available"
Rachel Kim,Neighbor,937-555-0912,"Evenings, occasional weekends",12,"Per hour, high-school-senior child also available for evening sits"
Maria Delgado,Neighbor (2 doors down),937-555-0741,Evenings and weekends,15,"Per hour, retired kindergarten teacher, does not drive after dark"
Amanda Chen,Coworker (Med-Surg),937-555-0603,Alternate shift block only,0,Trades childcare in swaps; no cash exchange; her twins are Owens age
Ted Brennan,Uncle (Rick side),419-555-0912,Weekend day-trips only,0,Lives in Toledo (2h drive); available for occasional Saturday only
Kettering YMCA Kids Club,Community program,937-555-2211,M-F 6:30AM-6:30PM plus Saturdays 8AM-4PM,12,"Per hour, drop-in available with 24h notice, both kids eligible"
St. Charles After-School,Church program,937-555-3305,M-F 3PM-6PM,8,"Per day, parishioner rate, both kids on waiting list currently"
Jenna Park,Babysitter (college),937-555-4108,Weekends and school breaks,14,"Per hour, Wright State early-childhood-ed major, uses text only"
Emergency backup roster,Rotating on-call,,Last-resort day-of coverage,0,Draft list only; see childcare Notion page for callable order
Willow Creek Learning Pod,Neighborhood co-op,937-555-5024,"Ad-hoc, coordinated by pod parents",10,"Per hour split across families, four total families in rotation"
