Id,FirstName,LastName,Email,Phone,Title,AccountId,MailingCity
003Ax0HND_MIKE_001,Mike,Henderson,mike.henderson@hendersonranch.com,(541) 555-2963,Owner / Operator,001Ax0HND2026Q4A1,Terrebonne
003Ax0HND_HAND_001,Eddie,Bautista,,(541) 555-2967,Ranch Hand,001Ax0HND2026Q4A1,Terrebonne
003Ax0WAT_DALE_001,Dale,Watson,dale@watson-cattle.example,(541) 555-3120,Owner,001Ax0WAT2026Q3A1,Powell Butte
003Ax0KRA_JANEK_01,Janek,Krasicki,janek@krasickiranch.example,(541) 555-2845,Owner / Operator,001Ax0KRA2026Q3A1,Prineville
003Ax0ZOETIS_REP01,Rebecca,Tan,rtan@zoetis.example,(800) 555-9638,Distributor Account Rep - PNW,001Ax0ZOETIS001A1,Parsippany
003Ax0BLK_OWN_001,Grant,Blackwood,grant@blackwoodcattle.example,(541) 555-4471,Owner / Operator,001Ax0BLK2026Q4A1,Redmond
003Ax0MER_OWN_001,Diane,Mercer,diane@mercerranch.example,(541) 555-3902,Owner,001Ax0MER2026Q4A1,Bend
003Ax0DEL_OWN_001,Roy,Delgado,roy@deltabarranch.example,(541) 555-2218,Owner / Operator,001Ax0DEL2026Q4A1,Prineville
003Ax0HOL_OWN_001,Pam,Holbrook,,(541) 555-5530,Owner,001Ax0HOL2026Q4A1,Terrebonne
003Ax0SAN_OWN_001,Curtis,Sanders,curtis@sanderslivestock.example,(541) 555-6677,Owner / Operator,001Ax0SAN2026Q4A1,Madras
003Ax0PRI_OWN_001,Elena,Prieto,elena@prietoheifers.example,(541) 555-7185,Managing Member,001Ax0PRI2026Q4A1,Culver
003Ax0VOG_OWN_001,Hans,Vogel,,(541) 555-8043,Owner,001Ax0VOG2026Q4A1,Powell Butte
003Ax0ORT_OWN_001,Marco,Ortega,marco@ortegaranch.example,(541) 555-9156,Owner / Operator,001Ax0ORT2026Q4A1,Tumalo
003Ax0NIC_OWN_001,Susan,Nichols,susan@nicholsdairy.example,(541) 555-1024,Herd Manager,001Ax0NIC2026Q4A1,Redmond
003Ax0HND_VET_001,Karen,Whitfield,kwhitfield@voissync.ai,(541) 555-4100,Lead Veterinarian - Rimrock Valley,001Ax0HND2026Q4A1,Redmond
003Ax0HND_MIKE_01,Mike,Henderson,,(541) 555-2013,Ranch Hand,001Ax0HND2026Q4A1,Terrebonne
003Ax0WAT_DALE_02,Dale,Watson,dale@watson-cattle.example,(541) 555-2026,Foreman,001Ax0WAT2026Q3A1,Powell Butte
003Ax0KRA_JANEK_03,Janek,Krasicki,janek@krasickiranch.example,(541) 555-2039,Owner / Operator,001Ax0KRA2026Q3A1,Prineville
003Ax0BLK_GRANT_04,Grant,Blackwood,grant@blackwoodcattle.example,(541) 555-2052,Owner,001Ax0BLK2026Q4A1,Redmond
003Ax0MER_DIANE_05,Diane,Mercer,diane@mercerranch.example,(541) 555-2065,Ranch Hand,001Ax0MER2026Q4A1,Bend
003Ax0DEL_ROY_06,Roy,Delgado,,(541) 555-2078,Owner,001Ax0DEL2026Q3A1,Prineville
003Ax0HOL_PAM_07,Pam,Holbrook,pam@holbrookranch.example,(541) 555-2091,Foreman,001Ax0HOL2026Q4A1,Terrebonne
003Ax0SAN_CURTI_08,Curtis,Sanders,curtis@sanderslivestock.example,(541) 555-2104,Managing Member,001Ax0SAN2026Q3A1,Madras
