Id,FirstName,LastName,Company,Email,Phone,Status,LeadSource,Industry,Rating
00QAx0LEAD_BLAIN01,Travis,Blain,Blain Bros Cattle Co,travis@blainbros.example,(541) 555-7720,New,Referral - Whitfield,Cattle Ranching,Warm
00QAx0LEAD_OBRIEN01,Megan,O'Brien,O'Brien Equine Boarding,megan@obrienequine.example,(541) 555-6611,Working,CBRA referral,Equine Boarding,Hot
00QAx0LEAD_O'BRI01,Megan,O'Brien,O'Brien Equine Boarding,megan@obrienequine.example,(541) 555-6011,Working,Web Form,Equine Boarding,Hot
00QAx0LEAD_FOSTE02,Wade,Foster,Crooked River Cattle,wade@crookedrivercattle.example,(541) 555-6022,Working,CBRA referral,Dairy Farming,Warm
00QAx0LEAD_MATHI03,Cody,Mathis,High Lonesome Ranch,cody@highlonesomeranch.example,(541) 555-6033,Qualified,Referral - Henderson,Cattle Ranching,Warm
00QAx0LEAD_DOYLE04,Garrett,Doyle,Painted Hills Cattle,garrett@paintedhillscattle.example,(541) 555-6044,Unqualified,CBRA referral,Equine Boarding,Warm
00QAx0LEAD_BECKE05,Nora,Beckett,Wychus Creek Ranch,nora@wychuscreek.example,(541) 555-6055,Qualified,Trade Show - NW Cattlemen,Equine Boarding,Cold
00QAx0LEAD_YARBO06,Dell,Yarborough,Ochoco Cattle Co,dell@ochococattle.example,(541) 555-6066,Nurturing,CBRA referral,Dairy Farming,Cold
00QAx0LEAD_RENNE07,Cal,Renner,Pine Mountain Ranch,cal@pinemountainranch.example,(541) 555-6077,Working,Cold Call,Cattle Ranching,Hot
00QAx0LEAD_LINDQ08,Greta,Lindqvist,Aspen Valley Ranch,greta@aspenvalleyranch.example,(541) 555-6088,Qualified,Web Form,Equine Boarding,Hot
00QAx0LEAD_CALLO09,Russ,Calloway,Bear Creek Livestock,russ@bearcreeklivestock.example,(541) 555-6099,Nurturing,Cold Call,Cattle Ranching,Warm
00QAx0LEAD_BLAIN10,Travis,Blain,Blain Bros Cattle Co,travis@blainbros.example,(541) 555-6110,New,Cold Call,Cattle Ranching,Hot
00QAx0LEAD_O'BRI11,Megan,O'Brien,O'Brien Equine Boarding,megan@obrienequine.example,(541) 555-6121,New,CBRA referral,Cattle Ranching,Warm
00QAx0LEAD_FOSTE12,Wade,Foster,Crooked River Cattle,wade@crookedrivercattle.example,(541) 555-6132,Working,CBRA referral,Equine Boarding,Hot
00QAx0LEAD_MATHI13,Cody,Mathis,High Lonesome Ranch,cody@highlonesomeranch.example,(541) 555-6143,Nurturing,Web Form,Cattle Ranching,Warm
00QAx0LEAD_DOYLE14,Garrett,Doyle,Painted Hills Cattle,garrett@paintedhillscattle.example,(541) 555-6154,Nurturing,CBRA referral,Sheep Ranching,Cold
00QAx0LEAD_BECKE15,Nora,Beckett,Wychus Creek Ranch,nora@wychuscreek.example,(541) 555-6165,Working,Referral - Henderson,Sheep Ranching,Cold
00QAx0LEAD_YARBO16,Dell,Yarborough,Ochoco Cattle Co,dell@ochococattle.example,(541) 555-6176,Working,Cold Call,Equine Boarding,Cold
00QAx0LEAD_RENNE17,Cal,Renner,Pine Mountain Ranch,cal@pinemountainranch.example,(541) 555-6187,Nurturing,Cold Call,Dairy Farming,Warm
00QAx0LEAD_LINDQ18,Greta,Lindqvist,Aspen Valley Ranch,greta@aspenvalleyranch.example,(541) 555-6198,Working,Trade Show - NW Cattlemen,Dairy Farming,Warm
