Course	Avalanche Level 1 Field Course
Instructor	Jeff Peterson
Provider	Teton Summit Resort Avalanche Education
Session_dates	2026-01-17 to 2026-01-18
Meeting_point	Teton Pass winter lot, 7:30 AM
Course_fee_USD	375
Max_students	15

Student	Email	Phone	Paid	Gear_rental	Notes
Maria Alvarez	m.alvarez88@gmail.com	(307) 555-0311	Yes	Beacon	First avy course
Derek Nguyen	derek.nguyen@gmail.com	(208) 555-0344	Yes	None	Has own kit
Sophie Bell	sophiebell.ski@gmail.com	(307) 555-0377	Yes	Beacon, probe	New to touring
Ryan Foster	rfoster.jh@gmail.com	(307) 555-0388	Yes	None	
Hannah Liu	hannah.liu23@gmail.com	(406) 555-0399	Yes	Full set	Drove from Bozeman
Caleb Ward	caleb.ward.mtn@gmail.com	(307) 555-0412	Yes	Shovel	
Priya Shah	priya.shah.outdoor@gmail.com	(801) 555-0423	Yes	None	Splitboarder
Tyler Brooks	tbrooks.climb@gmail.com	(307) 555-0434	No	Full set	Pay day of, balance due
Nina Roth	nina.roth@gmail.com	(307) 555-0445	Yes	Beacon	
Sam Carter	sam.carter.wy@gmail.com	(307) 555-0456	Yes	None	Repeat student, retake
Grace Kim	grace.kim.ski@gmail.com	(307) 555-0467	Yes	Probe	Nordic background
Owen Diaz	owen.diaz@gmail.com	(307) 555-0478	Yes	None	

Enrolled	12
Paid	11
Balance_outstanding_USD	375
