student_id,first_name,last_name,work_category,readiness_score,instructor_notes,release_on_file
STU-201,Amara,Boone,3d_floral,88,Strong petal work clean sanitation ready to open,true
STU-202,Priya,Vasquez,chrome_and_foil,84,Bold chrome hand steady on the mirror pigment,true
STU-203,Marissa,Kellner,sculpted_extension,82,Solid form control still fighting apex thickness,true
STU-204,Denise,Reeves,gel_ombre,79,Ombre gradient reads well from three feet,true
STU-205,Kelli,Bautista,gel_ombre,72,Blends improving still learning slow cure timing,pending
STU-206,Serena,Odum,rhinestone_encrusted,86,Design cohesion strong panel loves her lines,true
STU-207,Erin,Lambright,mixed_media,74,Ambitious concept execution catching up,false
STU-208,Yolanda,Grimes,3d_floral,81,Petal set clean release form still on her desk,pending
STU-209,Bethany,Purcell,gel_negative_space,77,Neat spacing needs cleaner cuticle line,true
STU-210,Corrine,Alvarado,chrome_and_foil,83,Foil transfer confident,true
STU-211,Trisha,Kwong,sculpted_extension,80,Apex control landed this cycle,true
STU-212,Rachael,Osei,mixed_media,71,Emerging strong on line work,false
STU-213,Kayla,Roundtree,gel_negative_space,78,Steady clean cuticle line every time,true
STU-214,Nadia,Ferrell,3d_floral,85,Petal layering competitive,true
STU-215,Vivian,Hollins,rhinestone_encrusted,80,Balance across five fingers reads calm,true
STU-216,Georgia,Whitlow,gel_ombre,75,Consistent color story still slow at the demo,pending
