person_id,name,type,release_on_file,date_signed_iso,notes
STU-201,Amara Boone,cohort_student,true,2026-10-14,Full release photo and video
STU-202,Priya Vasquez,cohort_student,true,2026-10-14,Full release photo and video
STU-203,Marissa Kellner,cohort_student,true,2026-10-15,Full release photo and video
STU-204,Denise Reeves,cohort_student,true,2026-10-15,Full release photo and video
STU-205,Kelli Bautista,cohort_student,pending,,Release still on her desk expected before December 5 2026
STU-206,Serena Odum,cohort_student,true,2026-10-16,Full release photo and video
STU-207,Erin Lambright,cohort_student,false,,Declined video hold from any public post
STU-208,Yolanda Grimes,cohort_student,pending,,Release form not yet returned
STU-209,Bethany Purcell,cohort_student,true,2026-10-16,Full release photo and video
STU-210,Corrine Alvarado,cohort_student,true,2026-10-17,Full release photo and video
STU-211,Trisha Kwong,cohort_student,true,2026-10-17,Full release photo and video
STU-212,Rachael Osei,cohort_student,false,,Declined photo hold from any public post
STU-213,Kayla Roundtree,cohort_student,true,2026-10-18,Full release photo and video
STU-214,Nadia Ferrell,cohort_student,true,2026-10-18,Full release photo and video
STU-215,Vivian Hollins,cohort_student,true,2026-10-19,Full release photo and video
STU-216,Georgia Whitlow,cohort_student,pending,,Release form countersign expected 2026-12-03 on return from travel
REG-301,Toni Vaughn,regional_competitor,true,2026-11-14,Signed with confirmation
REG-302,Alicia Marsh,regional_competitor,true,2026-11-16,Signed with confirmation
REG-303,Whitney Osborne,regional_competitor,pending,,Awaiting return signed release
REG-304,Renata Diallo,regional_competitor,true,2026-11-20,Signed with confirmation
REG-306,Jasmine Kettering,regional_competitor,pending,,Awaiting return signed release
REG-307,Brandi Ho,regional_competitor,true,2026-11-25,Signed with confirmation
REG-309,Delphine Ackerman,regional_competitor,true,2026-11-28,Signed with confirmation
