Month	Gross Amount	Federal Tax Withheld	AZ State Tax Withheld	Net Deposit	Account Last Four
January 2024	8100.00	1215.00	202.50	6682.50	9983
February 2024	8100.00	1215.00	202.50	6682.50	9983
March 2024	8100.00	1215.00	202.50	6682.50	9983
April 2024	8100.00	1215.00	202.50	6682.50	9983
May 2024	8100.00	1215.00	202.50	6682.50	9983
June 2024	8100.00	1215.00	202.50	6682.50	9983
July 2024	8100.00	1215.00	202.50	6682.50	9983
August 2024	8100.00	1215.00	202.50	6682.50	9983
September 2024	8100.00	1215.00	202.50	6682.50	9983
October 2024	8100.00	1215.00	202.50	6682.50	9983
November 2024	8100.00	1215.00	202.50	6682.50	9983
December 2024	8100.00	1215.00	202.50	6682.50	9983
January 2025	8100.00	1215.00	202.50	6682.50	9983
February 2025	8100.00	1215.00	202.50	6682.50	9983
March 2025	8100.00	1215.00	202.50	6682.50	9983
April 2025	8100.00	1215.00	202.50	6682.50	9983
May 2025	8100.00	1215.00	202.50	6682.50	9983
June 2025	8100.00	1215.00	202.50	6682.50	9983
July 2025	8100.00	1215.00	202.50	6682.50	9983
August 2025	8100.00	1215.00	202.50	6682.50	9983
September 2025	8100.00	1215.00	202.50	6682.50	9983
October 2025	8100.00	1215.00	202.50	6682.50	9983
November 2025	8100.00	1215.00	202.50	6682.50	9983
December 2025	8100.00	1215.00	202.50	6682.50	9983
