id,calendar_id,summary,description,location,start,end,all_day,status,creator,organizer,recurrence,visibility
evt-board-sitting-dec17,mary-work,Year End Board Sitting,Standing year end sitting. Location and time per the operations runbook.,Ridgewood Library Learning Commons,2026-12-17T16:30:00-05:00,2026-12-17T20:00:00-05:00,false,confirmed,p.hernandez@maplewoodschoolboard.ca,p.hernandez@maplewoodschoolboard.ca,,default
evt-0000,ridgewood-shared,Staff Meeting,Staff Meeting session 0.,Main Building,2026-09-02T09:00:00-05:00,2026-09-02T10:00:00-05:00,false,confirmed,mary.vasquez@Finthesiss.ai,mary.vasquez@Finthesiss.ai,RRULE:FREQ=WEEKLY;COUNT=10,default
evt-0001,mary-work,Department Head Meeting,Department Head Meeting session 1.,Science Wing,2026-09-04T10:00:00-05:00,2026-09-04T11:00:00-05:00,false,confirmed,mary.vasquez@Finthesiss.ai,mary.vasquez@Finthesiss.ai,,default
evt-0002,family,Parent Council,Parent Council session 2.,Arts Wing,2026-09-06T11:00:00-05:00,2026-09-06T12:00:00-05:00,false,confirmed,mary.vasquez@Finthesiss.ai,mary.vasquez@Finthesiss.ai,,default
evt-0003,mary-work,Equity Committee,Equity Committee session 3.,Gymnasium,2026-09-08T12:00:00-05:00,2026-09-08T13:00:00-05:00,false,confirmed,mary.vasquez@Finthesiss.ai,mary.vasquez@Finthesiss.ai,,default
evt-0004,mary-work,Wellness Committee,Wellness Committee session 4.,Portable A,2026-09-10T13:00:00-05:00,2026-09-10T14:00:00-05:00,false,confirmed,mary.vasquez@Finthesiss.ai,mary.vasquez@Finthesiss.ai,,default
evt-0005,mary-work,Class Coverage,Class Coverage session 5.,Portable B,2026-09-12T14:00:00-05:00,2026-09-12T15:00:00-05:00,false,confirmed,mary.vasquez@Finthesiss.ai,mary.vasquez@Finthesiss.ai,,default
evt-0006,family,Guidance Check In,Guidance Check In session 6.,Library Learning Commons,2026-09-14T09:00:00-05:00,2026-09-14T10:00:00-05:00,false,confirmed,mary.vasquez@Finthesiss.ai,mary.vasquez@Finthesiss.ai,,default
evt-0007,ridgewood-shared,Facilities Walkthrough,Facilities Walkthrough session 7.,Main Office,2026-09-16T10:00:00-05:00,2026-09-16T11:00:00-05:00,false,confirmed,mary.vasquez@Finthesiss.ai,mary.vasquez@Finthesiss.ai,,default
evt-0008,ridgewood-shared,Budget Review,Budget Review session 8.,Main Building,2026-09-18T11:00:00-05:00,2026-09-18T12:00:00-05:00,false,confirmed,mary.vasquez@Finthesiss.ai,mary.vasquez@Finthesiss.ai,,default
evt-0009,mary-work,Community Partnership Call,Community Partnership Call session 9.,Science Wing,2026-09-20T12:00:00-05:00,2026-09-20T13:00:00-05:00,false,confirmed,mary.vasquez@Finthesiss.ai,mary.vasquez@Finthesiss.ai,,default
evt-0010,ridgewood-shared,PD Planning,PD Planning session 10.,Arts Wing,2026-09-22T13:00:00-05:00,2026-09-22T14:00:00-05:00,false,confirmed,mary.vasquez@Finthesiss.ai,mary.vasquez@Finthesiss.ai,,default
evt-0011,family,Grade Nine Transition,Grade Nine Transition session 11.,Gymnasium,2026-09-24T14:00:00-05:00,2026-09-24T15:00:00-05:00,false,confirmed,mary.vasquez@Finthesiss.ai,mary.vasquez@Finthesiss.ai,,default
evt-0012,mary-work,Staff Meeting,Staff Meeting session 12.,Portable A,2026-09-26T09:00:00-05:00,2026-09-26T10:00:00-05:00,false,confirmed,mary.vasquez@Finthesiss.ai,mary.vasquez@Finthesiss.ai,,default
evt-0013,mary-work,Department Head Meeting,Department Head Meeting session 13.,Portable B,2026-09-28T10:00:00-05:00,2026-09-28T11:00:00-05:00,false,confirmed,mary.vasquez@Finthesiss.ai,mary.vasquez@Finthesiss.ai,,default
evt-0014,mary-work,Parent Council,Parent Council session 14.,Library Learning Commons,2026-09-30T11:00:00-05:00,2026-09-30T12:00:00-05:00,false,confirmed,mary.vasquez@Finthesiss.ai,mary.vasquez@Finthesiss.ai,,default
evt-0015,ridgewood-shared,Equity Committee,Equity Committee session 15.,Main Office,2026-10-02T12:00:00-05:00,2026-10-02T13:00:00-05:00,false,confirmed,mary.vasquez@Finthesiss.ai,mary.vasquez@Finthesiss.ai,RRULE:FREQ=WEEKLY;COUNT=10,default
evt-0016,mary-work,Wellness Committee,Wellness Committee session 16.,Main Building,2026-10-04T13:00:00-05:00,2026-10-04T14:00:00-05:00,false,confirmed,mary.vasquez@Finthesiss.ai,mary.vasquez@Finthesiss.ai,,default
evt-0017,mary-work,Class Coverage,Class Coverage session 17.,Science Wing,2026-10-06T14:00:00-05:00,2026-10-06T15:00:00-05:00,false,confirmed,mary.vasquez@Finthesiss.ai,mary.vasquez@Finthesiss.ai,,default
