Date	From	Subject	Status	Label
2026-02-22	Ray Okonkwo	Q1 wholesale price update	Read	Pricing
2026-02-20	Angela Reese	Re: November lunch confirmation	Read	Catering
2026-02-18	Lena Cho	Rib supply this week	Read	Vendor
2026-02-16	The Hartford	Policy BOP-7720394 renewal notice	Read	Insurance
2026-02-14	River City CCU	Loan statement available SBL-204417	Read	Banking
2026-02-11	Eventbrite	New Year's Eve event tools	Read	Events
2026-02-09	Festival Booking Office	October 24 stage plot request	Replied	Band
2026-02-05	Frank Donovan	Touching base before renewal	Flagged	Lease
2026-02-01	Westbrook Prep	Parent update February	Read	School
2026-01-28	Sysco Virginia	Specialty order ready	Read	Vendor
