Date	Description	Category	Debit	Credit	Balance
2026-01-31	Owner draw from restaurant	Income		2897.35	4612.88
2026-02-01	Holloway Property Mgmt rent	Housing	1950.00		2662.88
2026-02-01	Zelle to Earl Barker support	Family	400.00		2262.88
2026-02-02	Kroger groceries	Groceries	184.22		2078.66
2026-02-03	Anthem HealthKeepers premium	Insurance	580.00		1498.66
2026-02-05	Dominion VA Power home	Utilities	162.40		1336.26
2026-02-06	Monique paycheck deposit	Income		900.00	2236.26
2026-02-09	Verizon two lines	Phone	110.00		2126.26
2026-02-12	Broad Street Butcher personal	Groceries	63.18		2063.08
2026-02-13	Owner draw from restaurant	Income		2102.65	4165.73
2026-02-15	Coinbase Bitcoin auto buy	Investing	25.00		4140.73
2026-02-16	Kroger groceries	Groceries	201.55		3939.18
2026-02-18	Erie Insurance auto and home	Insurance	280.00		3659.18
2026-02-20	Westbrook Prep activity fee	School	120.00		3539.18
2026-02-21	River City CCU auto loan	Auto	310.00		3229.18
2026-02-24	Transfer to savings	Savings	300.00		2929.18
