receipt_id,shop_id,buyer_user_id,buyer_email,name,address_first_line,address_city,address_state,address_zip,address_country,status,payment_method,grandtotal,subtotal,total_shipping_cost,total_tax_cost,discount_amt,gift_message,is_gift,shipping_carrier,tracking_code,created_timestamp,updated_timestamp,shipped_timestamp,estimated_delivery
4200001,29457183,6100000,megan.ortiz@gmail.com,Megan Ortiz,9336 Main St,Tulsa,OK,74104,US,completed,etsy_payments,47.21,38.0,7.5,1.71,0.0,,false,ups,9400176681598891871,2026-08-03T10:00:00-05:00,2026-08-03T10:00:00-05:00,2026-08-05T14:00:00-05:00,2026-08-09T12:00:00-05:00
4200002,29457183,6100001,priya.shah@outlook.com,Priya Shah,493 Cedar St,Norman,OK,73019,US,completed,etsy_payments,51.39,42.0,7.5,1.89,0.0,,false,usps,9400327946686000812,2026-07-12T10:01:00-05:00,2026-07-12T10:01:00-05:00,2026-07-14T14:00:00-05:00,2026-07-18T12:00:00-05:00
4200003,29457183,6100002,caleb.duncan@gmail.com,Caleb Duncan,7460 Oak St,Broken Arrow,OK,74012,US,completed,etsy_payments,85.56,68.0,14.5,3.06,0.0,,false,fedex,9400917083109696763,2026-07-23T10:02:00-05:00,2026-07-23T10:02:00-05:00,2026-07-25T14:00:00-05:00,2026-07-28T12:00:00-05:00
4200004,29457183,6100003,ruth.alvarez@yahoo.com,Ruth Alvarez,8671 Oak St,Owasso,OK,74055,US,completed,etsy_payments,43.03,34.0,7.5,1.53,0.0,,false,ups,9400647346418511520,2026-07-23T10:03:00-05:00,2026-07-23T10:03:00-05:00,2026-07-25T14:00:00-05:00,2026-07-28T12:00:00-05:00
4200005,29457183,6100004,derek.chan@gmail.com,Derek Chan,6707 Cedar St,Bixby,OK,74008,US,completed,etsy_payments,213.05,190.0,14.5,8.55,0.0,,false,fedex,9400511078101298297,2026-08-03T10:04:00-05:00,2026-08-03T10:04:00-05:00,2026-08-05T14:00:00-05:00,2026-08-09T12:00:00-05:00
4200006,29457183,6100005,nina.coleman@gmail.com,Nina Coleman,144 Elm St,Jenks,OK,74037,US,completed,etsy_payments,67.52,56.0,9.0,2.52,0.0,,false,usps,9400853667576919545,2026-07-27T10:05:00-05:00,2026-07-27T10:05:00-05:00,2026-07-28T14:00:00-05:00,2026-07-28T12:00:00-05:00
4200007,29457183,6100006,aaron.webb@proton.me,Aaron Webb,4458 Oak St,Tulsa,OK,74114,US,completed,etsy_payments,64.66,48.0,14.5,2.16,0.0,,false,fedex,9400963490175219300,2026-09-27T10:06:00-05:00,2026-09-27T10:06:00-05:00,2026-09-28T14:00:00-05:00,2026-09-28T12:00:00-05:00
4200008,29457183,6100007,sofia.reyes@gmail.com,Sofia Reyes,3827 Elm St,Sand Springs,OK,74063,US,completed,etsy_payments,43.35,30.0,12.0,1.35,0.0,,false,fedex,9400127967538576941,2026-07-16T10:07:00-05:00,2026-07-16T10:07:00-05:00,2026-07-18T14:00:00-05:00,2026-07-22T12:00:00-05:00
4200009,29457183,6100008,grant.miller@gmail.com,Grant Miller,9176 Elm St,Claremore,OK,74017,US,completed,etsy_payments,123.18,104.0,14.5,4.68,0.0,,false,ups,9400743104363938798,2026-07-21T10:08:00-05:00,2026-07-21T10:08:00-05:00,2026-07-23T14:00:00-05:00,2026-07-27T12:00:00-05:00
4200010,29457183,6100009,hazel.fox@gmail.com,Hazel Fox,1005 Cedar St,Sapulpa,OK,74066,US,completed,etsy_payments,57.98,44.0,12.0,1.98,0.0,,false,usps,9400398371171885201,2026-08-19T10:09:00-05:00,2026-08-19T10:09:00-05:00,2026-08-21T14:00:00-05:00,2026-08-25T12:00:00-05:00
