Id,DisplayName,GivenName,FamilyName,CompanyName,PrimaryEmailAddr,PrimaryPhone,BillAddr,Balance,Active,Job,Notes
qb_cust_001,Ambervale Properties,Ambervale,Properties,Ambervale Properties,"{""Address"": ""ops@ambervaleproperties.com""}","{""FreeFormNumber"": ""+15035554000""}","{""Line1"": ""100 Portland Way"", ""City"": ""Portland"", ""CountrySubDivisionCode"": ""OR"", ""PostalCode"": ""97200""}",0,true,false,
qb_cust_002,Northeast Aviation,Northeast,Aviation,Northeast Aviation,"{""Address"": ""events@northeastaviation.com""}","{""FreeFormNumber"": ""+15035554023""}","{""Line1"": ""103 Portland Way"", ""City"": ""Beaverton"", ""CountrySubDivisionCode"": ""OR"", ""PostalCode"": ""97201""}",0,true,false,
qb_cust_003,Meredith Alcorn,Meredith,Alcorn,Meredith Alcorn,"{""Address"": ""meredith@meredithevents.com""}","{""FreeFormNumber"": ""+15035554046""}","{""Line1"": ""106 Portland Way"", ""City"": ""Hillsboro"", ""CountrySubDivisionCode"": ""OR"", ""PostalCode"": ""97202""}",0,true,false,
qb_cust_004,Cascade Public Library,Cascade,Library,Cascade Public Library,"{""Address"": ""donor@cascadelibrary.org""}","{""FreeFormNumber"": ""+15035554069""}","{""Line1"": ""109 Portland Way"", ""City"": ""Lake Oswego"", ""CountrySubDivisionCode"": ""OR"", ""PostalCode"": ""97203""}",0,true,false,
qb_cust_005,Portland Preservation Society,Portland,Society,Portland Preservation Society,"{""Address"": ""kelly@portlandpreservation.org""}","{""FreeFormNumber"": ""+15035554092""}","{""Line1"": ""112 Portland Way"", ""City"": ""Tigard"", ""CountrySubDivisionCode"": ""OR"", ""PostalCode"": ""97204""}",0,true,false,
qb_cust_006,Corridor Studios,Corridor,Studios,Corridor Studios,"{""Address"": ""team@corridorstudios.com""}","{""FreeFormNumber"": ""+15035554115""}","{""Line1"": ""115 Portland Way"", ""City"": ""Vancouver WA"", ""CountrySubDivisionCode"": ""OR"", ""PostalCode"": ""97205""}",0,true,false,
qb_cust_007,Marlow-Sato,Marlow-Sato,,Marlow-Sato,"{""Address"": ""ruthmarlow@example.com""}","{""FreeFormNumber"": ""+15035554138""}","{""Line1"": ""118 Portland Way"", ""City"": ""West Linn"", ""CountrySubDivisionCode"": ""OR"", ""PostalCode"": ""97206""}",0,true,false,
qb_cust_008,Lansdowne,Lansdowne,,Lansdowne,"{""Address"": ""ivy.lansdowne@example.com""}","{""FreeFormNumber"": ""+15035554161""}","{""Line1"": ""121 Portland Way"", ""City"": ""Milwaukie"", ""CountrySubDivisionCode"": ""OR"", ""PostalCode"": ""97207""}",0,true,false,
qb_cust_009,Ferreira family,Ferreira,family,Ferreira family,"{""Address"": ""rania.ferreira@example.com""}","{""FreeFormNumber"": ""+15035554184""}","{""Line1"": ""124 Portland Way"", ""City"": ""Sherwood"", ""CountrySubDivisionCode"": ""OR"", ""PostalCode"": ""97208""}",0,true,false,
qb_cust_010,Casey-Nolan,Casey-Nolan,,Casey-Nolan,"{""Address"": ""harlan.casey@example.com""}","{""FreeFormNumber"": ""+15035554207""}","{""Line1"": ""127 Portland Way"", ""City"": ""Gresham"", ""CountrySubDivisionCode"": ""OR"", ""PostalCode"": ""97209""}",0,true,false,
qb_cust_011,Hu-Wallace,Hu-Wallace,,Hu-Wallace,"{""Address"": ""colby.hu@example.com""}","{""FreeFormNumber"": ""+15035554230""}","{""Line1"": ""130 Portland Way"", ""City"": ""Salem"", ""CountrySubDivisionCode"": ""OR"", ""PostalCode"": ""97200""}",0,true,false,
qb_cust_012,Wong-Ferreira,Wong-Ferreira,,Wong-Ferreira,"{""Address"": ""meredith.wong@example.com""}","{""FreeFormNumber"": ""+15035554253""}","{""Line1"": ""133 Portland Way"", ""City"": ""Silverton"", ""CountrySubDivisionCode"": ""OR"", ""PostalCode"": ""97201""}",0,true,false,
qb_cust_013,Vasquez,Vasquez,,Vasquez,"{""Address"": ""alma.vasquez@example.com""}","{""FreeFormNumber"": ""+15035554276""}","{""Line1"": ""136 Portland Way"", ""City"": ""Tualatin"", ""CountrySubDivisionCode"": ""OR"", ""PostalCode"": ""97202""}",0,true,false,
qb_cust_014,Overland Homeowners,Overland,Homeowners,Overland Homeowners,"{""Address"": ""board@overlandhoa.com""}","{""FreeFormNumber"": ""+15035554299""}","{""Line1"": ""139 Portland Way"", ""City"": ""Wilsonville"", ""CountrySubDivisionCode"": ""OR"", ""PostalCode"": ""97203""}",0,true,false,
qb_cust_015,Cascade Legal,Cascade,Legal,Cascade Legal,"{""Address"": ""office@cascadelegal.com""}","{""FreeFormNumber"": ""+15035554322""}","{""Line1"": ""142 Portland Way"", ""City"": ""Aloha"", ""CountrySubDivisionCode"": ""OR"", ""PostalCode"": ""97204""}",0,true,false,
qb_cust_016,Beaverton Tech Coop,Beaverton,Coop,Beaverton Tech Coop,"{""Address"": ""office@btctech.coop""}","{""FreeFormNumber"": ""+15035554345""}","{""Line1"": ""145 Portland Way"", ""City"": ""Cedar Hills"", ""CountrySubDivisionCode"": ""OR"", ""PostalCode"": ""97205""}",0,true,false,
qb_cust_017,St. Johns Parish,St.,Parish,St. Johns Parish,"{""Address"": ""office@stjohnsparish.org""}","{""FreeFormNumber"": ""+15035554368""}","{""Line1"": ""148 Portland Way"", ""City"": ""Bethany"", ""CountrySubDivisionCode"": ""OR"", ""PostalCode"": ""97206""}",0,true,false,
qb_cust_018,Wu-Silva,Wu-Silva,,Wu-Silva,"{""Address"": ""isabel.wu@example.com""}","{""FreeFormNumber"": ""+15035554391""}","{""Line1"": ""151 Portland Way"", ""City"": ""Forest Grove"", ""CountrySubDivisionCode"": ""OR"", ""PostalCode"": ""97207""}",0,true,false,
qb_cust_019,Kim-Alvarez,Kim-Alvarez,,Kim-Alvarez,"{""Address"": ""adele.kim@example.com""}","{""FreeFormNumber"": ""+15035554414""}","{""Line1"": ""154 Portland Way"", ""City"": ""Portland"", ""CountrySubDivisionCode"": ""OR"", ""PostalCode"": ""97208""}",0,true,false,
