id,name,permissionLevel
appMurray2026,Murray Plumbing Ops 2026,create
appMurray2027,Sandra Gallo,create
appMurray2028,Ocean State Fixtures,create
appMurray2029,Rhody Rentals,create
appMurray2030,Ruth Botelho,create
appMurray2031,Federal Hill Holdings,create
appMurray2032,Coastline Insurance,create
appMurray2033,Michelle Lin,create
appMurray2034,DeLuca bath remodel,create
appMurray2035,Almeida bath remodel,create
appMurray2036,Ricci sump pump install,create
appMurray2037,DeLuca basement finish,create
appMurray2038,Ferreira radiant floor loop,create
appMurray2039,Wessel drain cleaning,create
appMurray2040,Horvath boiler service,create
appMurray2041,Lin radiant floor loop,create
appMurray2042,Cabral sewer line replacement,create
appMurray2043,Silva boiler service,create
appMurray2044,Bianchi drain cleaning,create
appMurray2045,Brennan dishwasher hookup,create
appMurray2046,Murphy well pump service,create
appMurray2047,Kowalski bath remodel,create
appMurray2048,Patel sump pump install,create
appMurray2049,Conti basement finish,create
appMurray2050,Henderson half bath addition,create
appMurray2051,Flynn shower valve replace,create
appMurray2052,Bianchi bath remodel,create
appMurray2053,Pacheco outdoor spigot,create
appMurray2054,Horvath drain cleaning,create
appMurray2055,Sullivan half bath addition,create
appMurray2056,Esposito water heater replacement,create
appMurray2057,Botelho tankless conversion,create
appMurray2058,Flynn water heater replacement,create
appMurray2059,Patel bath remodel,create
appMurray2060,Silva fixture install,create
appMurray2061,Wessel half bath addition,create
appMurray2062,Flynn drain cleaning,create
appMurray2063,Westminster backflow test,create
appMurray2064,Bianchi outdoor spigot,create
appMurray2065,Lin boiler service,create
appMurray2066,Lin bath remodel,create
appMurray2067,Silva fixture install,create
appMurray2068,Esposito drain cleaning,create
appMurray2069,Murphy outdoor spigot,create
appMurray2070,Correia outdoor spigot,create
appMurray2071,Ricci backflow test,create
appMurray2072,Coletti sewer line replacement,create
appMurray2073,Brennan dishwasher hookup,create
appMurray2074,Flynn half bath addition,create
appMurray2075,Boucher fixture install,create
appMurray2076,Boucher copper repipe,create
appMurray2077,Brennan backflow test,create
appMurray2078,DeLuca outdoor spigot,create
appMurray2079,OLeary outdoor spigot,create
appMurray2080,Novak bath remodel,create
appMurray2081,DeLuca dishwasher hookup,create
appMurray2082,Bianchi shower valve replace,create
appMurray2083,Ferreira sewer line replacement,create
appMurray2084,Kowalski basement finish,create
appMurray2085,Reilly basement finish,create
appMurray2086,Hayashi well pump service,create
appMurray2087,Nash basement finish,create
appMurray2088,Correia well pump service,create
appMurray2089,Esposito drain cleaning,create
appMurray2090,Adler copper repipe,create
appMurray2091,Westminster fixture install,create
appMurray2092,Ferrari basement finish,create
appMurray2093,Novak shower valve replace,create
appMurray2094,Sullivan well pump service,create
appMurray2095,Sullivan backflow test,create
appMurray2096,Westminster sump pump install,create
appMurray2097,Patel tankless conversion,create
appMurray2098,Gallo backflow test,create
appMurray2099,OLeary backflow test,create
appMurray2100,Esposito bath remodel,create
appMurray2101,Horvath basement finish,create
appMurray2102,Silva copper repipe,create
appMurray2103,Westminster sump pump install,create
appMurray2104,Boucher radiant floor loop,create
appMurray2105,Tannenbaum radiant floor loop,create
appMurray2106,Boucher bath remodel,create
appMurray2107,Kowalski boiler service,create
appMurray2108,Kapoor water heater replacement,create
appMurray2109,Brennan basement finish,create
appMurray2110,Nash shower valve replace,create
appMurray2111,Esposito half bath addition,create
appMurray2112,Esposito tankless conversion,create
appMurray2113,OLeary boiler service,create
appMurray2114,Owen gas line install,create
appMurray2115,Sullivan dishwasher hookup,create
appMurray2116,Lin bath remodel,create
appMurray2117,Henderson boiler service,create
appMurray2118,Marquez boiler service,create
appMurray2119,Sullivan water heater replacement,create
appMurray2120,Brennan dishwasher hookup,create
