id,firstname,lastname,email,phone,jobtitle,company,lifecyclestage,createdate,lastmodifieddate
hs_contact_5512,Robert,Mitchell,robert.mitchell.bhm@gmail.com,+12055550301,Independent Consultant,Robert Mitchell Consulting,customer,2024-05-12T09:00:00Z,2026-09-18T11:00:00Z
hs_contact_5513,Rachelle,Mitchell-Howard,rachelle.mh.atlanta@gmail.com,+14045550312,VP Marketing,Mitchell-Howard Pharma Marketing,customer,2024-09-22T09:00:00Z,2026-06-04T10:00:00Z
hs_contact_5514,Ruth,Mitchell Estate,ruth.mitchell.estate@trust.legalfn.com,+12055550408,Trust Administrator | external_trust_id=RMME-1968-TRUST-042 | reference contact Vivian Stoddard at Legalfin,Legalfin Trust Administration,legacy,2022-04-14T09:00:00Z,2026-08-30T14:30:00Z
hs_contact_5500,Calvin,Bridgeforth,c.bridgeforth@bridgeforth-fund.org,+12055550501,Trustee,Bridgeforth Family Fund,customer,2024-04-02T09:00:00Z,2026-09-12T09:00:00Z
hs_contact_5501,Marisol,Vega,m.vega@civicfriends.org,+12055550502,Executive Director,Civic Friends of Cornerstone,opportunity,2024-01-20T09:00:00Z,2026-09-22T16:00:00Z
hs_contact_5502,Helena,Brookings,h.brookings@brookings-trust.org,+12055550503,Family Trustee,Helena Brookings Trust,opportunity,2024-06-15T09:00:00Z,2026-09-08T11:00:00Z
hs_contact_5503,Lila,Pemberton,l.pemberton@sloss-iron-trust.org,+12055550504,Program Officer,Sloss-Iron Civic Trust,opportunity,2024-02-28T09:00:00Z,2026-08-29T10:00:00Z
hs_contact_5504,Tucker,Vance,t.vance@vulcan-heritage.org,+12055550505,Board Chair,Vulcan Heritage Society,customer,2023-09-10T09:00:00Z,2026-07-14T14:00:00Z
hs_contact_5505,Reginald,Halford,reg.halford@birminghamgmail.com,+12055550506,Retired Surgeon,Self,customer,2023-03-19T09:00:00Z,2026-09-26T12:00:00Z
hs_contact_5506,Yolanda,Steinmetz,y.steinmetz@birminghamgmail.com,+12055550507,Architect,Steinmetz Architects,customer,2022-11-05T09:00:00Z,2026-09-19T15:00:00Z
hs_contact_5507,Maxwell,Drennen,m.drennen@drennen-law.com,+12055550508,Attorney,Drennen Law Group,customer,2023-06-22T09:00:00Z,2026-09-30T10:00:00Z
hs_contact_5508,Imani,Whitaker,i.whitaker@birminghamgmail.com,+12055550509,Pediatrician,Whitaker Pediatrics,opportunity,2024-04-08T09:00:00Z,2026-09-15T11:00:00Z
hs_contact_5509,Desmond,Holloway,d.holloway@holloway-engineering.com,+12055550510,Civil Engineer,Holloway Engineering Group,customer,2023-08-14T09:00:00Z,2026-09-21T16:30:00Z
hs_contact_5510,Genevieve,Stoddard,g.stoddard@birminghamgmail.com,+12055550511,Retired Educator,Self,customer,2022-07-30T09:00:00Z,2026-09-09T12:30:00Z
hs_contact_5511,Theron,Marbury,t.marbury@marbury-realty.com,+12055550512,Real Estate Broker,Marbury Realty Partners,opportunity,2024-02-11T09:00:00Z,2026-08-19T10:00:00Z
hs_contact_5515,Beverly,Tutwiler,b.tutwiler@tutwiler-heritage.org,+12055550513,Director,Tutwiler Heritage Library,customer,2023-04-12T09:00:00Z,2026-09-25T11:00:00Z
hs_contact_5516,Linda,Petersen,l.petersen@bplibrary.org,+12055550514,Special Collections Manager,Birmingham Public Library,customer,2022-02-20T09:00:00Z,2026-09-28T14:00:00Z
hs_contact_5517,Garrett,Lassiter,g.lassiter@reedmathis-holdings.com,+12055550515,Managing Partner,Reed-Mathis Holdings,opportunity,2024-01-30T09:00:00Z,2026-09-11T13:00:00Z
hs_contact_5518,Vance,Pickens-Riley,v.pickens.riley@pickens-bessemer-re.com,+12055550516,Principal Broker,Pickens-Bessemer Real Estate,customer,2023-10-18T09:00:00Z,2026-08-26T15:00:00Z
hs_contact_5519,Estelle,Roanoke,e.roanoke@birminghamgmail.com,+12055550517,Philanthropist,Self,opportunity,2024-05-22T09:00:00Z,2026-09-17T11:00:00Z
hs_contact_5520,Marcus,Yoon,m.yoon@magnoliaconservation.com,+12055550518,Senior Conservator,Magnolia Conservation LLC,customer,2022-04-25T09:00:00Z,2026-09-29T16:00:00Z
hs_contact_5521,Devon,Hailey,d.hailey@stationflow.io,+14045550519,Account Executive,Stationflow Inc,customer,2023-01-22T09:00:00Z,2026-09-15T12:00:00Z
