id,firstName,lastName,workEmail,department,jobTitle,location,hireDate,status,supervisorId
EMP_CRSD_20871,Callum,Whitridge,cwhitridge@cedarridgemiddle.edu,Social Studies,"Teacher, 7th Grade U.S. History",Cedar Ridge Middle School,2019-08-19,Active,EMP_CRSD_00050
EMP_CRSD_00100,Dave,Harmon,dharmon@cedarridgemiddle.edu,Administration,Principal,Cedar Ridge Middle School,2014-07-15,Active,
EMP_CRSD_00050,Laura,Chen,laura.chen@cedarridgemiddle.edu,Social Studies,Department Chair,Cedar Ridge Middle School,2011-08-15,Active,EMP_CRSD_00100
EMP_CRSD_00250,Dana,Holloway,dholloway@cedarridgesd.org,HR / Payroll,Payroll & Benefits Officer,District Office,2016-03-01,Active,
EMP_CRSD_00412,Marcus,Ferreira,mferreira@cedarridgemiddle.edu,Athletics,Athletics Director,Cedar Ridge Middle School,2017-08-21,Active,EMP_CRSD_00100
EMP_CRSD_00533,Erin,Callahan,ecallahan@cedarridgemiddle.edu,Social Studies,"Teacher, 8th Grade Civics",Cedar Ridge Middle School,2020-08-17,Active,EMP_CRSD_00100
EMP_CRSD_00600,Adrian,Mendez,amendez@cedarridgemiddle.edu,Social Studies,"Teacher, 6th Grade Geography",Cedar Ridge Middle School,2009-01-03,Active,EMP_CRSD_00100
EMP_CRSD_00601,Angela,Hendricks,ahendricks@cedarridgemiddle.edu,Mathematics,"Teacher, Math 6",Cedar Ridge Middle School,2020-03-02,Active,EMP_CRSD_00100
EMP_CRSD_00602,Spencer,Brennan,sbrennan@cedarridgemiddle.edu,Science,"Teacher, Life Science",Cedar Ridge Middle School,2021-10-26,Active,EMP_CRSD_00100
EMP_CRSD_00603,Eric,Barnes,ebarnes@cedarridgemiddle.edu,English / Language Arts,Reading Interventionist,Cedar Ridge Middle School,2023-07-26,Active,EMP_CRSD_00100
EMP_CRSD_00604,Yolanda,Hargrove,yhargrove@cedarridgemiddle.edu,World Languages,"Teacher, French",Cedar Ridge Middle School,2011-12-07,Active,EMP_CRSD_00100
