wa_id,profile_name,phone_number,opted_in,last_seen
15033810147,Kai Nishimura,+15033810147,true,2025-10-08T05:30:00Z
13604810182,Mom,+13604810182,true,2025-10-07T18:45:00Z
13604810194,Anders,+13604810194,true,2025-10-08T02:10:00Z
15093790215,Dad,+15093790215,true,2025-10-05T23:00:00Z
12532470341,Marisol Vega,+12532470341,true,2025-10-08T04:20:00Z
12532470344,Joon Park,+12532470344,true,2025-10-07T22:15:00Z
12532470410,Dr. Lindström,+12532470410,true,2025-10-06T21:00:00Z
12532470418,Yolanda Reeves,+12532470418,true,2025-10-07T19:30:00Z
120363025534821504,Coastal Ecology Lab 🌊,+15551550101,true,2025-10-07T21:50:00Z
120363041524820173,1504 crew,+15551550101,true,2025-10-07T22:15:00Z
