id,calendar_id,summary,description,location,start,end,all_day,status,creator,organizer,recurrence,visibility
evt-001,brandon.kelly@Greenridertech.co,Coffee and chess puzzles,"Daily wake 5:30AM, black Moka-pot coffee, Lichess puzzles before site.","1042 Ferndale Street, Philadelphia, PA 19111",2026-03-09T05:30:00-04:00,2026-03-09T06:30:00-04:00,false,confirmed,brandon.kelly@Greenridertech.co,brandon.kelly@Greenridertech.co,RRULE:FREQ=DAILY,default
evt-002,brandon.kelly@Greenridertech.co,Bridgeton Chess Club,Weekly club night. President. Skips Apr-Sep stays; runs year-round.,Ridgemont Community Center,2026-03-11T18:30:00-04:00,2026-03-11T21:00:00-04:00,false,confirmed,brandon.kelly@Greenridertech.co,brandon.kelly@Greenridertech.co,RRULE:FREQ=WEEKLY;BYDAY=WE,default
evt-003,brandon.kelly@Greenridertech.co,Call Katya,Weekly Friday evening call with Katya.,"1042 Ferndale Street, Philadelphia, PA 19111",2026-03-13T19:00:00-04:00,2026-03-13T19:30:00-04:00,false,confirmed,brandon.kelly@Greenridertech.co,brandon.kelly@Greenridertech.co,RRULE:FREQ=WEEKLY;BYDAY=FR,default
evt-004,brandon.kelly@Greenridertech.co,Call Halyna (WhatsApp video),Sunday WhatsApp video call to Halyna in Kharkiv. 10AM ET.,"1042 Ferndale Street, Philadelphia, PA 19111",2026-03-15T10:00:00-04:00,2026-03-15T10:45:00-04:00,false,confirmed,brandon.kelly@Greenridertech.co,brandon.kelly@Greenridertech.co,RRULE:FREQ=WEEKLY;BYDAY=SU,default
evt-005,brandon-kelly-family@group.calendar.google.com,Briarwood Farmers Market - honey booth,"Saturday honey sales, season runs April through October. Corner booth.",Briarwood Farmers Market,2026-10-03T07:00:00-04:00,2026-10-03T13:00:00-04:00,false,confirmed,brandon.kelly@Greenridertech.co,brandon.kelly@Greenridertech.co,RRULE:FREQ=WEEKLY;BYDAY=SA;UNTIL=20261031T120000Z,default
evt-006,brandon.kelly@Greenridertech.co,Send $400 to Halyna + monthly expense review,First of month: Western Union $400 to Halyna; review Kelly Electric expenses.,"1042 Ferndale Street, Philadelphia, PA 19111",2026-03-01T19:00:00-05:00,2026-03-01T20:00:00-05:00,false,confirmed,brandon.kelly@Greenridertech.co,brandon.kelly@Greenridertech.co,RRULE:FREQ=MONTHLY;BYMONTHDAY=1,default
evt-007,brandon-kelly-family@group.calendar.google.com,Colony health inspection - 12 hives,"Mid-month inspection of all twelve colonies; brood, stores, varroa check.","1042 Ferndale Street, Philadelphia, PA 19111",2026-03-15T13:00:00-04:00,2026-03-15T16:00:00-04:00,false,confirmed,brandon.kelly@Greenridertech.co,brandon.kelly@Greenridertech.co,RRULE:FREQ=MONTHLY;BYMONTHDAY=15,default
evt-008,brandon.kelly@Greenridertech.co,Invoice summary to Steve Hoffman,End-of-month invoice summary sent to accountant.,"1042 Ferndale Street, Philadelphia, PA 19111",2026-03-26T19:00:00-04:00,2026-03-26T19:45:00-04:00,false,confirmed,brandon.kelly@Greenridertech.co,brandon.kelly@Greenridertech.co,RRULE:FREQ=MONTHLY;BYDAY=-1TH,default
evt-009,brandon-kelly-family@group.calendar.google.com,SE PA Beekeepers Guild meeting,Quarterly Southeastern PA Beekeepers Guild meeting at the Guild Hall.,Guild Hall,2026-02-19T19:00:00-05:00,2026-02-19T21:00:00-05:00,false,confirmed,brandon.kelly@Greenridertech.co,brandon.kelly@Greenridertech.co,RRULE:FREQ=MONTHLY;INTERVAL=3;BYMONTHDAY=19,default
evt-010,brandon-kelly-family@group.calendar.google.com,Vasyl Bondarenko birthday,Vasyl Bondarenko birthday.,"1042 Ferndale Street, Philadelphia, PA 19111",2026-01-18T00:00:00-05:00,2026-01-19T00:00:00-05:00,true,confirmed,brandon.kelly@Greenridertech.co,brandon.kelly@Greenridertech.co,RRULE:FREQ=YEARLY,private
evt-011,brandon-kelly-family@group.calendar.google.com,Brandon Kelly birthday,Brandon Kelly birthday.,"Ridgemont Community Center, 421 Ridgemont Ave, Philadelphia, PA 19111",2026-02-09T00:00:00-05:00,2026-02-10T00:00:00-05:00,true,confirmed,brandon.kelly@Greenridertech.co,brandon.kelly@Greenridertech.co,RRULE:FREQ=YEARLY,private
evt-012,brandon-kelly-family@group.calendar.google.com,Andriy Kelly birthday,Andriy Kelly birthday.,"Briarwood Farmers Market, Philadelphia, PA",2026-03-15T00:00:00-04:00,2026-03-16T00:00:00-04:00,true,confirmed,brandon.kelly@Greenridertech.co,brandon.kelly@Greenridertech.co,RRULE:FREQ=YEARLY,private
evt-013,brandon-kelly-family@group.calendar.google.com,Katya Kelly birthday,Katya Kelly birthday.,"Cedarbrook Supply, Philadelphia, PA",2026-11-02T00:00:00-05:00,2026-11-03T00:00:00-05:00,true,confirmed,brandon.kelly@Greenridertech.co,brandon.kelly@Greenridertech.co,RRULE:FREQ=YEARLY,private
