subscriber_id,email,first,last,age_band,subscribed_date,last_open_date,bounce_count,zip,household_id
S-00001,hoyt.eller@bellsouth.net,Hoyt,Eller,under_40,2023-11-13,2026-03-09,0,42003,
S-00002,yvonne.layman@paducah.net,Yvonne,Layman,62_74,2021-07-20,2026-01-14,0,42024,H-0250
S-00003,harlan.thigpen@paducah.net,Harlan,Thigpen,75_84,2026-07-29,2026-10-11,0,42003,H-0188
S-00004,chester.judkins@bellsouth.net,Chester,Judkins,40_61,2022-12-16,2025-09-14,0,42001,
S-00005,percy.ladd@gmail.com,Percy,Ladd,75_84,2022-05-25,2023-11-13,0,42003,H-0044
S-00006,ada.milam@bellsouth.net,Ada,Milam,under_40,2019-09-04,2025-12-28,0,42086,
S-00007,carolyn.yates@paducah.net,Carolyn,Yates,75_84,2021-08-09,2026-06-10,0,42001,H-0094
S-00008,lucille.isbell@bellsouth.net,Lucille,Isbell,62_74,2020-11-02,2026-03-18,0,42001,H-0150
S-00009,nell.sowell@gmail.com,Nell,Sowell,under_40,2020-06-08,2023-03-25,2,42001,
S-00010,elmer.utley@paducah.net,Elmer,Utley,40_61,2025-06-12,2025-06-20,0,42003,
S-00011,gwendolyn.hurst@bellsouth.net,Gwendolyn,Hurst,40_61,2026-06-01,2026-09-23,0,42001,
S-00012,ronald.sinclair@paducah.net,Ronald,Sinclair,62_74,2020-09-04,2022-09-20,0,42086,H-0138
S-00013,alma.coates@paducah.net,Alma,Coates,under_40,2022-08-09,2024-05-04,0,42003,
S-00014,paul.meacham@gmail.com,Paul,Meacham,62_74,2023-12-29,2024-06-04,0,42086,H-0166
S-00015,marlene.threlkeld@gmail.com,Marlene,Threlkeld,85_plus,2023-01-08,2025-09-11,0,42053,H-0001
S-00016,nell.hargrove@bellsouth.net,Nell,Hargrove,40_61,2026-10-10,2026-10-16,0,42003,
S-00017,bonnie.nave@bellsouth.net,Bonnie,Nave,62_74,2020-02-22,2026-09-24,0,42001,H-0024
S-00018,herman.weatherford@paducah.net,Herman,Weatherford,75_84,2022-02-21,2026-04-13,0,42001,H-0222
S-00019,leroy.nunn@bellsouth.net,Leroy,Nunn,40_61,2020-02-06,2022-10-16,3,42003,
S-00020,roxanne.pyle@paducah.net,Roxanne,Pyle,85_plus,2021-07-30,2026-09-17,0,42001,H-0145
S-00021,thelma.sartin@bellsouth.net,Thelma,Sartin,under_40,2020-06-15,2024-01-29,0,42001,
S-00022,william.jarrell@paducah.net,William,Jarrell,under_40,2021-07-06,2024-03-11,0,42003,
S-00023,diane.mcdaniel@gmail.com,Diane,McDaniel,under_40,2022-01-19,2023-10-03,0,42001,
S-00024,ernest.trimble@gmail.com,Ernest,Trimble,under_40,2020-11-05,2025-11-15,0,42024,
S-00025,otis.cissell@gmail.com,Otis,Cissell,under_40,2021-02-28,2026-06-09,0,42001,
S-00026,elmer.beasley@gmail.com,Elmer,Beasley,under_40,2025-05-18,2025-05-26,0,42003,
S-00027,odessa.doerr@gmail.com,Odessa,Doerr,85_plus,2023-02-24,2024-02-07,0,42001,H-0077
S-00028,earl.meacham@gmail.com,Earl,Meacham,62_74,2022-05-05,2022-10-06,0,42001,H-0020
S-00029,sandra.judkins@bellsouth.net,Sandra,Judkins,under_40,2025-08-30,2026-02-05,0,42003,
S-00030,donald.chandler@bellsouth.net,Donald,Chandler,40_61,2020-11-18,2021-03-16,0,42001,
S-00031,frances.ingle@gmail.com,Frances,Ingle,under_40,2019-10-16,2021-10-01,1,42001,
S-00032,doris.mcdaniel@gmail.com,Doris,McDaniel,under_40,2024-03-30,2024-04-09,1,42001,
S-00033,buford.hendon@gmail.com,Buford,Hendon,62_74,2020-03-22,2022-02-19,0,42001,H-0240
S-00034,louise.inman@bellsouth.net,Louise,Inman,62_74,2020-03-21,2023-11-14,0,42001,H-0104
S-00035,yvonne.peel@paducah.net,Yvonne,Peel,85_plus,2024-03-02,2026-09-16,0,42001,
S-00036,betty.cummings@bellsouth.net,Betty,Cummings,62_74,2022-09-24,2026-09-15,0,42001,
