# section,rota
service_id,service_date,service_time,service_name,role,assigned_name,assigned_status,first_third_sunday_regular,contact_phone
SVC-CE-01,2026-12-24,6:30 PM,Family Service,Head Usher,Wallace Grimes,confirmed,TRUE,(270) 555-2334
SVC-CE-01,2026-12-24,6:30 PM,Family Service,Aisle Usher,Grover Massie,confirmed,FALSE,(270) 555-4264
SVC-CE-01,2026-12-24,6:30 PM,Family Service,Aisle Usher,Purvis Coker,confirmed,FALSE,(270) 555-6614
SVC-CE-01,2026-12-24,6:30 PM,Family Service,Greeter,,unfilled,FALSE,
SVC-CE-01,2026-12-24,6:30 PM,Family Service,Greeter,Orville Ratliff,confirmed,FALSE,(270) 555-7024
SVC-CE-01,2026-12-24,6:30 PM,Family Service,Offering Handler,Bud Osteen,tentative,TRUE,(270) 555-2457
SVC-CE-01,2026-12-24,6:30 PM,Family Service,Backup Usher,Hollis Pyle,confirmed,FALSE,(270) 555-3158
SVC-CE-02,2026-12-24,8:00 PM,Traditional Service,Head Usher,Frank Tarpley,confirmed,TRUE,(270) 555-7045
SVC-CE-02,2026-12-24,8:00 PM,Traditional Service,Aisle Usher,,unfilled,FALSE,
SVC-CE-02,2026-12-24,8:00 PM,Traditional Service,Aisle Usher,Elmer Dockery,confirmed,FALSE,(270) 555-6134
SVC-CE-02,2026-12-24,8:00 PM,Traditional Service,Aisle Usher,Emmett Sowell,confirmed,FALSE,(270) 555-5712
SVC-CE-02,2026-12-24,8:00 PM,Traditional Service,Greeter,Booker Yates,confirmed,FALSE,(270) 555-7191
SVC-CE-02,2026-12-24,8:00 PM,Traditional Service,Greeter,Waylon Peel,confirmed,FALSE,(270) 555-3526
SVC-CE-02,2026-12-24,8:00 PM,Traditional Service,Offering Handler,Mattie Ruth Sanger,confirmed,TRUE,(270) 555-9826
SVC-CE-02,2026-12-24,8:00 PM,Traditional Service,Backup Usher,Merle Whitfield,confirmed,FALSE,(270) 555-3501
SVC-CE-03,2026-12-24,10:30 PM,Candlelight Service,Head Usher,Jean Wilkes,confirmed,TRUE,(270) 555-7216
SVC-CE-03,2026-12-24,10:30 PM,Candlelight Service,Aisle Usher,,unfilled,FALSE,
SVC-CE-03,2026-12-24,10:30 PM,Candlelight Service,Aisle Usher,Doyle Nunn,confirmed,FALSE,(270) 555-6652
SVC-CE-03,2026-12-24,10:30 PM,Candlelight Service,Aisle Usher,Harlan Yancey,confirmed,FALSE,(270) 555-0616
SVC-CE-03,2026-12-24,10:30 PM,Candlelight Service,Greeter,Wendell Sartin,confirmed,FALSE,(270) 555-0640
SVC-CE-03,2026-12-24,10:30 PM,Candlelight Service,Greeter,Vernon Duvall,confirmed,FALSE,(270) 555-7803
SVC-CE-03,2026-12-24,10:30 PM,Candlelight Service,Offering Handler,Sam Ivy,confirmed,TRUE,(270) 555-1014
SVC-CE-03,2026-12-24,10:30 PM,Candlelight Service,Overflow,,unfilled,FALSE,
SVC-CE-03,2026-12-24,10:30 PM,Candlelight Service,Backup Usher,Cletus Fentress,confirmed,FALSE,(270) 555-3598
SVC-CE-03,2026-12-24,10:30 PM,Candlelight Service,Backup Usher,Otis Trimble,confirmed,FALSE,(270) 555-7101
SVC-NY-01,2026-12-31,7:00 PM,Watchnight Service,Head Usher,Ruth Halbrook,confirmed,TRUE,(270) 555-4871
SVC-NY-01,2026-12-31,7:00 PM,Watchnight Service,Aisle Usher,Roy Bramlett,confirmed,FALSE,(270) 555-7827
SVC-NY-01,2026-12-31,7:00 PM,Watchnight Service,Aisle Usher,Kermit Overby,confirmed,FALSE,(270) 555-5009
SVC-NY-01,2026-12-31,7:00 PM,Watchnight Service,Greeter,,unfilled,FALSE,
SVC-NY-01,2026-12-31,7:00 PM,Watchnight Service,Greeter,Corine Latham,confirmed,FALSE,(270) 555-2436
SVC-NY-01,2026-12-31,7:00 PM,Watchnight Service,Offering Handler,Rufus Kilburn,confirmed,FALSE,(270) 555-9611
SVC-NY-01,2026-12-31,7:00 PM,Watchnight Service,Backup Usher,Cyrus Wathen,confirmed,FALSE,(270) 555-2346
SVC-NY-02,2026-12-31,10:30 PM,Candlelight Prayer,Head Usher,,unfilled,FALSE,
SVC-NY-02,2026-12-31,10:30 PM,Candlelight Prayer,Aisle Usher,Elmer Dockery,confirmed,FALSE,(270) 555-6134
SVC-NY-02,2026-12-31,10:30 PM,Candlelight Prayer,Aisle Usher,Orville Ratliff,confirmed,FALSE,(270) 555-7024
SVC-NY-02,2026-12-31,10:30 PM,Candlelight Prayer,Aisle Usher,Hollis Pyle,confirmed,FALSE,(270) 555-3158
SVC-NY-02,2026-12-31,10:30 PM,Candlelight Prayer,Greeter,Harlan Yancey,confirmed,FALSE,(270) 555-0616
SVC-NY-02,2026-12-31,10:30 PM,Candlelight Prayer,Greeter,Grover Massie,confirmed,FALSE,(270) 555-4264
SVC-NY-02,2026-12-31,10:30 PM,Candlelight Prayer,Offering Handler,,unfilled,FALSE,
SVC-NY-02,2026-12-31,10:30 PM,Candlelight Prayer,Backup Usher,Merle Whitfield,confirmed,FALSE,(270) 555-3501
SVC-NY-02,2026-12-31,10:30 PM,Candlelight Prayer,Backup Usher,Doyle Nunn,confirmed,FALSE,(270) 555-6652

# section,reserve
name,phone,first_third_sunday_regular,notes,willing_services
Dale Venable,(270) 555-0422,FALSE,Family service only. Fishing partner of the chair.,SVC-CE-01
Nelda Threlkeld,(270) 555-3018,FALSE,Available all Dec 24 services. Not New Year's Eve.,SVC-CE-01;SVC-CE-02;SVC-CE-03
Odell Ingle,(270) 555-2244,TRUE,"Steady hand at candlelight, prefers offering role.",SVC-CE-03;SVC-NY-02
Marvin Redmon,(270) 555-1177,FALSE,Away visiting daughter through Dec 27. NYE only.,SVC-NY-01;SVC-NY-02
Beatrice Yeager,(270) 555-4402,FALSE,Greeter preferred. Any service.,SVC-CE-01;SVC-CE-02;SVC-CE-03;SVC-NY-01;SVC-NY-02
Reginald Sisk,(270) 555-0908,TRUE,Can head usher if asked. Willing all five.,SVC-CE-01;SVC-CE-02;SVC-CE-03;SVC-NY-01;SVC-NY-02
Ottis Norvell,(270) 555-1834,FALSE,"Prefers early services, home by 10.",SVC-CE-01;SVC-CE-02;SVC-NY-01
Wilma Bruce,(270) 555-3311,FALSE,Greeter or overflow only. Not New Year's Eve.,SVC-CE-01;SVC-CE-02;SVC-CE-03
Emmett Faulkner,(270) 555-5117,TRUE,Steady. Any service. Deacon substitute if needed.,SVC-CE-01;SVC-CE-02;SVC-CE-03;SVC-NY-01;SVC-NY-02
Doyle Weddle,(270) 555-2005,FALSE,"Aisle role only. Bad knee, no stairs at overflow.",SVC-CE-01;SVC-CE-02;SVC-NY-01
Ada Kimbell,(270) 555-1662,FALSE,Greeter only. Late services fine.,SVC-CE-03;SVC-NY-02
Cyrus Gaddis,(270) 555-2789,TRUE,Available candlelight both nights. Offering handler experienced.,SVC-CE-03;SVC-NY-02
