Pay Period	Employee	Role	Gross USD	Net USD	Method
2025-10	Nadia Khoury	Office Manager	3200	2688.0	Direct deposit
2025-10	Sam Haddad	Junior Mechanic	2800	2380.0	Direct deposit
2025-11	Nadia Khoury	Office Manager	3200	2688.0	Direct deposit
2025-11	Sam Haddad	Junior Mechanic	2800	2380.0	Direct deposit
2025-12	Nadia Khoury	Office Manager	3200	2688.0	Direct deposit
2025-12	Sam Haddad	Junior Mechanic	2800	2380.0	Direct deposit
2026-01	Nadia Khoury	Office Manager	3200	2688.0	Direct deposit
2026-01	Sam Haddad	Junior Mechanic	2800	2380.0	Direct deposit
2026-02	Nadia Khoury	Office Manager	3200	2688.0	Direct deposit
2026-02	Sam Haddad	Junior Mechanic	2800	2380.0	Direct deposit
