id,author_id,commentary,visibility,created_at,like_count,comment_count,share_count
6101,urn:li:person:tomas-reis,Excited to share I just started as an apprentice at Vista Plumbing in Cranston. Looking forward to learning service work.,PUBLIC,2026-10-08T14:00:00.000Z,47,12,3
6102,urn:li:person:jessica-murray,"Hiring an apprentice for spring 2027. Residential plumbing, willing-to-learn remodel work, has-a-vehicle, fitness-cleared. Reply if you know someone.",PUBLIC,2026-08-15T10:00:00.000Z,89,24,11
6103,urn:li:person:carla-mendoza,"Looking for an apprentice plumbing position in Providence RI. Career changer, two years of community college HVAC, ready to put in the work.",PUBLIC,2026-09-04T13:00:00.000Z,18,4,1
6104,urn:li:person:david-baxter,October copper prices: L pipe up 22 percent over August. Stock what you can.,CONNECTIONS,2026-10-22T08:00:00.000Z,63,18,4
6105,urn:li:person:mark-murray,Closing out a strong 2026 at Murray Plumbing. Thanks to the whole crew for putting in the work.,PUBLIC,2026-11-01T19:00:00.000Z,134,29,5
6106,urn:li:person:paulie-morris,"Rolling into the Elmwood kitchen project Monday. Henderson family, real one of a kind house.",CONNECTIONS,2026-08-14T17:00:00.000Z,28,5,0
6107,urn:li:person:tomas-reis,Punch list items outstanding,CONNECTIONS,2025-11-06T18:43:08.000Z,73,28,4
6108,urn:li:person:david-baxter,Sub electrical by Laura,CONNECTIONS,2025-02-15T13:23:43.000Z,130,25,7
6109,urn:li:person:david-baxter,Warranty callback closed,CONNECTIONS,2026-05-08T18:04:48.000Z,60,25,2
6110,urn:li:person:paulie-morris,Crew lead Paulie DeStefano,PUBLIC,2026-03-08T14:18:59.000Z,131,29,5
6111,urn:li:person:carla-mendoza,Confirmed spring 2027 slot,CONNECTIONS,2025-09-10T11:52:53.000Z,44,23,3
6112,urn:li:person:tomas-reis,Permit filed with City of Providence,PUBLIC,2026-08-30T11:12:12.000Z,93,19,3
6113,urn:li:person:carla-mendoza,"Repeat client, Central Falls",CONNECTIONS,2025-04-01T12:29:03.000Z,76,19,4
6114,urn:li:person:paulie-morris,Sub electrical by Laura,PUBLIC,2026-10-07T20:49:55.000Z,118,12,11
6115,urn:li:person:david-baxter,"Repeat client, Pawtucket",PUBLIC,2025-04-28T12:30:57.000Z,20,15,0
6116,urn:li:person:david-baxter,"Deposit received, scheduling rough-in",PUBLIC,2025-08-07T10:58:57.000Z,23,23,3
6117,urn:li:person:jessica-murray,Warranty callback closed,PUBLIC,2025-09-22T20:42:37.000Z,52,6,10
6118,urn:li:person:tomas-reis,Sub electrical by Laura,PUBLIC,2024-12-25T12:51:25.000Z,118,22,3
6119,urn:li:person:jessica-murray,Materials via Baxter's Plumbing Supply,CONNECTIONS,2024-08-04T18:27:20.000Z,120,24,0
6120,urn:li:person:paulie-morris,Materials via Atlantic Building Materials,CONNECTIONS,2025-06-02T08:38:13.000Z,52,22,0
6121,urn:li:person:jessica-murray,Warranty callback closed,CONNECTIONS,2026-09-25T17:16:07.000Z,86,16,1
6122,urn:li:person:tomas-reis,"Repeat client, Central Falls",CONNECTIONS,2025-03-24T11:32:47.000Z,131,5,10
6123,urn:li:person:carla-mendoza,Sub electrical by Laura,PUBLIC,2026-03-10T18:25:07.000Z,89,18,6
6124,urn:li:person:david-baxter,copper repipe estimate sent,PUBLIC,2025-06-22T14:10:16.000Z,127,11,6
6125,urn:li:person:jessica-murray,Materials via Baxter's Plumbing Supply,PUBLIC,2025-11-25T15:09:17.000Z,71,27,11
6126,urn:li:person:paulie-morris,basement finish; Trim stage,PUBLIC,2026-05-21T20:03:01.000Z,128,28,6
6127,urn:li:person:tomas-reis,"Deposit received, scheduling rough-in",CONNECTIONS,2025-09-03T15:16:27.000Z,26,6,3
6128,urn:li:person:paulie-morris,boiler service estimate sent,CONNECTIONS,2026-05-05T13:24:55.000Z,39,25,4
6129,urn:li:person:jessica-murray,Warranty callback closed,PUBLIC,2026-01-31T16:15:04.000Z,24,8,7
6130,urn:li:person:tomas-reis,Change order pending Mark review,PUBLIC,2025-03-02T16:15:46.000Z,107,21,1
6131,urn:li:person:tomas-reis,Change order pending Mark review,CONNECTIONS,2025-07-14T15:26:59.000Z,108,4,3
6132,urn:li:person:carla-mendoza,"Deposit received, scheduling rough-in",CONNECTIONS,2025-11-10T18:30:42.000Z,54,16,9
6133,urn:li:person:mark-murray,Change order pending Mark review,PUBLIC,2025-10-19T20:30:39.000Z,106,9,4
6134,urn:li:person:carla-mendoza,Warranty callback closed,PUBLIC,2026-07-30T11:46:03.000Z,44,4,7
6135,urn:li:person:paulie-morris,Materials via Baxter's Plumbing Supply,PUBLIC,2024-09-22T11:58:09.000Z,70,12,11
6136,urn:li:person:tomas-reis,Crew lead Mike Russo,PUBLIC,2025-12-15T20:41:46.000Z,75,28,0
6137,urn:li:person:carla-mendoza,Materials via Atlantic Building Materials,CONNECTIONS,2025-10-19T07:48:08.000Z,118,13,0
6138,urn:li:person:mark-murray,"Deposit received, scheduling rough-in",PUBLIC,2025-08-20T08:30:25.000Z,31,15,4
6139,urn:li:person:paulie-morris,Confirmed spring 2027 slot,PUBLIC,2025-12-16T13:16:15.000Z,113,12,11
6140,urn:li:person:carla-mendoza,Crew lead Danny Oliveira,CONNECTIONS,2026-07-20T14:27:05.000Z,94,16,11
6141,urn:li:person:david-baxter,copper repipe estimate sent,PUBLIC,2026-04-11T15:42:37.000Z,20,14,5
6142,urn:li:person:jessica-murray,Confirmed spring 2027 slot,PUBLIC,2025-02-13T18:25:06.000Z,50,24,5
6143,urn:li:person:mark-murray,Sub electrical by Laura,PUBLIC,2024-12-18T13:02:41.000Z,40,24,6
