id,firstName,lastName,headline,location,industry,connectedAt,organizationId
urn:li:person:tomas-reis,Tomas,Reis,Apprentice Plumber at Vista Plumbing,Cranston RI,Construction,2026-08-12T10:00:00.000Z,7001
urn:li:person:carla-mendoza,Carla,Mendoza,Plumbing Apprentice seeking Providence RI position,Providence RI,Construction,2026-09-04T14:00:00.000Z,
urn:li:person:devin-brooks,Devin,Brooks,Residential plumbing apprentice candidate,Pawtucket RI,Construction,2026-09-08T11:00:00.000Z,
urn:li:person:aaron-polanski,Aaron,Polanski,Career-change apprentice candidate,Warwick RI,Construction,2026-09-12T09:00:00.000Z,
urn:li:person:paulie-morris,Paulie,Morris,Lead plumber at Murray Plumbing and GC,Providence RI,Construction,2020-04-15T09:00:00.000Z,7000
urn:li:person:mark-murray,Mark,Murray,Co-owner Murray Plumbing and GC,Providence RI,Construction,2018-01-01T09:00:00.000Z,7000
urn:li:person:david-baxter,David,Baxter,Owner Baxter Plumbing Supply,Cranston RI,Wholesale,2019-06-22T09:00:00.000Z,7002
urn:li:person:sara-coletti,Sara,Coletti,Homeowner  -  Oakwood basement project,Providence RI,Real Estate,2026-04-01T09:00:00.000Z,
urn:li:person:henderson-jeff,Jeff,Henderson,Homeowner  -  Elmwood kitchen project,Providence RI,Real Estate,2026-08-10T09:00:00.000Z,
urn:li:person:tomas-d585,John,Brennan,Homeowner  -  Elmwood kitchen project,327 Hartford Ave,Real Estate,2024-08-16T17:30:25.000Z,
urn:li:person:tomas-6970,Vincent,Volpicelli,Co-owner Murray Plumbing and GC,494 Broad St,Construction,2026-04-30T14:24:36.000Z,
urn:li:person:tomas-f56f,Sandra,Fontaine,Career-change apprentice candidate,527 Waterman St,Construction,2024-11-20T09:43:37.000Z,7000
urn:li:person:tomas-d257,Ruth,Romano,Homeowner  -  Elmwood kitchen project,718 Academy Ave,Real Estate,2025-11-21T11:17:17.000Z,
urn:li:person:tomas-7082,Susan,Chen,Residential plumbing apprentice candidate,671 Chalkstone Ave,Construction,2025-01-20T06:52:33.000Z,7001
urn:li:person:tomas-05bc,Angela,DeLuca,Homeowner  -  Oakwood basement project,255 Blackstone Blvd,Wholesale,2026-05-08T20:58:14.000Z,7000
urn:li:person:tomas-bf51,Nancy,Ricci,Apprentice Plumber at Vista Plumbing,735 Cole Ave,Wholesale,2025-08-07T15:01:59.000Z,7000
urn:li:person:tomas-3bef,Frank,Volpicelli,Lead plumber at Murray Plumbing and GC,197 Governor St,Construction,2026-07-16T13:56:34.000Z,7002
urn:li:person:tomas-5d2c,Rocco,Boucher,Career-change apprentice candidate,944 Benevolent St,Construction,2025-06-27T15:21:45.000Z,7001
urn:li:person:tomas-8b85,Rosa,Pacheco,Homeowner  -  Oakwood basement project,233 Williams St,Real Estate,2026-01-22T17:35:51.000Z,7000
urn:li:person:tomas-1024,Ruth,Marquez,Career-change apprentice candidate,579 Elmwood Ave,Construction,2024-07-02T19:06:55.000Z,
urn:li:person:tomas-1dc4,Sandra,Lin,Owner Baxter Plumbing Supply,50 Angell St,Wholesale,2026-10-21T19:46:47.000Z,
urn:li:person:tomas-d4f0,Barbara,Owen,Homeowner  -  Oakwood basement project,658 Public St,Real Estate,2026-03-20T16:56:32.000Z,7001
urn:li:person:tomas-f8db,Frank,Novak,Career-change apprentice candidate,651 Angell St,Real Estate,2026-11-02T17:36:56.000Z,
urn:li:person:tomas-1326,Gina,Kapoor,Plumbing Apprentice seeking Providence RI position,678 Public St,Construction,2025-12-24T17:21:41.000Z,
urn:li:person:tomas-19fb,Michael,Bianchi,Career-change apprentice candidate,372 Blackstone Blvd,Wholesale,2024-07-20T07:29:50.000Z,
urn:li:person:tomas-e623,Mark,Volpicelli,Homeowner  -  Oakwood basement project,862 Atwells Ave,Real Estate,2025-03-15T06:59:08.000Z,
