id,subject,organizer_name,organizer_address,location,start_date,end_date,is_all_day,is_online,attendees
AAMkAGevent80e25aa8000,Lexapro 10mg with breakfast,Brian Henderson,brian.henderson@voissync.ai,Cambridge MA,2025-12-15T06:45:00+00:00,2025-12-15T08:26:53+00:00,false,false,sarah.henderson.design@gmail.com
AAMkAGevent9c88c3b9001,Basketball — Cambridge YMCA,Brian Henderson,brian.henderson@voissync.ai,"Cambridge YMCA, 820 Massachusetts Ave, Cambridge MA",2025-12-16T23:30:00+00:00,2025-12-17T00:30:00+00:00,false,false,sarah.henderson.design@gmail.com
AAMkAGeventc024ec95002,PH 206 — Introduction to Biostatistics for Public Health,Brian Henderson,brian.henderson@voissync.ai,Amberfield Institute,2025-12-16T22:00:00+00:00,2025-12-17T01:00:00+00:00,false,false,m.kessler@gmail.com
AAMkAGevent945f93e1003,Therapy — Dr. Miller (biweekly),Brian Henderson,brian.henderson@voissync.ai,Telehealth — Dr. Karen Miller,2025-12-18T21:30:00+00:00,2025-12-18T22:30:00+00:00,false,true,k.miller@gmail.com
AAMkAGeventbe4c063d004,Board games night,Brian Henderson,brian.henderson@voissync.ai,Cambridge MA,2025-12-19T00:30:00+00:00,2025-12-19T02:30:00+00:00,false,false,sarah.henderson.design@gmail.com
AAMkAGeventc40b8e96005,IVF check-in — Dr. Cooper,Brian Henderson,brian.henderson@voissync.ai,Telehealth — Boston IVF,2025-12-20T14:00:00+00:00,2025-12-20T15:00:00+00:00,false,true,j.cooper@gmail.com
AAMkAGevent33b71e45006,Family call — Sunday 7PM,Brian Henderson,brian.henderson@voissync.ai,Telehealth — Family,2025-12-22T00:00:00+00:00,2025-12-22T01:00:00+00:00,false,true,henderson.hardware@gmail.com;patricia.henderson.ct@gmail.com;scott.henderson.law@gmail.com
AAMkAGevent690adfe4007,"Charles River run, 3-4 miles",Brian Henderson,brian.henderson@voissync.ai,"Charles River, Cambridge MA",2025-12-20T10:30:00+00:00,2025-12-20T11:30:00+00:00,false,false,sarah.henderson.design@gmail.com
AAMkAGevent32255fd0100,Charles River run,Brian Henderson,brian.henderson@voissync.ai,"Charles River, Cambridge MA",2026-05-21T08:00:00+00:00,2026-05-21T09:30:00+00:00,false,false,sarah.henderson.design@gmail.com
AAMkAGeventbca75dca101,Windbridge Partners standup,Brian Henderson,brian.henderson@voissync.ai,"Windbridge Partners, Cambridge MA",2026-05-27T10:00:00+00:00,2026-05-27T10:30:00+00:00,false,true,m.kessler@gmail.com
AAMkAGeventc8c1e90c102,Manuscript working block - NEJM v2,Brian Henderson,brian.henderson@voissync.ai,Cambridge MA,2026-08-23T16:00:00+00:00,2026-08-23T16:45:00+00:00,false,false,rebecca.foster@gmail.com
AAMkAGevent281c3012103,PH 206 - Introduction to Biostatistics for Public Health,Brian Henderson,brian.henderson@voissync.ai,Amberfield Institute,2026-09-03T15:00:00+00:00,2026-09-03T15:45:00+00:00,false,false,m.kessler@gmail.com
