id,name,type,distance,moving_time,elapsed_time,total_elevation_gain,average_speed,start_date,kudos_count,segment_id
3000001,Muddy River easy Sunday,Run,8368.6,2964,3084,16,2.82,2026-11-01T06:15:00Z,3,seg_001
3000002,Emerald Necklace weeknight,Run,7724.8,2736,2856,17,2.82,2026-10-29T06:15:00Z,4,seg_002
3000003,post-call slow,Run,5471.8,1937,2057,18,2.82,2026-10-27T06:15:00Z,5,seg_003
3000004,Sunday cool,Run,9817.0,3476,3596,19,2.82,2026-10-25T06:15:00Z,2,seg_004
3000005,Weeknight loop,Run,7242.0,2565,2685,20,2.82,2026-10-22T06:15:00Z,3,seg_000
3000006,Foot cooperated,Run,8046.7,2850,2970,21,2.82,2026-10-20T06:15:00Z,4,seg_001
3000007,Sat morning,Run,8851.4,3135,3255,22,2.82,2026-10-18T06:15:00Z,5,seg_002
3000008,post-clinic quick,Run,6759.2,2394,2514,23,2.82,2026-10-15T06:15:00Z,2,seg_003
3000009,Larz Anderson park,Run,6115.5,2166,2286,24,2.82,2026-10-13T06:15:00Z,3,seg_004
3000010,Sunday cool,Run,8529.5,3021,3141,25,2.82,2026-10-11T06:15:00Z,4,seg_000
3000011,weeknight,Run,6598.3,2336,2456,26,2.82,2026-10-08T06:15:00Z,5,seg_001
3000012,post-call slow,Run,5632.7,1995,2115,27,2.82,2026-10-06T06:15:00Z,2,seg_002
3000013,Sunday steady,Run,8046.7,2850,2970,28,2.82,2026-10-04T06:15:00Z,3,seg_003
3000014,weekday,Run,7081.1,2508,2628,29,2.82,2026-10-01T06:15:00Z,4,seg_004
3000015,Muddy River,Run,8207.6,2906,3026,30,2.82,2026-09-29T06:15:00Z,5,seg_000
3000016,Sunday steady,Run,7403.0,2621,2741,31,2.82,2026-09-27T06:15:00Z,2,seg_001
3000017,long-ish,Run,9334.2,3306,3426,32,2.82,2026-09-24T06:15:00Z,3,seg_002
3000018,post-clinic,Run,6276.4,2223,2343,33,2.82,2026-09-22T06:15:00Z,4,seg_003
3000019,Sunday steady,Run,8368.6,2964,3084,34,2.82,2026-09-20T06:15:00Z,5,seg_004
3000020,weeknight,Run,7081.1,2508,2628,35,2.82,2026-09-18T06:15:00Z,2,seg_000
