activity_id,athlete_id,firstname,lastname
3000001,kd_001,Priya,Ramaswamy
3000001,kd_002,Amanda,Chen
3000001,kd_003,Meera,Patel
3000002,kd_001,Priya,Ramaswamy
3000002,kd_002,Amanda,Chen
3000002,kd_003,Meera,Patel
3000002,kd_004,Leah,Fitzgerald
3000003,kd_001,Priya,Ramaswamy
3000003,kd_002,Amanda,Chen
3000003,kd_003,Meera,Patel
3000003,kd_004,Leah,Fitzgerald
3000003,kd_005,Yuki,Watanabe
3000004,kd_001,Priya,Ramaswamy
3000004,kd_002,Amanda,Chen
3000005,kd_001,Priya,Ramaswamy
3000005,kd_002,Amanda,Chen
3000005,kd_003,Meera,Patel
3000006,kd_001,Priya,Ramaswamy
3000006,kd_002,Amanda,Chen
3000006,kd_003,Meera,Patel
3000006,kd_004,Leah,Fitzgerald
3000007,kd_001,Priya,Ramaswamy
3000007,kd_002,Amanda,Chen
3000007,kd_003,Meera,Patel
3000007,kd_004,Leah,Fitzgerald
3000007,kd_005,Yuki,Watanabe
3000008,kd_001,Priya,Ramaswamy
3000008,kd_002,Amanda,Chen
3000009,kd_001,Priya,Ramaswamy
3000009,kd_002,Amanda,Chen
3000009,kd_003,Meera,Patel
3000010,kd_001,Priya,Ramaswamy
3000010,kd_002,Amanda,Chen
3000010,kd_003,Meera,Patel
3000010,kd_004,Leah,Fitzgerald
3000011,kd_001,Priya,Ramaswamy
3000011,kd_002,Amanda,Chen
3000011,kd_003,Meera,Patel
3000011,kd_004,Leah,Fitzgerald
3000011,kd_005,Yuki,Watanabe
3000012,kd_001,Priya,Ramaswamy
3000012,kd_002,Amanda,Chen
3000013,kd_001,Priya,Ramaswamy
3000013,kd_002,Amanda,Chen
3000013,kd_003,Meera,Patel
3000014,kd_001,Priya,Ramaswamy
3000014,kd_002,Amanda,Chen
3000014,kd_003,Meera,Patel
3000014,kd_004,Leah,Fitzgerald
3000015,kd_001,Priya,Ramaswamy
3000015,kd_002,Amanda,Chen
3000015,kd_003,Meera,Patel
3000015,kd_004,Leah,Fitzgerald
3000015,kd_005,Yuki,Watanabe
