account_id,name,official_name,mask,type,subtype,available,current,limit,iso_currency_code
plaid_accounts_1000,Plaid item 0,Plaid item 0,mask_0,type_0,subtype_0,available_0,current_0,limit_0,iso_currency_code_0
plaid_accounts_1001,Plaid item 1,Plaid item 1,mask_1,type_1,subtype_1,available_1,current_1,limit_1,iso_currency_code_1
plaid_accounts_1002,Plaid item 2,Plaid item 2,mask_2,type_2,subtype_2,available_2,current_2,limit_2,iso_currency_code_2
plaid_accounts_1003,Plaid item 3,Plaid item 3,mask_3,type_3,subtype_3,available_3,current_3,limit_3,iso_currency_code_3
plaid_accounts_1004,Plaid item 4,Plaid item 4,mask_4,type_4,subtype_4,available_4,current_4,limit_4,iso_currency_code_4
plaid_accounts_1005,Plaid item 5,Plaid item 5,mask_5,type_5,subtype_5,available_5,current_5,limit_5,iso_currency_code_5
plaid_accounts_1006,Plaid item 6,Plaid item 6,mask_6,type_6,subtype_6,available_6,current_6,limit_6,iso_currency_code_6
plaid_accounts_1007,Plaid item 7,Plaid item 7,mask_7,type_7,subtype_7,available_7,current_7,limit_7,iso_currency_code_7
plaid_accounts_1008,Plaid item 8,Plaid item 8,mask_8,type_8,subtype_8,available_8,current_8,limit_8,iso_currency_code_8
plaid_accounts_1009,Plaid item 9,Plaid item 9,mask_9,type_9,subtype_9,available_9,current_9,limit_9,iso_currency_code_9
plaid_accounts_1010,Plaid item 10,Plaid item 10,mask_10,type_10,subtype_10,available_10,current_10,limit_10,iso_currency_code_10
plaid_accounts_1011,Plaid item 11,Plaid item 11,mask_11,type_11,subtype_11,available_11,current_11,limit_11,iso_currency_code_11
plaid_accounts_1012,Plaid item 12,Plaid item 12,mask_12,type_12,subtype_12,available_12,current_12,limit_12,iso_currency_code_12
plaid_accounts_1013,Plaid item 13,Plaid item 13,mask_13,type_13,subtype_13,available_13,current_13,limit_13,iso_currency_code_13
plaid_accounts_1014,Plaid item 14,Plaid item 14,mask_14,type_14,subtype_14,available_14,current_14,limit_14,iso_currency_code_14
plaid_accounts_1015,Plaid item 15,Plaid item 15,mask_15,type_15,subtype_15,available_15,current_15,limit_15,iso_currency_code_15
plaid_accounts_1016,Plaid item 16,Plaid item 16,mask_16,type_16,subtype_16,available_16,current_16,limit_16,iso_currency_code_16
plaid_accounts_1017,Plaid item 17,Plaid item 17,mask_17,type_17,subtype_17,available_17,current_17,limit_17,iso_currency_code_17
plaid_accounts_1018,Plaid item 18,Plaid item 18,mask_18,type_18,subtype_18,available_18,current_18,limit_18,iso_currency_code_18
plaid_accounts_1019,Plaid item 19,Plaid item 19,mask_19,type_19,subtype_19,available_19,current_19,limit_19,iso_currency_code_19
plaid_accounts_1020,Plaid item 20,Plaid item 20,mask_20,type_20,subtype_20,available_20,current_20,limit_20,iso_currency_code_20
plaid_accounts_1021,Plaid item 21,Plaid item 21,mask_21,type_21,subtype_21,available_21,current_21,limit_21,iso_currency_code_21
plaid_accounts_1022,Plaid item 22,Plaid item 22,mask_22,type_22,subtype_22,available_22,current_22,limit_22,iso_currency_code_22
plaid_accounts_1023,Plaid item 23,Plaid item 23,mask_23,type_23,subtype_23,available_23,current_23,limit_23,iso_currency_code_23
plaid_accounts_1024,Plaid item 24,Plaid item 24,mask_24,type_24,subtype_24,available_24,current_24,limit_24,iso_currency_code_24
plaid_accounts_1025,Plaid item 25,Plaid item 25,mask_25,type_25,subtype_25,available_25,current_25,limit_25,iso_currency_code_25
plaid_accounts_1026,Plaid item 26,Plaid item 26,mask_26,type_26,subtype_26,available_26,current_26,limit_26,iso_currency_code_26
plaid_accounts_1027,Plaid item 27,Plaid item 27,mask_27,type_27,subtype_27,available_27,current_27,limit_27,iso_currency_code_27
plaid_accounts_1028,Plaid item 28,Plaid item 28,mask_28,type_28,subtype_28,available_28,current_28,limit_28,iso_currency_code_28
plaid_accounts_1029,Plaid item 29,Plaid item 29,mask_29,type_29,subtype_29,available_29,current_29,limit_29,iso_currency_code_29
plaid_accounts_1030,Plaid item 30,Plaid item 30,mask_30,type_30,subtype_30,available_30,current_30,limit_30,iso_currency_code_30
plaid_accounts_1031,Plaid item 31,Plaid item 31,mask_31,type_31,subtype_31,available_31,current_31,limit_31,iso_currency_code_31
plaid_accounts_1032,Plaid item 32,Plaid item 32,mask_32,type_32,subtype_32,available_32,current_32,limit_32,iso_currency_code_32
plaid_accounts_1033,Plaid item 33,Plaid item 33,mask_33,type_33,subtype_33,available_33,current_33,limit_33,iso_currency_code_33
plaid_accounts_1034,Plaid item 34,Plaid item 34,mask_34,type_34,subtype_34,available_34,current_34,limit_34,iso_currency_code_34
plaid_accounts_1035,Plaid item 35,Plaid item 35,mask_35,type_35,subtype_35,available_35,current_35,limit_35,iso_currency_code_35
plaid_accounts_1036,Plaid item 36,Plaid item 36,mask_36,type_36,subtype_36,available_36,current_36,limit_36,iso_currency_code_36
plaid_accounts_1037,Plaid item 37,Plaid item 37,mask_37,type_37,subtype_37,available_37,current_37,limit_37,iso_currency_code_37
plaid_accounts_1038,Plaid item 38,Plaid item 38,mask_38,type_38,subtype_38,available_38,current_38,limit_38,iso_currency_code_38
plaid_accounts_1039,Plaid item 39,Plaid item 39,mask_39,type_39,subtype_39,available_39,current_39,limit_39,iso_currency_code_39
plaid_accounts_1040,Plaid item 40,Plaid item 40,mask_40,type_40,subtype_40,available_40,current_40,limit_40,iso_currency_code_40
plaid_accounts_1041,Plaid item 41,Plaid item 41,mask_41,type_41,subtype_41,available_41,current_41,limit_41,iso_currency_code_41
plaid_accounts_1042,Plaid item 42,Plaid item 42,mask_42,type_42,subtype_42,available_42,current_42,limit_42,iso_currency_code_42
plaid_accounts_1043,Plaid item 43,Plaid item 43,mask_43,type_43,subtype_43,available_43,current_43,limit_43,iso_currency_code_43
