Name	Role	Preferred Channel	Phone
Maya Chen	Partner (veterinarian)	Text / iMessage	(608) 555-0201
Bob Graves	Adoptive father	Phone / text	(920) 555-0212
Linda Graves	Adoptive mother	Phone / text	(920) 555-0223
Soon-Hee Kim	Birth mother	KakaoTalk only	n/a
Tyler Briggs	Head distiller	Text / email	(608) 555-0234
Dr. Nora Engstrom	Therapist	Phone	(608) 555-0245
Derek Holmgren	Accountant (CPA)	Text / email	(608) 555-0289
Sarah Kwan	KAAN chapter lead	Text / email	(608) 555-0290
Chef Marco Rinaldi	Restaurant partner	Text / email	(608) 555-0301
Jake Ostrowski	Ice fishing buddy	Text	(608) 555-0312
Alana Montrose	Tasting room manager	Text / email	(608) 555-0334
