Name	Relationship	Phone	Email	Location	Notes
Brenda Perry	Mother	(205) 555-0317	brenda.perry@gmail.com	Woodlawn	Daily calls, Sunday dinner host
Keisha Perry-Coleman	Sister	(205) 555-0324	keisha.coleman@gmail.com	Hoover	Kids Jaylen and Nia
Marcus Coleman	Brother-in-law	(205) 555-0331	marcus.coleman@gmail.com	Hoover	UPS logistics, football buddy
Raymond Perry	Uncle	(205) 555-0338	ray.perry@gmail.com	Ensley	Fishing at Lake Purdy
Jaylen Coleman	Nephew			Hoover	Age 8, loves mac and cheese
Nia Coleman	Niece			Hoover	Age 5
Anita Lawson	Clinic director	(205) 555-0345	anita.lawson@gmail.com	Homewood	Boss and mentor
Demetrius Washington	Assistant coach	(205) 555-0352	demetrius.washington@gmail.com	Birmingham	Distance events, WhatsApp
Leonard Hayes	Pastor	(205) 555-0359	leonard.hayes@gmail.com	Birmingham	New Hope AME
Devon Mitchell	Athlete and mentee	(205) 555-0373	devon.mitchell@gmail.com	Birmingham	Senior sprinter
Ruth Mitchell	Devon's grandmother	(205) 555-0388		Birmingham	Devon's guardian, first contact via Shannon only
