event_id,email,display_name,response_status,optional,organizer
cal_bg_100,sophia.lin@gmail.com,Sophia Lin,accepted,false,false
cal_bg_101,sandra.williams@gmail.com,Sandra Williams,needsAction,false,false
cal_bg_102,jenny.liu@gmail.com,Jenny Liu,accepted,false,false
cal_bg_103,ben.carter@gmail.com,Ben Carter,tentative,false,false
cal_bg_104,jwhitfield82@gmail.com,Jason Whitfield,tentative,false,false
cal_bg_105,maria.rodriguez@gmail.com,Maria Rodriguez,accepted,false,false
cal_bg_106,omar.farooq@gmail.com,Omar Farooq,accepted,false,false
cal_bg_107,carla.diaz@yahoo.com,Carla Diaz,needsAction,false,false
cal_bg_108,grace.okafor@gmail.com,Grace Okafor,needsAction,false,false
cal_bg_109,karen.wu@gmail.com,Karen Wu,needsAction,false,false
cal_bg_110,ravi.kapoor@gmail.com,Ravi Kapoor,accepted,false,false
cal_bg_111,grace.okafor@gmail.com,Grace Okafor,accepted,false,false
cal_bg_112,deepa.nair@gmail.com,Deepa Nair,tentative,false,false
cal_bg_113,ben.carter@gmail.com,Ben Carter,needsAction,false,false
cal_bg_114,tom.brady.edison@gmail.com,Tom Brady,tentative,false,false
cal_bg_115,james.park.nj@gmail.com,James Park,needsAction,false,false
cal_bg_116,maria.rodriguez@gmail.com,Maria Rodriguez,needsAction,false,false
cal_bg_117,jwhitfield82@gmail.com,Jason Whitfield,tentative,false,false
cal_bg_118,victor.reyes@gmail.com,Victor Reyes,accepted,false,false
cal_bg_119,rachel.green@outlook.com,Rachel Green,accepted,false,false
cal_bg_120,sandra.williams@gmail.com,Sandra Williams,needsAction,false,false
cal_bg_121,priya.desai@gmail.com,Priya Desai,tentative,false,false
cal_bg_122,sam.cohen@gmail.com,Sam Cohen,needsAction,false,false
cal_bg_123,sandra.williams@gmail.com,Sandra Williams,needsAction,false,false
cal_bg_124,sam.cohen@gmail.com,Sam Cohen,needsAction,false,false
cal_bg_125,ravi.kapoor@gmail.com,Ravi Kapoor,needsAction,false,false
cal_bg_126,jwhitfield82@gmail.com,Jason Whitfield,accepted,false,false
cal_bg_127,marcus.webb@gmail.com,Marcus Webb,tentative,false,false
cal_bg_128,marcus.webb@gmail.com,Marcus Webb,needsAction,false,false
cal_bg_129,luis.martinez@outlook.com,Luis Martinez,accepted,false,false
cal_bg_130,deepa.nair@gmail.com,Deepa Nair,accepted,false,false
cal_bg_131,jenny.liu@gmail.com,Jenny Liu,tentative,false,false
cal_bg_132,maria.rodriguez@gmail.com,Maria Rodriguez,tentative,false,false
cal_bg_133,deepa.nair@gmail.com,Deepa Nair,tentative,false,false
cal_bg_134,sophia.lin@gmail.com,Sophia Lin,needsAction,false,false
cal_bg_135,a.reeves@outlook.com,Anthony Reeves,needsAction,false,false
cal_bg_136,priya.desai@gmail.com,Priya Desai,tentative,false,false
cal_bg_137,luis.martinez@outlook.com,Luis Martinez,accepted,false,false
cal_bg_138,maria.rodriguez@gmail.com,Maria Rodriguez,needsAction,false,false
cal_bg_139,tom.brady.edison@gmail.com,Tom Brady,tentative,false,false
cal_bg_140,deepa.nair@gmail.com,Deepa Nair,needsAction,false,false
cal_bg_141,marcus.webb@gmail.com,Marcus Webb,needsAction,false,false
cal_bg_142,marcus.webb@gmail.com,Marcus Webb,needsAction,false,false
cal_bg_143,marcus.webb@gmail.com,Marcus Webb,needsAction,false,false
cal_bg_144,jwhitfield82@gmail.com,Jason Whitfield,accepted,false,false
cal_bg_145,marcus.webb@gmail.com,Marcus Webb,accepted,false,false
cal_bg_146,jenny.liu@gmail.com,Jenny Liu,tentative,false,false
cal_bg_147,omar.farooq@gmail.com,Omar Farooq,tentative,false,false
cal_bg_148,a.reeves@outlook.com,Anthony Reeves,accepted,false,false
cal_bg_149,rachel.green@outlook.com,Rachel Green,tentative,false,false
cal_bg_150,nina.shah@gmail.com,Nina Shah,tentative,false,false
cal_bg_151,mike.johnson.nj@gmail.com,Mike Johnson,tentative,false,false
cal_bg_152,maria.rodriguez@gmail.com,Maria Rodriguez,accepted,false,false
cal_bg_153,omar.farooq@gmail.com,Omar Farooq,tentative,false,false
cal_bg_154,sam.cohen@gmail.com,Sam Cohen,needsAction,false,false
cal_bg_155,tom.brady.edison@gmail.com,Tom Brady,needsAction,false,false
cal_bg_156,james.park.nj@gmail.com,James Park,tentative,false,false
cal_bg_157,sophia.lin@gmail.com,Sophia Lin,needsAction,false,false
cal_bg_158,mike.johnson.nj@gmail.com,Mike Johnson,needsAction,false,false
cal_bg_159,nina.shah@gmail.com,Nina Shah,tentative,false,false
cal_bg_160,jenny.liu@gmail.com,Jenny Liu,needsAction,false,false
cal_bg_161,jwhitfield82@gmail.com,Jason Whitfield,tentative,false,false
cal_bg_162,carla.diaz@yahoo.com,Carla Diaz,needsAction,false,false
cal_bg_163,luis.martinez@outlook.com,Luis Martinez,tentative,false,false
cal_bg_164,ravi.kapoor@gmail.com,Ravi Kapoor,needsAction,false,false
cal_bg_165,ben.carter@gmail.com,Ben Carter,needsAction,false,false
cal_bg_166,sophia.lin@gmail.com,Sophia Lin,accepted,false,false
cal_bg_167,priya.desai@gmail.com,Priya Desai,tentative,false,false
cal_bg_168,maria.rodriguez@gmail.com,Maria Rodriguez,accepted,false,false
cal_bg_169,omar.farooq@gmail.com,Omar Farooq,tentative,false,false
cal_bg_170,nina.shah@gmail.com,Nina Shah,accepted,false,false
cal_bg_171,tom.brady.edison@gmail.com,Tom Brady,needsAction,false,false
cal_bg_172,rachel.green@outlook.com,Rachel Green,tentative,false,false
cal_bg_173,ravi.kapoor@gmail.com,Ravi Kapoor,needsAction,false,false
cal_bg_174,sandra.williams@gmail.com,Sandra Williams,accepted,false,false
cal_bg_175,a.reeves@outlook.com,Anthony Reeves,accepted,false,false
cal_bg_176,victor.reyes@gmail.com,Victor Reyes,needsAction,false,false
cal_bg_177,sophia.lin@gmail.com,Sophia Lin,needsAction,false,false
cal_bg_178,karen.wu@gmail.com,Karen Wu,accepted,false,false
cal_bg_179,rachel.green@outlook.com,Rachel Green,needsAction,false,false
cal_bg_180,deepa.nair@gmail.com,Deepa Nair,accepted,false,false
cal_bg_181,robert.santos@yahoo.com,Robert Santos,tentative,false,false
cal_bg_182,omar.farooq@gmail.com,Omar Farooq,tentative,false,false
cal_bg_183,deepa.nair@gmail.com,Deepa Nair,accepted,false,false
cal_bg_184,ben.carter@gmail.com,Ben Carter,tentative,false,false
cal_bg_185,tom.brady.edison@gmail.com,Tom Brady,needsAction,false,false
cal_bg_186,grace.okafor@gmail.com,Grace Okafor,needsAction,false,false
cal_bg_187,luis.martinez@outlook.com,Luis Martinez,tentative,false,false
cal_bg_188,jwhitfield82@gmail.com,Jason Whitfield,tentative,false,false
cal_bg_189,mike.johnson.nj@gmail.com,Mike Johnson,needsAction,false,false
cal_bg_190,jenny.liu@gmail.com,Jenny Liu,accepted,false,false
cal_bg_191,jwhitfield82@gmail.com,Jason Whitfield,needsAction,false,false
cal_bg_192,robert.santos@yahoo.com,Robert Santos,accepted,false,false
cal_bg_193,deepa.nair@gmail.com,Deepa Nair,accepted,false,false
cal_bg_194,sam.cohen@gmail.com,Sam Cohen,needsAction,false,false
cal_bg_195,maria.rodriguez@gmail.com,Maria Rodriguez,tentative,false,false
cal_bg_196,priya.desai@gmail.com,Priya Desai,needsAction,false,false
cal_bg_197,priya.desai@gmail.com,Priya Desai,needsAction,false,false
cal_bg_198,karen.wu@gmail.com,Karen Wu,tentative,false,false
cal_bg_199,marcus.webb@gmail.com,Marcus Webb,accepted,false,false
cal_bg_200,mike.johnson.nj@gmail.com,Mike Johnson,tentative,false,false
cal_bg_201,omar.farooq@gmail.com,Omar Farooq,needsAction,false,false
cal_bg_202,a.reeves@outlook.com,Anthony Reeves,tentative,false,false
cal_bg_203,deepa.nair@gmail.com,Deepa Nair,accepted,false,false
cal_bg_204,deepa.nair@gmail.com,Deepa Nair,needsAction,false,false
