Number	Player	Position	Age	Parent/Guardian	Phone	Email	Emergency Contact
7	Marcus Rivera Jr.	SS	12	Justin Rivera	(860) 555-0142	justin.rivera@gmail.com	Patricia Rivera, (860) 555-0187
12	Ethan Patel	1B	12	Raj Patel	(860) 555-0293	raj.patel.wh@gmail.com	Sunita Patel, (860) 555-0294
3	Connor Walsh	CF	13	Brian Walsh	(860) 555-0341	bwalsh22@yahoo.com	Megan Walsh, (860) 555-0342
21	Jayden Torres	P/3B	13	Luis Torres	(860) 555-0418	l.torres.ct@gmail.com	Maria Torres, (860) 555-0419
9	Noah Kim	C	12	David Kim	(860) 555-0456	dkim.westhartford@gmail.com	Hana Kim, (860) 555-0457
15	Liam Okafor	2B	13	Chidi Okafor	(860) 555-0512	chidi.okafor@outlook.com	Adanna Okafor, (860) 555-0513
5	Aiden Brooks	LF	12	Steven Brooks	(860) 555-0589	sbrooks@sbcglobal.net	Karen Brooks, (860) 555-0590
11	Tyler Simmons	RF	13	Derek Simmons	(860) 555-0634	derek.s.simmons@gmail.com	Lisa Simmons, (860) 555-0635
8	Brandon Herrera	3B/P	12	Carlos Herrera	(860) 555-0671	cherrera.ct@gmail.com	Ana Herrera, (860) 555-0672
22	Isaiah Williams	CF/LF	12	Terrence Williams	(860) 555-0718	twilliam77@aol.com	Shanice Williams, (860) 555-0719
14	Ryan Cheng	1B/RF	13	Michael Cheng	(860) 555-0745	m.cheng.consulting@gmail.com	Lisa Cheng, (860) 555-0746
4	Miles Jackson	C/2B	12	Daryl Jackson	(860) 555-0803	djackson.wh@gmail.com	Tamika Jackson, (860) 555-0804
