id,intent,status,amount_value,currency_code,payee_email,description,create_time
ORDER-83547070160338429,CAPTURE,COMPLETED,351.32,USD,pharmacy@bostonivf.com,IVF medication order â€” pharmacy dispensary,2025-12-12T00:00:00Z
ORDER-57434293133108632,CAPTURE,COMPLETED,305.04,USD,orders@rei.com,REI online order â€” hiking gear,2025-12-07T00:00:00Z
ORDER-30470192747436669,CAPTURE,COMPLETED,388.49,USD,mike.torres.data@gmail.com,"Friend reimbursement â€” Mike Torres, Tavola dinner deposit",2025-12-02T00:00:00Z
ORDER-94395932185623741,CAPTURE,VOIDED,143.25,USD,payments@amazon.com,Amazon marketplace purchase â€” books and supplies,2025-11-28T00:00:00Z
ORDER-66178548238884185,CAPTURE,COMPLETED,405.99,USD,billing@bostonivf.com,IVF co-pay â€” Boston IVF monitoring appointment,2025-11-23T00:00:00Z
ORDER-44779244902402815,CAPTURE,COMPLETED,401.14,USD,store@fedex.com,Fertility grant application supplies and printing,2025-11-18T00:00:00Z
ORDER-55889052777944860,CAPTURE,COMPLETED,370.03,USD,orders@rei.com,REI â€” camping and hiking gear for Monadnock trip,2025-11-13T00:00:00Z
ORDER-36705415949158763,CAPTURE,COMPLETED,363.74,USD,tickets@bso.org,Ticket purchase â€” Boston Symphony Orchestra,2025-11-03T00:00:00Z
ORDER-71116311010958664,CAPTURE,COMPLETED,73.15,USD,orders@amazon.com,Textbook order â€” Introduction to Biostatistics supplementary materials,2025-10-28T00:00:00Z
ORDER-39926257329027288,CAPTURE,COMPLETED,255.41,USD,store@fedex.com,Printing and shipping - manuscript materials,2026-08-23T00:00:00Z
ORDER-95046109610724320,CAPTURE,COMPLETED,367.44,USD,pharmacy@bostonivf.com,IVF medication order - pharmacy dispensary,2026-05-07T00:00:00Z
ORDER-54392252654951176,CAPTURE,APPROVED,92.85,USD,store@fedex.com,Printing and shipping - manuscript materials,2026-04-07T00:00:00Z
ORDER-55473679935314544,CAPTURE,COMPLETED,236.50,USD,billing@mghpcc.org,Compute cluster time - research allocation,2026-08-16T00:00:00Z
ORDER-84590143936029712,CAPTURE,COMPLETED,98.50,USD,payments@amazon.com,Amazon marketplace purchase - books and supplies,2026-04-06T00:00:00Z
ORDER-14009526005950534,CAPTURE,COMPLETED,75.40,USD,billing@bostonivf.com,IVF co-pay - Boston IVF monitoring appointment,2026-08-06T00:00:00Z
ORDER-36473672714304952,CAPTURE,COMPLETED,231.27,USD,mike.torres.data@gmail.com,"Friend reimbursement - Mike Torres, shared gear",2026-08-10T00:00:00Z
ORDER-06116509626673772,CAPTURE,COMPLETED,145.41,USD,support@overleaf.com,Overleaf annual subscription - manuscript drafting,2026-08-13T00:00:00Z
ORDER-30328144380044260,CAPTURE,COMPLETED,155.61,USD,billing@bostonivf.com,IVF co-pay - Boston IVF monitoring appointment,2026-08-25T00:00:00Z
ORDER-28414331436350164,CAPTURE,COMPLETED,209.01,USD,store@fedex.com,Printing and shipping - manuscript materials,2026-03-09T00:00:00Z
ORDER-01575155463803166,CAPTURE,COMPLETED,446.68,USD,payments@amazon.com,Amazon marketplace purchase - books and supplies,2026-07-12T00:00:00Z
ORDER-50725218863564184,CAPTURE,COMPLETED,284.83,USD,billing@bostonivf.com,IVF co-pay - Boston IVF monitoring appointment,2026-05-25T00:00:00Z
ORDER-92225048827112208,CAPTURE,COMPLETED,385.74,USD,orders@traderjoes.com,Grocery order - Trader Joes Cambridge,2026-06-06T00:00:00Z
ORDER-92649115013260912,CAPTURE,COMPLETED,116.35,USD,support@overleaf.com,Overleaf annual subscription - manuscript drafting,2026-06-11T00:00:00Z
ORDER-85478188090714720,CAPTURE,COMPLETED,200.10,USD,billing@mghpcc.org,Compute cluster time - research allocation,2026-09-20T00:00:00Z
ORDER-21881252583992320,CAPTURE,COMPLETED,387.03,USD,billing@bostonivf.com,IVF co-pay - Boston IVF monitoring appointment,2026-03-26T00:00:00Z
ORDER-23683135455326708,CAPTURE,COMPLETED,264.36,USD,orders@rei.com,REI online order - outdoor and hiking gear,2026-06-27T00:00:00Z
ORDER-05921221387535902,CAPTURE,COMPLETED,107.82,USD,billing@mghpcc.org,Compute cluster time - research allocation,2026-06-13T00:00:00Z
ORDER-55577454788413568,CAPTURE,COMPLETED,293.17,USD,store@fedex.com,Printing and shipping - manuscript materials,2026-07-16T00:00:00Z
ORDER-36187955241737872,CAPTURE,VOIDED,32.38,USD,orders@patagonia.com,Patagonia order - cold weather gear,2026-09-07T00:00:00Z
ORDER-65558376566301280,CAPTURE,COMPLETED,238.33,USD,billing@bostonivf.com,IVF co-pay - Boston IVF monitoring appointment,2026-09-17T00:00:00Z
ORDER-56320482332408648,CAPTURE,COMPLETED,364.68,USD,pharmacy@bostonivf.com,IVF medication order - pharmacy dispensary,2026-09-07T00:00:00Z
ORDER-05350579975801790,CAPTURE,COMPLETED,417.88,USD,billing@bostonivf.com,IVF co-pay - Boston IVF monitoring appointment,2026-09-25T00:00:00Z
ORDER-00324812159093475,CAPTURE,COMPLETED,328.75,USD,tickets@bso.org,Ticket purchase - Boston Symphony Orchestra,2026-07-22T00:00:00Z
ORDER-29990643975320576,CAPTURE,COMPLETED,331.93,USD,mike.torres.data@gmail.com,"Friend reimbursement - Mike Torres, shared gear",2026-05-09T00:00:00Z
ORDER-60233811503385104,CAPTURE,COMPLETED,137.84,USD,billing@bostonivf.com,IVF co-pay - Boston IVF monitoring appointment,2026-03-22T00:00:00Z
ORDER-20702256225376508,CAPTURE,VOIDED,325.87,USD,payments@amazon.com,Amazon marketplace purchase - books and supplies,2026-05-24T00:00:00Z
ORDER-46389316928754240,CAPTURE,VOIDED,271.24,USD,orders@rei.com,REI online order - outdoor and hiking gear,2026-03-03T00:00:00Z
ORDER-28860036297170460,CAPTURE,COMPLETED,297.98,USD,billing@bostonivf.com,IVF co-pay - Boston IVF monitoring appointment,2026-09-25T00:00:00Z
ORDER-28807175266000988,CAPTURE,COMPLETED,282.46,USD,tickets@bso.org,Ticket purchase - Boston Symphony Orchestra,2026-09-12T00:00:00Z
ORDER-02302333573951542,CAPTURE,COMPLETED,337.85,USD,orders@amazon.com,Amazon order - household supplies,2026-08-14T00:00:00Z
ORDER-92838223833981072,CAPTURE,COMPLETED,245.22,USD,billing@bostonivf.com,IVF co-pay - Boston IVF monitoring appointment,2026-04-04T00:00:00Z
ORDER-13472311903476860,CAPTURE,VOIDED,388.20,USD,orders@rei.com,REI online order - outdoor and hiking gear,2026-06-16T00:00:00Z
ORDER-03679084779545238,CAPTURE,COMPLETED,77.65,USD,orders@amazon.com,Amazon order - household supplies,2026-04-21T00:00:00Z
ORDER-79843184016571936,CAPTURE,COMPLETED,368.64,USD,mike.torres.data@gmail.com,"Friend reimbursement - Mike Torres, shared gear",2026-09-10T00:00:00Z
ORDER-05081502210852458,CAPTURE,COMPLETED,360.11,USD,store@fedex.com,Printing and shipping - manuscript materials,2026-08-17T00:00:00Z
ORDER-25719395897220536,CAPTURE,COMPLETED,186.09,USD,orders@patagonia.com,Patagonia order - cold weather gear,2026-08-04T00:00:00Z
ORDER-41293727951726752,CAPTURE,COMPLETED,445.44,USD,orders@rei.com,REI online order - outdoor and hiking gear,2026-07-01T00:00:00Z
ORDER-82360363929700272,CAPTURE,COMPLETED,137.99,USD,mike.torres.data@gmail.com,"Friend reimbursement - Mike Torres, shared gear",2026-06-24T00:00:00Z
ORDER-93726731275081040,CAPTURE,COMPLETED,440.30,USD,support@overleaf.com,Overleaf annual subscription - manuscript drafting,2026-08-07T00:00:00Z
ORDER-38502419105964904,CAPTURE,COMPLETED,66.44,USD,pharmacy@bostonivf.com,IVF medication order - pharmacy dispensary,2026-03-25T00:00:00Z
ORDER-08353049405083549,CAPTURE,COMPLETED,89.63,USD,billing@bostonivf.com,IVF co-pay - Boston IVF monitoring appointment,2026-08-21T00:00:00Z
ORDER-57528081097420344,CAPTURE,COMPLETED,394.78,USD,orders@traderjoes.com,Grocery order - Trader Joes Cambridge,2026-03-12T00:00:00Z
ORDER-63996456919236320,CAPTURE,COMPLETED,398.89,USD,orders@traderjoes.com,Grocery order - Trader Joes Cambridge,2026-08-04T00:00:00Z
ORDER-01878637262563518,CAPTURE,VOIDED,432.41,USD,orders@traderjoes.com,Grocery order - Trader Joes Cambridge,2026-07-18T00:00:00Z
ORDER-80976184355549600,CAPTURE,COMPLETED,40.71,USD,store@fedex.com,Printing and shipping - manuscript materials,2026-05-05T00:00:00Z
ORDER-36626785824367208,CAPTURE,COMPLETED,259.78,USD,orders@rei.com,REI online order - outdoor and hiking gear,2026-04-22T00:00:00Z
ORDER-60916854143569640,CAPTURE,VOIDED,73.00,USD,mike.torres.data@gmail.com,"Friend reimbursement - Mike Torres, shared gear",2026-06-07T00:00:00Z
ORDER-32824087856721172,CAPTURE,COMPLETED,300.75,USD,pharmacy@bostonivf.com,IVF medication order - pharmacy dispensary,2026-04-19T00:00:00Z
ORDER-65782305535758992,CAPTURE,COMPLETED,192.80,USD,orders@traderjoes.com,Grocery order - Trader Joes Cambridge,2026-05-25T00:00:00Z
ORDER-11725824750832200,CAPTURE,COMPLETED,195.05,USD,orders@traderjoes.com,Grocery order - Trader Joes Cambridge,2026-07-09T00:00:00Z
ORDER-94168126068156272,CAPTURE,COMPLETED,305.11,USD,tickets@bso.org,Ticket purchase - Boston Symphony Orchestra,2026-08-13T00:00:00Z
ORDER-33076626031229560,CAPTURE,COMPLETED,87.66,USD,orders@rei.com,REI online order - outdoor and hiking gear,2026-03-05T00:00:00Z
ORDER-06959642193727028,CAPTURE,COMPLETED,360.39,USD,orders@rei.com,REI online order - outdoor and hiking gear,2026-07-02T00:00:00Z
ORDER-34308925612973480,CAPTURE,COMPLETED,333.95,USD,payments@amazon.com,Amazon marketplace purchase - books and supplies,2026-07-07T00:00:00Z
ORDER-45809835123740992,CAPTURE,COMPLETED,220.07,USD,orders@traderjoes.com,Grocery order - Trader Joes Cambridge,2026-08-27T00:00:00Z
ORDER-36963273089827632,CAPTURE,COMPLETED,383.16,USD,billing@bostonivf.com,IVF co-pay - Boston IVF monitoring appointment,2026-07-10T00:00:00Z
