Id,DisplayName,CompanyName,PrimaryEmailAddr,PrimaryPhone,BillAddr,Balance,Active,AcctNum,Vendor1099
V001,Brewster Electric Supply,Brewster Electric Supply Inc,"{""Address"": ""m.voss@brewsterelectric.com""}","{""FreeFormNumber"": ""(414) 555-7720""}","{""Line1"": ""1208 W Bruce St"", ""City"": ""Milwaukee"", ""CountrySubDivisionCode"": ""WI"", ""PostalCode"": ""53204""}",0.00,true,CE-2014-0042,false
V002,Midwest Conduit,Midwest Conduit Inc,"{""Address"": ""orders@midwestconduit.com""}","{""FreeFormNumber"": ""(414) 555-8810""}","{""Line1"": ""5400 W Burnham St"", ""City"": ""West Allis"", ""CountrySubDivisionCode"": ""WI"", ""PostalCode"": ""53219""}",0.00,true,CE-MC-0042,false
V003,First Citizens Bank,First Citizens Bank,"{""Address"": ""statements@firstcitizens-business.com""}","{""FreeFormNumber"": ""(800) 555-0001""}","{""Line1"": ""100 E Tryon Rd"", ""City"": ""Raleigh"", ""CountrySubDivisionCode"": ""NC"", ""PostalCode"": ""27603""}",22140.66,true,4471,false
V004,Vorhees Financial Services,Vorhees Financial Services LLC,"{""Address"": ""linda@vorheesfinancial.com""}","{""FreeFormNumber"": ""(414) 555-3082""}","{""Line1"": ""1140 W Mitchell St"", ""City"": ""Milwaukee"", ""CountrySubDivisionCode"": ""WI"", ""PostalCode"": ""53204""}",0.00,true,CE-CPA-2013,true
V005,Rizzo Plumbing,Rizzo Plumbing LLC,"{""Address"": ""tony.rizzo.plumbing@gmail.com""}","{""FreeFormNumber"": ""(414) 555-4712""}","{""Line1"": ""3401 S Howell Ave"", ""City"": ""Milwaukee"", ""CountrySubDivisionCode"": ""WI"", ""PostalCode"": ""53207""}",0.00,true,CE-RZ-2010,true
105,Vendor qu7b,Company 8bp6,"{""Address"": ""mark.aaxb@gmail.com""}","{""FreeFormNumber"": ""+14145552722""}","{""Line1"": ""456 Oak Ave"", ""City"": ""Milwaukee"", ""CountrySubDivisionCode"": ""WI"", ""PostalCode"": ""53201""}",973.95,true,V7312,false
107,Vendor rq2m,Company fne5,"{""Address"": ""jane.krwn@gmail.com""}","{""FreeFormNumber"": ""+14145554516""}","{""Line1"": ""456 Oak Ave"", ""City"": ""Milwaukee"", ""CountrySubDivisionCode"": ""WI"", ""PostalCode"": ""53201""}",2951.48,true,V7329,false
109,Vendor jq58,Company tegc,"{""Address"": ""tom.kexq@contractor.net""}","{""FreeFormNumber"": ""+14145556311""}","{""Line1"": ""456 Oak Ave"", ""City"": ""Milwaukee"", ""CountrySubDivisionCode"": ""WI"", ""PostalCode"": ""53201""}",3492.56,true,V8762,false
111,Vendor y0nz,Company ffz7,"{""Address"": ""lisa.6w8y@chandlerelectric.com""}","{""FreeFormNumber"": ""+14145553378""}","{""Line1"": ""456 Oak Ave"", ""City"": ""Milwaukee"", ""CountrySubDivisionCode"": ""WI"", ""PostalCode"": ""53201""}",1786.34,true,V9725,false
113,Vendor l0d4,Company 6kos,"{""Address"": ""tom.djmm@outlook.com""}","{""FreeFormNumber"": ""+14145552931""}","{""Line1"": ""456 Oak Ave"", ""City"": ""Milwaukee"", ""CountrySubDivisionCode"": ""WI"", ""PostalCode"": ""53201""}",1949.12,true,V3340,false
115,Vendor z7vh,Company 664w,"{""Address"": ""dan.1mxz@hotmail.com""}","{""FreeFormNumber"": ""+14145554531""}","{""Line1"": ""456 Oak Ave"", ""City"": ""Milwaukee"", ""CountrySubDivisionCode"": ""WI"", ""PostalCode"": ""53201""}",196.64,true,V2383,false
117,Vendor agz0,Company 1x72,"{""Address"": ""dan.kyez@yahoo.com""}","{""FreeFormNumber"": ""+14145553199""}","{""Line1"": ""456 Oak Ave"", ""City"": ""Milwaukee"", ""CountrySubDivisionCode"": ""WI"", ""PostalCode"": ""53201""}",4446.84,true,V7130,false
119,Vendor tvry,Company 1rhd,"{""Address"": ""bob.1k3l@gmail.com""}","{""FreeFormNumber"": ""+14145559365""}","{""Line1"": ""456 Oak Ave"", ""City"": ""Milwaukee"", ""CountrySubDivisionCode"": ""WI"", ""PostalCode"": ""53201""}",1754.18,true,V4407,false
121,Vendor 5dty,Company tdnv,"{""Address"": ""mark.hug5@yahoo.com""}","{""FreeFormNumber"": ""+14145555879""}","{""Line1"": ""456 Oak Ave"", ""City"": ""Milwaukee"", ""CountrySubDivisionCode"": ""WI"", ""PostalCode"": ""53201""}",1251.61,true,V5131,false
