Id,DisplayName,GivenName,FamilyName,CompanyName,PrimaryEmailAddr,PrimaryPhone,BillAddr,Balance,Active,Job,Notes
C001,Harborview Property Mgmt,Maria,Suarez,Harborview Property Mgmt LLC,"{""Address"": ""maria@harborview-walker.com""}","{""FreeFormNumber"": ""(414) 555-2410""}","{""Line1"": ""224 W Florida St"", ""City"": ""Milwaukee"", ""CountrySubDivisionCode"": ""WI"", ""PostalCode"": ""53204""}",18500.00,true,false,"$85,000 contract; progress billings 1-3 paid; #4 triggers on final-inspection sign-off"
C002,Helen Bjornson,Helen,Bjornson,,"{""Address"": ""h.bjornson1924@gmail.com""}","{""FreeFormNumber"": ""(414) 555-1924""}","{""Line1"": ""2247 S Kinnickinnic Ave"", ""City"": ""Milwaukee"", ""CountrySubDivisionCode"": ""WI"", ""PostalCode"": ""53207""}",0.00,true,false,Owner away Nov 2-20; key with Mr. Krebs at 2245
C003,Janet Kowalski,Janet,Kowalski,,"{""Address"": ""jkowalski.bayview@gmail.com""}","{""FreeFormNumber"": ""(414) 555-3128""}","{""Line1"": ""3128 S Logan Ave"", ""City"": ""Milwaukee"", ""CountrySubDivisionCode"": ""WI"", ""PostalCode"": ""53207""}",0.00,true,false,South-facing roof; new asphalt spring 2026; asked about solar Sep 2026
C004,Ron and Kelly Heaton,Ron,Heaton,,"{""Address"": ""heaton.house@gmail.com""}","{""FreeFormNumber"": ""(414) 555-2451""}","{""Line1"": ""2451 S Wentworth Ave"", ""City"": ""Milwaukee"", ""CountrySubDivisionCode"": ""WI"", ""PostalCode"": ""53207""}",180.00,true,false,Under spring-2024 warranty; likely write-off
C005,Jia Nguyen,Jia,Nguyen,,"{""Address"": ""jia.nguyen.bv@gmail.com""}","{""FreeFormNumber"": ""(414) 555-2533""}","{""Line1"": ""2533 S Howell Ave"", ""City"": ""Milwaukee"", ""CountrySubDivisionCode"": ""WI"", ""PostalCode"": ""53207""}",2400.00,true,false,Mentioned solar interest
105,3h4h paz3w2,15xol,t863uw,Residential,"{""Address"": ""ann.z28m@yahoo.com""}","{""FreeFormNumber"": ""+14145555448""}","{""Line1"": ""123 Main St"", ""City"": ""Milwaukee"", ""CountrySubDivisionCode"": ""WI"", ""PostalCode"": ""53200""}",64.29,true,false,
107,2ze1 txbkw0,mmfjm,p7klnq,Commercial,"{""Address"": ""lisa.unou@contractor.net""}","{""FreeFormNumber"": ""+14145551059""}","{""Line1"": ""123 Main St"", ""City"": ""Milwaukee"", ""CountrySubDivisionCode"": ""WI"", ""PostalCode"": ""53200""}",2498.30,true,false,
109,kf93 w42y2b,i7r0e,azf09r,Residential,"{""Address"": ""bob.qugk@chandlerelectric.com""}","{""FreeFormNumber"": ""+14145552429""}","{""Line1"": ""123 Main St"", ""City"": ""Milwaukee"", ""CountrySubDivisionCode"": ""WI"", ""PostalCode"": ""53200""}",4737.44,true,false,
111,pprh 1hlykk,ob4r0,y31773,,"{""Address"": ""amy.e206@gmail.com""}","{""FreeFormNumber"": ""+14145555843""}","{""Line1"": ""123 Main St"", ""City"": ""Milwaukee"", ""CountrySubDivisionCode"": ""WI"", ""PostalCode"": ""53200""}",4825.20,true,false,
113,lo61 mjv7oc,7bgvx,r49a0r,Commercial,"{""Address"": ""dan.ws48@hotmail.com""}","{""FreeFormNumber"": ""+14145559264""}","{""Line1"": ""123 Main St"", ""City"": ""Milwaukee"", ""CountrySubDivisionCode"": ""WI"", ""PostalCode"": ""53200""}",2691.18,true,false,
115,fwl5 4gi3ru,7w8gl,y1b6qm,Residential,"{""Address"": ""mike.4gx1@gmail.com""}","{""FreeFormNumber"": ""+14145556753""}","{""Line1"": ""123 Main St"", ""City"": ""Milwaukee"", ""CountrySubDivisionCode"": ""WI"", ""PostalCode"": ""53200""}",3084.03,true,false,
