id,createdTime,Name,Status,Owner,Budget
rec_prj_001,2026-08-15T10:00:00Z,Money Reconciliation,In Progress,Matt Coleman,5600
rec_prj_002,2026-08-15T10:00:00Z,Vendor Spending,In Progress,Matt Coleman,5375
rec_prj_003,2026-08-15T10:00:00Z,Volunteer Reality Check,In Progress,Rosa Villarreal,0
rec_prj_004,2026-08-15T10:00:00Z,Wellness Booth,In Progress,Matt Coleman,400
rec_prj_005,2026-08-15T10:00:00Z,Vendor Drift Check,In Progress,Matt Coleman,655
rec_prj_006,2026-08-15T10:00:00Z,Registration Scaling,In Progress,Matt Coleman,0
rec_prj_007,2026-09-01T10:00:00Z,Curandera Practice,Active,Matt Coleman,0
rec_prj_008,2026-09-01T10:00:00Z,Clinic Volunteer,Active,Matt Coleman,0
rec_prj_009,2026-09-01T10:00:00Z,Family Care,Active,Matt Coleman,0
rec_prj_010,2026-09-01T10:00:00Z,Church Events,Active,Pastor David,18500
rec_prj_011,2026-09-01T10:00:00Z,Medical Appointments,Active,Matt Coleman,0
rec_prj_012,2026-09-01T10:00:00Z,Herbal Preparations,Active,Matt Coleman,0
rec_prj_013,2026-09-01T10:00:00Z,Grief Support Ministry,Active,Deacon Ruth,0
rec_prj_014,2026-09-01T10:00:00Z,Diabetes Education,Active,Matt Coleman,0
rec_prj_015,2026-09-01T10:00:00Z,BP Screening,Active,Matt Coleman,0
rec_prj_016,2026-09-01T10:00:00Z,Health Navigation,Active,Matt Coleman,0
rec_prj_017,2026-08-01T10:00:00Z,Advent Series,Active,Pastor David,0
rec_prj_018,2026-08-01T10:00:00Z,Christmas Eve Service,Active,Pastor David,450
rec_prj_019,2026-08-01T10:00:00Z,Guadalupe Feast,Active,Deacon Maria,350
rec_prj_020,2026-10-01T10:00:00Z,Youth Christmas Program,Active,Deacon Maria,175
rec_prj_021,2026-10-01T10:00:00Z,Sunday School Christmas,Active,Deacon Maria,125
rec_prj_022,2026-10-01T10:00:00Z,Choir Christmas,Active,Music Director,450
rec_prj_023,2026-10-01T10:00:00Z,Prayer Shawl Ministry,Active,Deacon Ruth,75
rec_prj_024,2026-10-01T10:00:00Z,Church Directory Update,Active,Church Office,180
rec_prj_025,2026-10-01T10:00:00Z,Cemetery Care Fund,Active,Church Office,1820
rec_prj_026,2026-10-01T10:00:00Z,Building Fund HVAC,Blocked,Council,2450
rec_prj_027,2026-10-01T10:00:00Z,Food Pantry,Active,Deacon Ruth,2340
rec_prj_028,2026-11-01T10:00:00Z,Newsletter Dec 5,Active,Matt Coleman,0
rec_prj_029,2026-11-01T10:00:00Z,Council Report Dec 8,In Progress,Matt Coleman,0
rec_prj_030,2026-11-01T10:00:00Z,Post-Event Debrief Dec 15,Todo,Matt Coleman,0
