Name	Relationship	Phone	Email
John Martin	Self	(615) 555-0178	john.martin@greenridertech.co
Kayla Martin	Daughter	(615) 555-0134	kayla.martin.nash@mailpost.co
Marcus Martin	Son	(865) 555-0155	marcus.martin.utk@mailpost.co
Pat Williams	Best friend	(615) 555-0210	pat.williams.mboro@mailpost.co
Dr. Yolanda Harper	Rheumatologist	(615) 555-0415	Patient portal
Dr. Adams	Primary care	(615) 555-0420	Clinic line
Dr. Ellis	Dentist	(615) 555-0430	Office line
Pastor Michael Henderson	Church	(615) 555-0300	Church office
New Vision Baptist Church	Church	(615) 555-0301	office@newvisionbaptist.org
Rutherford Family Medicine	Employer	(615) 555-0500	Clinic line
Donna Reeves	Estate attorney	(615) 555-0600	dreeves@rutherfordlaw.com
