id,name,desc,closed,id_organization,url,member_ids
trl-bd-jam-wedding,Jess + Miguel Wedding (MOH planner),Wedding coordination Lancaster PA 2026-10-17. MOH closeout lane owned by Amanda.,false,org-jam-wedding,https://trello.com/b/jamwedding,mem-jess-reyes|mem-amanda-webb|mem-miguel-salinas|mem-carmen-reyes
trl-bd-jam-wedding-e001,Jess + Miguel Wedding (MOH planner),Wedding coordination Lancaster PA 2026-10-17. MOH closeout lane owned by Amanda.,false,org-jam-wedding,https://trello.com/b/jamwedding,mem-jess-reyes|mem-amanda-webb|mem-miguel-salinas|mem-carmen-reyes
trl-bd-jam-wedding-e002,Jess + Miguel Wedding (MOH planner),Wedding coordination Lancaster PA 2026-10-17. MOH closeout lane owned by Amanda.,false,org-jam-wedding,https://trello.com/b/jamwedding,mem-jess-reyes|mem-amanda-webb|mem-miguel-salinas|mem-carmen-reyes
trl-bd-jam-wedding-e003,Jess + Miguel Wedding (MOH planner),Wedding coordination Lancaster PA 2026-10-17. MOH closeout lane owned by Amanda.,false,org-jam-wedding,https://trello.com/b/jamwedding,mem-jess-reyes|mem-amanda-webb|mem-miguel-salinas|mem-carmen-reyes
trl-bd-jam-wedding-e004,Jess + Miguel Wedding (MOH planner),Wedding coordination Lancaster PA 2026-10-17. MOH closeout lane owned by Amanda.,false,org-jam-wedding,https://trello.com/b/jamwedding,mem-jess-reyes|mem-amanda-webb|mem-miguel-salinas|mem-carmen-reyes
trl-bd-jam-wedding-e005,Jess + Miguel Wedding (MOH planner),Wedding coordination Lancaster PA 2026-10-17. MOH closeout lane owned by Amanda.,false,org-jam-wedding,https://trello.com/b/jamwedding,mem-jess-reyes|mem-amanda-webb|mem-miguel-salinas|mem-carmen-reyes
trl-bd-jam-wedding-e006,Jess + Miguel Wedding (MOH planner),Wedding coordination Lancaster PA 2026-10-17. MOH closeout lane owned by Amanda.,false,org-jam-wedding,https://trello.com/b/jamwedding,mem-jess-reyes|mem-amanda-webb|mem-miguel-salinas|mem-carmen-reyes
trl-bd-jam-wedding-e007,Jess + Miguel Wedding (MOH planner),Wedding coordination Lancaster PA 2026-10-17. MOH closeout lane owned by Amanda.,false,org-jam-wedding,https://trello.com/b/jamwedding,mem-jess-reyes|mem-amanda-webb|mem-miguel-salinas|mem-carmen-reyes
trl-bd-jam-wedding-e008,Jess + Miguel Wedding (MOH planner),Wedding coordination Lancaster PA 2026-10-17. MOH closeout lane owned by Amanda.,false,org-jam-wedding,https://trello.com/b/jamwedding,mem-jess-reyes|mem-amanda-webb|mem-miguel-salinas|mem-carmen-reyes
trl-bd-jam-wedding-e009,Jess + Miguel Wedding (MOH planner),Wedding coordination Lancaster PA 2026-10-17. MOH closeout lane owned by Amanda.,false,org-jam-wedding,https://trello.com/b/jamwedding,mem-jess-reyes|mem-amanda-webb|mem-miguel-salinas|mem-carmen-reyes
trl-bd-jam-wedding-e010,Jess + Miguel Wedding (MOH planner),Wedding coordination Lancaster PA 2026-10-17. MOH closeout lane owned by Amanda.,false,org-jam-wedding,https://trello.com/b/jamwedding,mem-jess-reyes|mem-amanda-webb|mem-miguel-salinas|mem-carmen-reyes
