Jersey	First_Name	Last_Name	DOB	Position	Years_on_Team	Parent_Name	Parent_Phone	Emergency_Contact
2	Mia	Lawson	2011-03-14	Goalkeeper	2	Karen Lawson	(315) 555-1021	Karen Lawson (315) 555-1021
4	Sofia	Reyes	2011-08-22	Defender	1	Ana Reyes	(315) 555-1034	Ana Reyes (315) 555-1034
5	Priya	Nair	2011-05-06	Defender	3	Suresh Nair	(315) 555-1047	Suresh Nair (315) 555-1047
6	Emma	Kowalski	2012-01-19	Defender	2	Beth Kowalski	(315) 555-1060	Beth Kowalski (315) 555-1060
8	Rachel	Okafor	2011-11-30	Midfielder	3	Ngozi Okafor	(315) 555-1073	Ngozi Okafor (315) 555-1073
10	Lily	Chang	2011-07-11	Midfielder	2	Wei Chang	(315) 555-1086	Wei Chang (315) 555-1086
11	Brianna	Torres	2012-02-25	Midfielder	1	Maria Torres	(315) 555-1099	Maria Torres (315) 555-1099
12	Jasmine	Webb	2011-09-08	Midfielder	2	Donna Webb	(315) 555-1112	Donna Webb (315) 555-1112
14	Caitlin	Murphy	2011-04-17	Midfielder	3	Sean Murphy	(315) 555-1125	Sean Murphy (315) 555-1125
16	Amara	Diallo	2012-06-03	Forward	1	Fatou Diallo	(315) 555-1138	Fatou Diallo (315) 555-1138
17	Hannah	Park	2011-10-27	Forward	2	Ji-Young Park	(315) 555-1151	Ji-Young Park (315) 555-1151
19	Zoe	Hernandez	2011-12-14	Forward	1	Claudia Hernandez	(315) 555-1164	Claudia Hernandez (315) 555-1164
20	Nadia	Frost	2012-03-09	Forward	2	Linda Frost	(315) 555-1177	Linda Frost (315) 555-1177
22	Keely	Andersen	2011-06-28	Forward	3	Tom Andersen	(315) 555-1190	Tom Andersen (315) 555-1190
