id,name,company,from_name,from_email,subject,member_count,unsubscribe_count,date_created
list_main,Mykonos Newsletter,Mykonos Taverna LLC,Mykonos Taverna,newsletter@mykonostaverna.com,,2847,42,2018-01-15
ml_0000,List 0,,Mykonos,k61@gmail.com,,1614,3,2026-07-08
ml_0001,List 1,,Mykonos,k33@yahoo.com,,455,14,2026-07-31
ml_0002,List 2,,Mykonos,m92@yahoo.com,,2686,37,2026-02-20
ml_0003,List 3,,Mykonos,a22@yahoo.com,,4385,10,2026-05-15
ml_0004,List 4,,Mykonos,s77@gmail.com,,4601,3,2026-04-04
ml_0005,List 5,,Mykonos,m55@gmail.com,,3579,44,2026-01-25
ml_0006,List 6,,Mykonos,k74@yahoo.com,,3881,0,2026-07-06
ml_0007,List 7,,Mykonos,m48@gmail.com,,715,11,2026-09-03
ml_0008,List 8,,Mykonos,m11@gmail.com,,531,7,2026-01-31
ml_0009,List 9,,Mykonos,a75@yahoo.com,,342,32,2026-10-13
ml_0010,List 10,,Mykonos,a33@yahoo.com,,3383,26,2026-01-31
ml_0011,List 11,,Mykonos,m66@yahoo.com,,1971,10,2026-08-30
ml_0012,List 12,,Mykonos,j97@yahoo.com,,3495,14,2026-10-07
ml_0013,List 13,,Mykonos,j48@yahoo.com,,1369,20,2026-09-25
ml_0014,List 14,,Mykonos,s85@yahoo.com,,3058,23,2026-10-01
ml_0015,List 15,,Mykonos,m33@yahoo.com,,1539,4,2026-04-16
ml_0016,List 16,,Mykonos,k62@yahoo.com,,4015,13,2026-06-23
ml_0017,List 17,,Mykonos,j97@gmail.com,,4703,1,2026-09-05
ml_0018,List 18,,Mykonos,m11@yahoo.com,,3298,28,2026-01-12
ml_0019,List 19,,Mykonos,j54@gmail.com,,2116,29,2026-06-03
ml_0020,List 20,,Mykonos,s49@yahoo.com,,3118,4,2026-07-16
ml_0021,List 21,,Mykonos,s82@gmail.com,,1122,15,2026-04-01
ml_0022,List 22,,Mykonos,k67@yahoo.com,,2974,5,2026-04-28
ml_0023,List 23,,Mykonos,a29@gmail.com,,3488,50,2026-01-14
ml_0024,List 24,,Mykonos,m53@gmail.com,,4168,37,2026-04-04
ml_0025,List 25,,Mykonos,s79@yahoo.com,,1084,32,2026-05-29
ml_0026,List 26,,Mykonos,m94@gmail.com,,4483,47,2026-05-15
ml_0027,List 27,,Mykonos,k60@gmail.com,,1265,41,2026-10-05
ml_0028,List 28,,Mykonos,m11@yahoo.com,,933,2,2026-06-11
ml_0029,List 29,,Mykonos,k42@yahoo.com,,1204,26,2026-07-17
ml_0030,List 30,,Mykonos,a16@gmail.com,,4993,39,2026-04-21
ml_0031,List 31,,Mykonos,k90@gmail.com,,3503,5,2026-03-09
ml_0032,List 32,,Mykonos,j50@gmail.com,,3828,28,2026-06-30
ml_0033,List 33,,Mykonos,j28@gmail.com,,1882,19,2026-08-21
ml_0034,List 34,,Mykonos,s52@gmail.com,,2882,17,2026-05-27
ml_0035,List 35,,Mykonos,a43@gmail.com,,3875,22,2026-08-17
ml_0036,List 36,,Mykonos,j95@yahoo.com,,2065,38,2026-08-21
ml_0037,List 37,,Mykonos,m22@yahoo.com,,3217,40,2026-03-03
ml_0038,List 38,,Mykonos,s48@yahoo.com,,4223,19,2026-02-26
ml_0039,List 39,,Mykonos,m46@yahoo.com,,3999,49,2026-03-20
ml_0040,List 40,,Mykonos,j25@gmail.com,,4083,2,2026-09-24
ml_0041,List 41,,Mykonos,j77@yahoo.com,,3515,8,2026-09-14
ml_0042,List 42,,Mykonos,s92@gmail.com,,3830,15,2026-06-27
ml_0043,List 43,,Mykonos,k35@yahoo.com,,1650,36,2026-01-02
ml_0044,List 44,,Mykonos,s63@yahoo.com,,4225,15,2026-04-24
ml_0045,List 45,,Mykonos,j36@gmail.com,,1222,19,2026-06-05
ml_0046,List 46,,Mykonos,k40@yahoo.com,,2572,20,2026-05-31
