date,day_of_week,kerry_shift,kids_activity,coverage_plan,fallback,notes
2026-11-01,Sunday,night shift 1900 to 0700,off,Ava overnight,Colleen,Week A rotation starts
2026-11-02,Monday,night shift 1900 to 0700,Liam hockey 1730 Daly Memorial,Ava overnight and Ava drives Liam to rink,Kim drives rink pickup,post shift sleep window 0730 to 1500
2026-11-03,Tuesday,night shift 1900 to 0700,Liam hockey 1730 Daly Memorial,Ava overnight and Ava drives Liam to rink,Kim drives rink pickup,post shift sleep window 0730 to 1500
2026-11-04,Wednesday,off,Chloe art 1530 Roslindale,Kerry drives Chloe,none needed,catch up sleep morning only
2026-11-05,Thursday,off,Liam hockey 1730 Daly Memorial,Kerry drives Liam,none needed,Liam birthday Nov 5
2026-11-06,Friday,off,off,Kerry home,none needed,quiet Friday
2026-11-07,Saturday,off,Girl Scouts 0830 biweekly for Chloe,Kerry drives Chloe,Kim drives if Chloe wants a friend along,laundry and grocery run day
2026-11-08,Sunday,off,off,Kerry home,none needed,rest before Week B
2026-11-09,Monday,off,Liam hockey 1730 Daly Memorial,Kerry drives Liam,none needed,quiet Monday
2026-11-10,Tuesday,off,Liam hockey 1730 Daly Memorial,Kerry drives Liam,none needed,groceries and prep
2026-11-11,Wednesday,night shift 1900 to 0700,Chloe art skipped Veterans Day,Ava daytime coverage while Kerry sleeps then overnight,Colleen backup,school closed for Veterans Day
2026-11-12,Thursday,night shift 1900 to 0700,Liam hockey 1730 Daly Memorial,Ava overnight and Ava drives Liam to rink,Kim drives rink pickup,post shift sleep window 0730 to 1500
2026-11-13,Friday,night shift 1900 to 0700,off,Ava overnight,Colleen backup,post shift sleep window 0730 to 1500
2026-11-14,Saturday,off,off,Kerry home,none needed,laundry and grocery run day
2026-11-15,Sunday,night shift 1900 to 0700,off,Ava overnight,Colleen backup,Week A rotation
2026-11-16,Monday,night shift 1900 to 0700,Liam hockey 1730 Daly Memorial,Ava overnight and Ava drives Liam to rink,Kim drives rink pickup,post shift sleep window 0730 to 1500
2026-11-17,Tuesday,night shift 1900 to 0700,Liam hockey 1730 Daly Memorial,coverage TBD pending Ava confirmation,Colleen if available,Kim if Colleen unavailable
2026-11-18,Wednesday,off,Chloe art 1530 Roslindale,Kerry drives Chloe,none needed,catch up sleep morning only
2026-11-19,Thursday,off,Liam hockey 1730 Daly Memorial,Kerry drives Liam,none needed,quiet Thursday
2026-11-20,Friday,off,off,Kerry home,none needed,laundry catch up
2026-11-21,Saturday,off,Girl Scouts 0830 biweekly for Chloe,Kerry drives Chloe,Kim if a friend joins,quiet Saturday
2026-11-22,Sunday,off,off,Kerry home,none needed,prep for Thanksgiving week
2026-11-23,Monday,off,Liam hockey 1730 Daly Memorial,Kerry drives Liam,none needed,quiet Monday
2026-11-24,Tuesday,off,Liam hockey 1730 Daly Memorial and Chloe half day early release 1130,Kerry picks up Chloe at 1130 then hockey later,Kim if pickup conflicts,Holy Name early release
2026-11-25,Wednesday,off,off,Kerry home,none needed,Thanksgiving prep
2026-11-26,Thursday,off,Thanksgiving at Colleen Quincy,Kerry drives kids to Quincy,none needed,Kerry off shift for holiday
2026-11-27,Friday,off,off,Kerry home,none needed,leftover day
2026-11-28,Saturday,off,off,Kerry home,none needed,quiet Saturday
2026-11-29,Sunday,night shift 1900 to 0700,off,Ava overnight,Colleen backup,Week A rotation
2026-11-30,Monday,night shift 1900 to 0700,Liam hockey 1730 Daly Memorial,Ava overnight and Ava drives Liam,Kim drives rink pickup,post shift sleep window 0730 to 1500
2026-12-01,Tuesday,night shift 1900 to 0700,Liam hockey 1730 Daly Memorial,Ava overnight and Ava drives Liam,Kim drives rink pickup,post shift sleep window 0730 to 1500
