slot_id,advisor,date,start_time,end_time,duration_min,location,type,availability,booked_by,booked_at,notes
CL7701,Tanya Williams,2026-10-08,15:00,15:30,30,Student Success 210,Standing advising,booked,Hassan Blanchard,2026-09-14T18:22,Fall midterm outlook check
CL7702,Tanya Williams,2026-10-12,14:00,14:30,30,Student Success 210,Standing advising,available,,,
CL7703,Tanya Williams,2026-10-14,10:00,10:30,30,Student Success 210,Standing advising,available,,,
CL7704,Tanya Williams,2026-10-19,15:00,15:30,30,Student Success 210,Standing advising,available,,,
CL7705,Tanya Williams,2026-10-21,10:00,10:30,30,Student Success 210,Standing advising,available,,,
CL7706,Tanya Williams,2026-10-26,15:00,15:30,30,Student Success 210,Standing advising,available,,,
CL7707,Tanya Williams,2026-10-28,10:00,10:30,30,Student Success 210,Post midterm review,available,,,Held for post 2026-10-27 grade posting
CL7708,Tanya Williams,2026-11-02,15:00,15:30,30,Student Success 210,Standing advising,available,,,
CL7709,Tanya Williams,2026-11-04,10:00,10:30,30,Student Success 210,Standing advising,available,,,
CL7710,Tanya Williams,2026-11-09,15:00,15:30,30,Student Success 210,Standing advising,available,,,
CL7711,Tanya Williams,2026-11-16,15:00,15:30,30,Student Success 210,Standing advising,available,,,
CL7712,Tanya Williams,2026-11-30,15:00,15:30,30,Student Success 210,Standing advising,available,,,
CL7713,Tanya Williams,2026-12-07,15:00,15:30,30,Student Success 210,Pre finals check,available,,,
CL7714,Tanya Williams,2027-01-05,10:00,10:30,30,Student Success 210,Spring 2027 course confirmation,booked,Hassan Blanchard,2026-09-30T21:04,Lock Spring 2027 course list
CL7715,Tanya Williams,2027-01-08,14:00,14:30,30,Student Success 210,Spring kickoff,available,,,
