paystub_id,pay_period_start,pay_period_end,pay_date,hours_worked,hourly_rate,gross_pay,fed_tax,state_tax,fica,net_pay,employer,direct_deposit_account
GS1001,2026-08-16,2026-08-29,2026-09-04,26.50,11.50,304.75,12.19,7.62,23.31,261.63,Cedarbrook Dining Svcs,Peach State CU ****4471
GS1002,2026-08-30,2026-09-12,2026-09-18,27.25,11.50,313.38,12.53,7.83,23.97,269.05,Cedarbrook Dining Svcs,Peach State CU ****4471
GS1003,2026-09-13,2026-09-26,2026-10-02,25.00,11.50,287.50,11.50,7.19,21.99,246.82,Cedarbrook Dining Svcs,Peach State CU ****4471
GS1004,2026-09-27,2026-10-10,2026-10-16,26.19,11.50,301.19,12.05,7.53,23.04,258.57,Cedarbrook Dining Svcs,Peach State CU ****4471
GS1005,2026-10-11,2026-10-24,2026-10-30,23.88,11.50,274.63,10.99,6.87,21.01,235.76,Cedarbrook Dining Svcs,Peach State CU ****4471
GS1006,2026-10-25,2026-11-07,2026-11-13,23.34,11.50,268.44,10.74,6.71,20.53,230.46,Cedarbrook Dining Svcs,Peach State CU ****4471
GS1007,2026-11-08,2026-11-21,2026-11-27,21.73,11.50,249.87,10.00,6.25,19.11,214.51,Cedarbrook Dining Svcs,Peach State CU ****4471
GS1008,2026-11-22,2026-12-05,2026-12-11,20.90,11.50,240.29,9.61,6.01,18.38,206.29,Cedarbrook Dining Svcs,Peach State CU ****4471
GS1009,2026-12-06,2026-12-19,2026-12-25,17.27,11.50,198.62,7.94,4.97,15.19,170.52,Cedarbrook Dining Svcs,Peach State CU ****4471
GS1010,2026-12-20,2027-01-02,2027-01-09,13.59,11.50,156.28,6.25,3.91,11.95,134.17,Cedarbrook Dining Svcs,Peach State CU ****4471
notes,,,,,,,,,,, Winter break period hours drop. Dining stays open reduced schedule. Spring 2027 first pay 2027-01-23 forecast.
