id,name,activity_type,distance,average_grade,maximum_grade,elevation_high,elevation_low,climb_category,city,state
1001,Cielo Vista Morning Loop,Walk,2450,1.8,4.2,3820,3720,0,El Paso,TX
1002,Album Ave to Piedras Return,Walk,1850,1.2,3.0,3810,3780,0,El Paso,TX
1003,Wellington Circle,Walk,1620,0.8,2.4,3805,3790,0,El Paso,TX
1004,Eastside Community Loop,Walk,2100,1.4,3.6,3830,3785,0,El Paso,TX
1005,Piedras St North to South,Walk,3200,1.1,2.8,3825,3790,0,El Paso,TX
1006,Cerro Verde Cemetery Approach,Walk,1450,2.2,4.5,3850,3800,0,El Paso,TX
1007,Grace Church to Home,Walk,2820,1.5,3.2,3825,3780,0,El Paso,TX
1008,Eastside Clinic Loop,Walk,2650,1.2,2.8,3815,3785,0,El Paso,TX
1009,Sunshine Park Perimeter,Walk,1820,0.5,2.0,3800,3790,0,El Paso,TX
1010,Sofia's House to Home,Walk,3450,1.8,4.0,3835,3785,0,El Paso,TX
1011,Bassett Center Perimeter,Walk,2200,0.7,1.8,3810,3795,0,El Paso,TX
1012,Ascarate Park Path,Walk,4200,0.9,2.5,3805,3775,0,El Paso,TX
1013,Fort Bliss Chapel Route,Walk,3800,1.4,3.5,3840,3790,0,El Paso,TX
1014,Concordia Cemetery Historical Walk,Walk,2100,1.0,2.8,3820,3790,0,El Paso,TX
1015,Chamizal National Memorial,Walk,3200,0.8,2.2,3800,3770,0,El Paso,TX
