School	Student_Last	Student_Initial	Grade	Session_Date	Mentor	Attendance
Sligo Creek Middle School	Okafor	D	6	2026-01-08	Marcus Webb	Present
Sligo Creek Middle School	Kim	J	7	2026-01-08	Priya Nair	Absent
Sligo Creek Middle School	Hassan	A	8	2026-01-08	Marcus Webb	Present
Sligo Creek Middle School	Torres	M	6	2026-01-08	Priya Nair	Present
Sligo Creek Middle School	Kowalski	B	7	2026-01-08	James Park	Present
Sligo Creek Middle School	Washington	T	8	2026-01-08	James Park	Present
Sligo Creek Middle School	Patel	R	6	2026-01-08	Priya Nair	Present
Sligo Creek Middle School	Osei	K	7	2026-01-08	Marcus Webb	Absent
Sligo Creek Middle School	Okafor	D	6	2026-01-15	Marcus Webb	Present
Sligo Creek Middle School	Kim	J	7	2026-01-15	Priya Nair	Absent
Sligo Creek Middle School	Hassan	A	8	2026-01-15	Marcus Webb	Present
Sligo Creek Middle School	Torres	M	6	2026-01-15	Priya Nair	Present
Sligo Creek Middle School	Kowalski	B	7	2026-01-15	James Park	Absent
Sligo Creek Middle School	Washington	T	8	2026-01-15	James Park	Present
Sligo Creek Middle School	Patel	R	6	2026-01-15	Priya Nair	Present
Sligo Creek Middle School	Osei	K	7	2026-01-15	Marcus Webb	Present
Sligo Creek Middle School	Okafor	D	6	2026-01-22	Marcus Webb	Present
Sligo Creek Middle School	Kim	J	7	2026-01-22	Priya Nair	Present
Sligo Creek Middle School	Hassan	A	8	2026-01-22	Marcus Webb	Present
Sligo Creek Middle School	Torres	M	6	2026-01-22	Priya Nair	Absent
Sligo Creek Middle School	Kowalski	B	7	2026-01-22	James Park	Present
Sligo Creek Middle School	Washington	T	8	2026-01-22	James Park	Present
Sligo Creek Middle School	Patel	R	6	2026-01-22	Priya Nair	Present
Sligo Creek Middle School	Osei	K	7	2026-01-22	Marcus Webb	Present
Sligo Creek Middle School	Okafor	D	6	2026-01-29	Marcus Webb	Present
Sligo Creek Middle School	Kim	J	7	2026-01-29	Priya Nair	Present
Sligo Creek Middle School	Hassan	A	8	2026-01-29	Marcus Webb	Absent
Sligo Creek Middle School	Torres	M	6	2026-01-29	Priya Nair	Absent
Sligo Creek Middle School	Kowalski	B	7	2026-01-29	James Park	Present
Sligo Creek Middle School	Washington	T	8	2026-01-29	James Park	Present
Sligo Creek Middle School	Patel	R	6	2026-01-29	Priya Nair	Present
Sligo Creek Middle School	Osei	K	7	2026-01-29	Marcus Webb	Present
Sligo Creek Middle School	Okafor	D	6	2026-02-05	Marcus Webb	Present
Sligo Creek Middle School	Kim	J	7	2026-02-05	Priya Nair	Present
Sligo Creek Middle School	Hassan	A	8	2026-02-05	Marcus Webb	Present
Sligo Creek Middle School	Torres	M	6	2026-02-05	Priya Nair	Present
Sligo Creek Middle School	Kowalski	B	7	2026-02-05	James Park	Present
Sligo Creek Middle School	Washington	T	8	2026-02-05	James Park	Present
