id,firstname,lastname,email,phone,jobtitle,company,lifecyclestage,createdate,lastmodifieddate
201,Carlos,Whitfield,carlos.whitfield@gmail.com,503-555-0171,Treasurer,Cedar Hills Garden Club,customer,2024-07-20T09:00:00.000Z,2026-09-25T09:00:00.000Z
202,Nancy,Delgado,nancy.delgado@example.com,503-555-0211,President,Cedar Hills Garden Club,customer,2024-07-30T09:00:00.000Z,2026-09-18T09:00:00.000Z
203,Ruth,Kobayashi,ruth.k@example.com,503-555-0212,Vice President,Cedar Hills Garden Club,customer,2024-08-09T09:00:00.000Z,2026-09-20T09:00:00.000Z
204,Margaret,Kim,margaret.kim@example.com,503-555-0213,Secretary,Cedar Hills Garden Club,customer,2024-08-19T09:00:00.000Z,2026-09-16T09:00:00.000Z
205,Harold,Bennett,harold.bennett@example.com,503-555-0214,Board Member,Cedar Hills Garden Club,customer,2024-08-29T09:00:00.000Z,2026-09-08T09:00:00.000Z
206,Emily,Nakashima,emily.n@example.com,503-555-0215,Member,Cedar Hills Garden Club,customer,2025-05-16T09:00:00.000Z,2026-09-13T09:00:00.000Z
207,Karen,Whitfield-Park,karen.park@gmail.com,503-555-0231,Family - POA,-,customer,2023-06-16T09:00:00.000Z,2026-09-27T09:00:00.000Z
208,Kevin,Whitfield,kevin.whitfield@gmail.com,720-555-0418,Family - Alt ICE,-,customer,2023-06-16T09:00:00.000Z,2026-09-22T09:00:00.000Z
209,Doug,Tanaka,doug.tanaka@example.com,503-555-0344,Friend,-,customer,2022-08-20T09:00:00.000Z,2026-08-29T09:00:00.000Z
210,Frank,Callahan,frank.callahan@example.com,503-555-0522,Friend - Walk,-,customer,2022-08-20T09:00:00.000Z,2026-09-26T09:00:00.000Z
211,Owen,Zorn,owen.zorn@example.com,503-555-7845,Member,Cedar Hills Garden Club,opportunity,2024-11-26T09:00:00.000Z,2026-09-06T09:00:00.000Z
212,Vera,Davies,vera.davies@example.com,503-555-8198,Prospective member,Cedar Hills Garden Club,lead,2026-03-02T09:00:00.000Z,2026-08-16T09:00:00.000Z
213,Greg,Carr,greg.carr@example.com,503-555-3518,Member,Cedar Hills Garden Club,marketingqualifiedlead,2025-07-04T09:00:00.000Z,2026-08-15T09:00:00.000Z
214,Mark,Moss,mark.moss@example.com,503-555-3047,Member,Cedar Hills Garden Club,salesqualifiedlead,2025-03-31T09:00:00.000Z,2026-08-17T09:00:00.000Z
215,Uma,Young,uma.young@example.com,503-555-3247,Prospective member,Cedar Hills Garden Club,customer,2026-02-09T09:00:00.000Z,2026-09-23T09:00:00.000Z
216,Sean,Moss,sean.moss@example.com,503-555-7930,Member,Cedar Hills Garden Club,opportunity,2025-03-22T09:00:00.000Z,2026-08-16T09:00:00.000Z
217,Rita,Ellis,rita.ellis@example.com,503-555-4704,Member,Cedar Hills Garden Club,lead,2025-05-11T09:00:00.000Z,2026-08-16T09:00:00.000Z
218,Ed,Davies,ed.davies@example.com,503-555-9828,Prospective member,Cedar Hills Garden Club,marketingqualifiedlead,2025-01-23T09:00:00.000Z,2026-09-03T09:00:00.000Z
219,Blake,Kwan,blake.kwan@example.com,503-555-3079,Member,Cedar Hills Garden Club,salesqualifiedlead,2024-12-14T09:00:00.000Z,2026-08-23T09:00:00.000Z
220,Jax,Vale,jax.vale@example.com,503-555-4956,Member,Cedar Hills Garden Club,customer,2025-09-06T09:00:00.000Z,2026-07-31T09:00:00.000Z
221,Lena,Zorn,lena.zorn@example.com,503-555-2285,Prospective member,Cedar Hills Garden Club,opportunity,2025-06-13T09:00:00.000Z,2026-08-05T09:00:00.000Z
222,Hal,Quick,hal.quick@example.com,503-555-3070,Member,Cedar Hills Garden Club,lead,2025-01-25T09:00:00.000Z,2026-09-16T09:00:00.000Z
223,Rita,Jost,rita.jost@example.com,503-555-2773,Member,Cedar Hills Garden Club,marketingqualifiedlead,2025-05-19T09:00:00.000Z,2026-08-08T09:00:00.000Z
224,Jill,Bloom,jill.bloom@example.com,503-555-2477,Prospective member,Cedar Hills Garden Club,salesqualifiedlead,2026-06-05T09:00:00.000Z,2026-08-01T09:00:00.000Z
225,Sean,Nash,sean.nash@example.com,503-555-6593,Member,Cedar Hills Garden Club,customer,2026-07-28T09:00:00.000Z,2026-09-21T09:00:00.000Z
226,Doug,Park,doug.park@example.com,503-555-8848,Member,Cedar Hills Garden Club,opportunity,2026-04-23T09:00:00.000Z,2026-08-25T09:00:00.000Z
227,Rita,Kwan,rita.kwan@example.com,503-555-4693,Prospective member,Cedar Hills Garden Club,lead,2025-02-02T09:00:00.000Z,2026-09-17T09:00:00.000Z
228,Jill,Adler,jill.adler@example.com,503-555-3928,Member,Cedar Hills Garden Club,marketingqualifiedlead,2024-10-30T09:00:00.000Z,2026-08-03T09:00:00.000Z
