id,company_id,first_name,last_name,business_name,type,email,hourly_rate,wage_type,start_date
gcon-rsa-01,comp-nf7-001,Dana,Okoro,,Individual,dana.okoro@example.com,95.00,Hourly,2025-02-01
gcon-ill-02,comp-nf7-001,,,Marrok Reconstruction Studio LLC,Business,billing@marrok-studio.example.com,0.00,Fixed,2025-06-01
id-00003,compan-00003,Sage,Winter,Kelp umber 3,pending,quinn.busch003@example.com,1002.0,general,2026-07-08T22:47:00Z
id-00004,compan-00004,Riley,Sommer,Harbor pine 4,pending,quinn.schulz004@example.com,1003.0,closed,2026-07-27T05:25:00Z
id-00005,compan-00005,Paul,Schulz,Frost haze 5,pending,jordan.wolf005@example.com,1004.0,active,2026-07-06T01:42:00Z
id-00006,compan-00006,Jamie,Schulz,Pine meadow 6,closed,rowan.richter006@example.com,1005.0,active,2026-03-26T15:37:00Z
id-00007,compan-00007,Riley,Busch,Frost haze 7,standard,reese.sommer007@example.com,1006.0,pending,2026-03-26T06:59:00Z
id-00008,compan-00008,Rowan,Klein,Umber pine 8,standard,casey.winter008@example.com,1007.0,open,2026-01-08T20:26:00Z
id-00009,compan-00009,Emil,Busch,River orbit 9,general,mara.winter009@example.com,1008.0,closed,2026-03-20T08:25:00Z
id-00010,compan-00010,Taylor,Braun,Harbor meadow 10,pending,timo.wolf010@example.com,1009.0,general,2026-07-08T19:52:00Z
id-00011,compan-00011,Timo,Lorenz,Quartz ember 11,active,quinn.richter011@example.com,1010.0,general,2026-07-16T17:24:00Z
id-00012,compan-00012,Quinn,Schulz,Violet bravo 12,general,lena.busch012@example.com,1011.0,pending,2026-08-02T05:28:00Z
id-00013,compan-00013,Lena,Wolf,Summit haze 13,open,inga.arnold013@example.com,1012.0,closed,2026-12-26T15:58:00Z
id-00014,compan-00014,Jamie,Braun,Haze kelp 14,standard,reese.schulz014@example.com,1013.0,active,2026-07-08T14:38:00Z
id-00015,compan-00015,Lena,Vogel,Willow river 15,closed,blair.koch015@example.com,1014.0,open,2026-11-08T14:08:00Z
id-00016,compan-00016,Mara,Berg,Violet coral 16,standard,casey.lorenz016@example.com,1015.0,open,2026-11-25T16:57:00Z
id-00017,compan-00017,Sven,Lorenz,Summit tidal 17,active,paul.wolf017@example.com,1016.0,pending,2026-07-08T02:54:00Z
id-00018,compan-00018,Alex,Winter,Grove grove 18,standard,nora.klein018@example.com,1017.0,standard,2026-06-18T04:04:00Z
id-00019,compan-00019,Mara,Sommer,Zephyr harbor 19,open,riley.klein019@example.com,1018.0,pending,2026-03-12T00:26:00Z
id-00020,compan-00020,Blair,Haas,Orbit zephyr 20,general,mara.frank020@example.com,1019.0,active,2026-03-12T16:45:00Z
id-00021,compan-00021,Quinn,Sommer,Bravo jade 21,general,devon.sommer021@example.com,1020.0,general,2026-03-03T21:54:00Z
id-00022,compan-00022,Devon,Arnold,Alpha iris 22,pending,lena.haas022@example.com,1021.0,active,2026-05-28T10:30:00Z
