id,employee_id,job_title,rate,payment_unit,flsa_status,effective_date
id-00001,employ-00001,River river 1,1000.0,willow-1,closed,2026-01-19T08:07:00Z
id-00002,employ-00002,Haze frost 2,1001.0,tidal-2,standard,2026-11-02T00:22:00Z
id-00003,employ-00003,Orbit cedar 3,1002.0,quartz-3,active,2026-04-21T10:31:00Z
id-00004,employ-00004,Frost meadow 4,1003.0,iris-4,general,2026-08-27T01:00:00Z
id-00005,employ-00005,Summit frost 5,1004.0,kelp-5,standard,2026-09-18T02:35:00Z
id-00006,employ-00006,Pine meadow 6,1005.0,harbor-6,open,2026-08-22T19:37:00Z
id-00007,employ-00007,Summit delta 7,1006.0,pine-7,standard,2026-08-21T00:25:00Z
id-00008,employ-00008,Tidal iris 8,1007.0,harbor-8,open,2026-04-25T19:03:00Z
id-00009,employ-00009,Umber iris 9,1008.0,ember-9,closed,2026-04-19T13:16:00Z
id-00010,employ-00010,Orbit frost 10,1009.0,tidal-10,pending,2026-04-23T06:52:00Z
id-00011,employ-00011,Zephyr harbor 11,1010.0,ember-11,active,2026-08-20T07:15:00Z
id-00012,employ-00012,Haze cedar 12,1011.0,bravo-12,general,2026-05-26T15:33:00Z
id-00013,employ-00013,Alpha frost 13,1012.0,orbit-13,pending,2026-12-17T06:32:00Z
id-00014,employ-00014,Umber orbit 14,1013.0,jade-14,active,2026-02-20T17:27:00Z
id-00015,employ-00015,Quartz alpha 15,1014.0,pine-15,closed,2026-04-24T09:20:00Z
id-00016,employ-00016,Violet coral 16,1015.0,bravo-16,closed,2026-08-26T18:28:00Z
id-00017,employ-00017,Harbor cedar 17,1016.0,harbor-17,general,2026-09-01T04:27:00Z
id-00018,employ-00018,Bravo willow 18,1017.0,orbit-18,active,2026-05-05T17:07:00Z
id-00019,employ-00019,Frost willow 19,1018.0,quartz-19,closed,2026-05-17T02:56:00Z
id-00020,employ-00020,Iris grove 20,1019.0,tidal-20,pending,2026-03-19T03:35:00Z
id-00021,employ-00021,Summit ember 21,1020.0,violet-21,open,2026-02-13T21:40:00Z
id-00022,employ-00022,Cedar jade 22,1021.0,zephyr-22,general,2026-01-06T04:26:00Z
id-00023,employ-00023,Grove quartz 23,1022.0,jade-23,pending,2026-03-04T16:31:00Z
id-00024,employ-00024,Jade grove 24,1023.0,orbit-24,standard,2026-04-16T08:09:00Z
id-00025,employ-00025,Orbit coral 25,1024.0,delta-25,pending,2026-02-12T19:57:00Z
