id,company_id,first_name,last_name,email,department,job_title,rate,payment_unit,flsa_status,start_date,terminated
1000,ridgewood-001,Mateo,Cohen,mateo.cohen1000@ridgewoodcollegiate.ca,English,English Teacher,68000,Year,Exempt,2019-01-23,false
1001,ridgewood-001,Hassan,Costa,hassan.costa1001@ridgewoodcollegiate.ca,Mathematics,Numeracy Lead Teacher,96000,Year,Exempt,2015-08-11,false
1002,ridgewood-001,Sofia,Chen,sofia.chen1002@ridgewoodcollegiate.ca,Science,Science Teacher,52000,Year,Exempt,2019-12-05,false
1003,ridgewood-001,Carlos,Mensah,carlos.mensah1003@ridgewoodcollegiate.ca,Social Studies,History Teacher,84000,Year,Exempt,2017-10-07,false
1004,ridgewood-001,Nina,Dupont,nina.dupont1004@ridgewoodcollegiate.ca,French,French Teacher,52000,Year,Exempt,2014-03-13,false
1005,ridgewood-001,Ravi,Vasquez,ravi.vasquez1005@ridgewoodcollegiate.ca,Physical Education,Athletics Coordinator,84000,Year,Exempt,2017-04-17,false
1006,ridgewood-001,Diego,Novak,diego.novak1006@ridgewoodcollegiate.ca,Arts,Visual Arts Teacher,72000,Year,Exempt,2024-06-30,false
1007,ridgewood-001,Lucia,Sharma,lucia.sharma1007@ridgewoodcollegiate.ca,Technology,Computer Studies Teacher,84000,Year,Exempt,2026-11-24,false
1008,ridgewood-001,Talia,Mensah,talia.mensah1008@ridgewoodcollegiate.ca,Guidance,Guidance Counsellor,91000,Year,Exempt,2023-10-13,false
1009,ridgewood-001,Maya,Bauer,maya.bauer1009@ridgewoodcollegiate.ca,Special Education,Education Assistant,61000,Year,Exempt,2011-12-08,false
1010,ridgewood-001,Lucia,Dupont,lucia.dupont1010@ridgewoodcollegiate.ca,Office Administration,Attendance Secretary,52000,Year,Exempt,2019-02-07,false
1012,ridgewood-001,Yuki,Hernandez,yuki.hernandez1012@ridgewoodcollegiate.ca,English,English Teacher,84000,Year,Exempt,2024-12-08,false
1013,ridgewood-001,Leah,Bello,leah.bello1013@ridgewoodcollegiate.ca,Mathematics,Numeracy Lead Teacher,47000,Year,Exempt,2020-01-08,false
