id,employee_id,job_title,rate,payment_unit,flsa_status,effective_date
8000,1000,English Teacher,68000,Year,Exempt,2019-01-23
8001,1001,Numeracy Lead Teacher,96000,Year,Exempt,2015-08-11
8002,1002,Science Teacher,52000,Year,Exempt,2019-12-05
8003,1003,History Teacher,84000,Year,Exempt,2017-10-07
8004,1004,French Teacher,52000,Year,Exempt,2014-03-13
8005,1005,Athletics Coordinator,84000,Year,Exempt,2017-04-17
8006,1006,Visual Arts Teacher,72000,Year,Exempt,2024-06-30
8007,1007,Computer Studies Teacher,84000,Year,Exempt,2026-11-24
8008,1008,Guidance Counsellor,91000,Year,Exempt,2023-10-13
8009,1009,Education Assistant,61000,Year,Exempt,2011-12-08
8010,1010,Attendance Secretary,52000,Year,Exempt,2019-02-07
8011,1012,English Teacher,84000,Year,Exempt,2024-12-08
8012,1013,Numeracy Lead Teacher,47000,Year,Exempt,2020-01-08
8013,1014,Science Teacher,84000,Year,Exempt,2022-06-18
8014,1015,History Teacher,72000,Year,Exempt,2015-10-20
8015,1016,French Teacher,61000,Year,Exempt,2021-08-13
8016,1017,Athletics Coordinator,68000,Year,Exempt,2024-11-17
8017,1018,Visual Arts Teacher,52000,Year,Exempt,2025-06-23
8018,1019,Computer Studies Teacher,79000,Year,Exempt,2017-12-06
8019,1020,Guidance Counsellor,91000,Year,Exempt,2024-06-30
8020,1021,Education Assistant,52000,Year,Exempt,2021-05-03
8021,1022,Attendance Secretary,61000,Year,Exempt,2024-06-05
8022,1023,Maintenance Technician,61000,Year,Exempt,2017-02-26
8023,1024,English Teacher,91000,Year,Exempt,2018-04-18
8024,1025,Numeracy Lead Teacher,91000,Year,Exempt,2014-03-27
8025,1026,Science Teacher,91000,Year,Exempt,2013-10-01
8026,1027,History Teacher,96000,Year,Exempt,2025-08-03
8027,1028,French Teacher,52000,Year,Exempt,2013-09-28
8028,1029,Athletics Coordinator,96000,Year,Exempt,2020-02-09
8029,1030,Visual Arts Teacher,68000,Year,Exempt,2018-08-30
8030,1031,Computer Studies Teacher,52000,Year,Exempt,2017-02-23
8031,1032,Guidance Counsellor,84000,Year,Exempt,2023-05-04
8032,1033,Education Assistant,68000,Year,Exempt,2023-07-17
8033,1034,Attendance Secretary,47000,Year,Exempt,2024-10-14
8034,1035,Maintenance Technician,84000,Year,Exempt,2023-08-18
8035,1036,English Teacher,79000,Year,Exempt,2024-03-01
8036,1037,Numeracy Lead Teacher,52000,Year,Exempt,2019-02-21
8037,1038,Science Teacher,68000,Year,Exempt,2022-10-01
8038,1039,History Teacher,91000,Year,Exempt,2019-03-30
8039,1040,French Teacher,68000,Year,Exempt,2018-06-29
8040,1041,Athletics Coordinator,72000,Year,Exempt,2020-01-05
8041,1042,Visual Arts Teacher,84000,Year,Exempt,2024-12-31
8042,1043,Computer Studies Teacher,96000,Year,Exempt,2022-12-08
8043,1044,Guidance Counsellor,91000,Year,Exempt,2016-12-12
8044,1045,Education Assistant,68000,Year,Exempt,2023-10-27
8045,1046,Attendance Secretary,47000,Year,Exempt,2019-10-02
8046,1047,Maintenance Technician,52000,Year,Exempt,2022-11-02
8047,1048,English Teacher,84000,Year,Exempt,2016-10-19
8048,1049,Numeracy Lead Teacher,52000,Year,Exempt,2024-01-25
8049,1050,Science Teacher,84000,Year,Exempt,2012-03-02
8050,1051,History Teacher,61000,Year,Exempt,2017-03-13
8051,1052,French Teacher,84000,Year,Exempt,2015-05-29
8052,1053,Athletics Coordinator,47000,Year,Exempt,2019-05-21
8053,1054,Visual Arts Teacher,79000,Year,Exempt,2022-04-17
8054,1055,Computer Studies Teacher,84000,Year,Exempt,2016-07-28
8055,1056,Guidance Counsellor,96000,Year,Exempt,2014-01-29
8056,1057,Education Assistant,68000,Year,Exempt,2015-02-05
8057,1058,Attendance Secretary,72000,Year,Exempt,2021-07-18
8058,1059,Maintenance Technician,84000,Year,Exempt,2015-03-28
8059,1060,English Teacher,91000,Year,Exempt,2023-10-05
8060,1061,Numeracy Lead Teacher,96000,Year,Exempt,2022-06-06
8061,1062,Science Teacher,47000,Year,Exempt,2017-10-01
8062,1063,History Teacher,96000,Year,Exempt,2012-03-19
8063,1064,French Teacher,68000,Year,Exempt,2013-03-21
8064,1065,Athletics Coordinator,72000,Year,Exempt,2012-01-13
8065,1066,Visual Arts Teacher,91000,Year,Exempt,2021-10-08
8066,1067,Computer Studies Teacher,58000,Year,Exempt,2020-08-25
8067,1068,Guidance Counsellor,47000,Year,Exempt,2014-04-09
8068,1069,Education Assistant,52000,Year,Exempt,2015-08-05
8069,1070,Attendance Secretary,96000,Year,Exempt,2016-06-28
8070,1071,Maintenance Technician,61000,Year,Exempt,2017-10-19
8071,1072,English Teacher,58000,Year,Exempt,2014-04-05
8072,1073,Numeracy Lead Teacher,84000,Year,Exempt,2020-08-04
8073,1074,Science Teacher,96000,Year,Exempt,2013-04-01
8074,1075,History Teacher,52000,Year,Exempt,2012-08-26
8075,1076,French Teacher,61000,Year,Exempt,2014-10-15
8076,1077,Athletics Coordinator,68000,Year,Exempt,2024-02-27
8077,1078,Visual Arts Teacher,61000,Year,Exempt,2020-12-24
8078,1079,Computer Studies Teacher,79000,Year,Exempt,2019-08-27
8079,1080,Guidance Counsellor,84000,Year,Exempt,2012-07-19
8080,1081,Education Assistant,58000,Year,Exempt,2014-12-19
8081,1082,Attendance Secretary,47000,Year,Exempt,2017-03-20
8082,1083,Maintenance Technician,79000,Year,Exempt,2011-10-20
8083,1084,English Teacher,47000,Year,Exempt,2015-07-24
8084,1085,Numeracy Lead Teacher,47000,Year,Exempt,2019-01-06
8085,1086,Science Teacher,61000,Year,Exempt,2016-03-08
8086,1087,History Teacher,52000,Year,Exempt,2019-05-25
8087,1088,French Teacher,91000,Year,Exempt,2011-11-06
8088,1089,Athletics Coordinator,68000,Year,Exempt,2016-05-09
8089,1090,Visual Arts Teacher,91000,Year,Exempt,2015-10-09
8090,1091,Computer Studies Teacher,52000,Year,Exempt,2021-10-23
8091,1092,Guidance Counsellor,91000,Year,Exempt,2022-06-27
8092,1093,Education Assistant,72000,Year,Exempt,2025-11-11
8093,1094,Attendance Secretary,72000,Year,Exempt,2016-05-30
8094,1095,Maintenance Technician,96000,Year,Exempt,2022-10-30
8095,1096,English Teacher,96000,Year,Exempt,2019-07-02
8096,1097,Numeracy Lead Teacher,52000,Year,Exempt,2015-10-21
8097,1098,Science Teacher,84000,Year,Exempt,2013-12-13
8098,1099,History Teacher,68000,Year,Exempt,2025-05-05
8099,1100,French Teacher,61000,Year,Exempt,2025-04-04
8100,1101,Athletics Coordinator,79000,Year,Exempt,2016-07-11
8101,1102,Visual Arts Teacher,58000,Year,Exempt,2017-04-21
8102,1103,Computer Studies Teacher,47000,Year,Exempt,2018-02-24
8103,1104,Guidance Counsellor,68000,Year,Exempt,2011-12-30
8104,1105,Education Assistant,84000,Year,Exempt,2024-01-25
8105,1106,Attendance Secretary,84000,Year,Exempt,2022-07-10
8106,1107,Maintenance Technician,96000,Year,Exempt,2019-09-11
8107,1108,English Teacher,47000,Year,Exempt,2021-10-02
8108,1109,Numeracy Lead Teacher,68000,Year,Exempt,2016-08-27
8109,1110,Science Teacher,79000,Year,Exempt,2022-09-06
8110,1111,History Teacher,84000,Year,Exempt,2023-09-27
8111,1112,French Teacher,52000,Year,Exempt,2024-02-07
8112,1113,Athletics Coordinator,52000,Year,Exempt,2019-03-02
8113,1114,Visual Arts Teacher,72000,Year,Exempt,2012-05-23
8114,1115,Computer Studies Teacher,61000,Year,Exempt,2013-07-17
8115,1116,Guidance Counsellor,91000,Year,Exempt,2020-12-20
8116,1117,Education Assistant,84000,Year,Exempt,2024-12-21
8117,1118,Attendance Secretary,91000,Year,Exempt,2023-12-23
8118,1119,Maintenance Technician,47000,Year,Exempt,2024-05-30
8119,1120,English Teacher,96000,Year,Exempt,2016-06-27
8120,1121,Numeracy Lead Teacher,84000,Year,Exempt,2017-05-13
8121,1122,Science Teacher,58000,Year,Exempt,2019-03-04
8122,1123,History Teacher,68000,Year,Exempt,2013-09-19
8123,1124,French Teacher,47000,Year,Exempt,2017-03-11
8124,1125,Athletics Coordinator,91000,Year,Exempt,2020-04-07
8125,1126,Visual Arts Teacher,72000,Year,Exempt,2022-08-11
8126,1127,Computer Studies Teacher,61000,Year,Exempt,2025-11-15
8127,1128,Guidance Counsellor,79000,Year,Exempt,2020-02-15
8128,1129,Education Assistant,58000,Year,Exempt,2021-03-14
8129,1130,Attendance Secretary,72000,Year,Exempt,2012-01-21
8130,1131,Maintenance Technician,84000,Year,Exempt,2019-03-03
8131,1132,English Teacher,91000,Year,Exempt,2015-06-25
8132,1133,Numeracy Lead Teacher,47000,Year,Exempt,2022-03-16
8133,1134,Science Teacher,52000,Year,Exempt,2013-07-07
8134,1135,History Teacher,79000,Year,Exempt,2022-12-04
8135,1136,French Teacher,91000,Year,Exempt,2013-10-28
8136,1137,Athletics Coordinator,52000,Year,Exempt,2026-02-20
8137,1138,Visual Arts Teacher,68000,Year,Exempt,2022-11-25
8138,1139,Computer Studies Teacher,96000,Year,Exempt,2013-03-25
