id,company_id,first_name,last_name,business_name,type,email,hourly_rate,wage_type,start_date
9500,ridgewood-001,Aisha,Vasquez,Northline Tutoring,Business,aisha.vasquez@northline-tutoring.ca,65,Hourly,2025-09-01
9501,ridgewood-001,Sofia,Patel,Maple Music Instruction,Business,sofia.patel@maple-music-instruction.ca,65,Hourly,2025-09-10
9502,ridgewood-001,Emma,Kowalski,ClearPath Counselling,Business,emma.kowalski@clearpath-counselling.ca,95,Hourly,2025-09-19
9503,ridgewood-001,Olivia,Murphy,GreenLeaf Grounds,Business,olivia.murphy@greenleaf-grounds.ca,75,Hourly,2025-09-28
9504,ridgewood-001,Ava,Kim,BrightWave AV,Business,ava.kim@brightwave-av.ca,95,Hourly,2025-10-07
9505,ridgewood-001,Isabella,Sharma,Summit Coaching,Business,isabella.sharma@summit-coaching.ca,45,Hourly,2025-10-16
9506,ridgewood-001,Mia,Osei,Harbour Translation,Business,mia.osei@harbour-translation.ca,75,Hourly,2025-10-25
9507,ridgewood-001,Amara,Larsson,Cedar IT Support,Business,amara.larsson@cedar-it-support.ca,55,Hourly,2025-11-03
9508,ridgewood-001,Wei,Costa,Aurora Catering,Business,wei.costa@aurora-catering.ca,85,Hourly,2025-11-12
9509,ridgewood-001,Hassan,Tremblay,Trailhead Field Trips,Business,hassan.tremblay@trailhead-field-trips.ca,55,Hourly,2025-11-21
9510,ridgewood-001,Daniel,Fernandez,Northline Tutoring,Business,daniel.fernandez@northline-tutoring.ca,65,Hourly,2025-11-30
9511,ridgewood-001,Marcus,Sullivan,Maple Music Instruction,Business,marcus.sullivan@maple-music-instruction.ca,95,Hourly,2025-12-09
9512,ridgewood-001,Omar,Cohen,ClearPath Counselling,Business,omar.cohen@clearpath-counselling.ca,85,Hourly,2025-12-18
9513,ridgewood-001,Kwame,Hernandez,GreenLeaf Grounds,Business,kwame.hernandez@greenleaf-grounds.ca,45,Hourly,2025-12-27
9514,ridgewood-001,Ravi,Lindqvist,BrightWave AV,Business,ravi.lindqvist@brightwave-av.ca,95,Hourly,2026-01-05
9515,ridgewood-001,Tariq,Bello,Summit Coaching,Business,tariq.bello@summit-coaching.ca,75,Hourly,2026-01-14
9516,ridgewood-001,Carlos,Vasquez,Harbour Translation,Business,carlos.vasquez@harbour-translation.ca,85,Hourly,2026-01-23
9517,ridgewood-001,Eduardo,Patel,Cedar IT Support,Business,eduardo.patel@cedar-it-support.ca,95,Hourly,2026-02-01
9518,ridgewood-001,Patricia,Kowalski,Aurora Catering,Business,patricia.kowalski@aurora-catering.ca,45,Hourly,2026-02-10
9519,ridgewood-001,Grace,Murphy,Trailhead Field Trips,Business,grace.murphy@trailhead-field-trips.ca,55,Hourly,2026-02-19
9520,ridgewood-001,Simon,Kim,Northline Tutoring,Business,simon.kim@northline-tutoring.ca,65,Hourly,2026-02-28
9521,ridgewood-001,Anton,Sharma,Maple Music Instruction,Business,anton.sharma@maple-music-instruction.ca,65,Hourly,2026-03-09
9522,ridgewood-001,Hiro,Osei,ClearPath Counselling,Business,hiro.osei@clearpath-counselling.ca,85,Hourly,2026-03-18
9523,ridgewood-001,Kofi,Larsson,GreenLeaf Grounds,Business,kofi.larsson@greenleaf-grounds.ca,55,Hourly,2026-03-27
9524,ridgewood-001,Victor,Costa,BrightWave AV,Business,victor.costa@brightwave-av.ca,75,Hourly,2026-04-05
9525,ridgewood-001,Sam,Tremblay,Summit Coaching,Business,sam.tremblay@summit-coaching.ca,75,Hourly,2026-04-14
9526,ridgewood-001,Owen,Fernandez,Harbour Translation,Business,owen.fernandez@harbour-translation.ca,45,Hourly,2026-04-23
9527,ridgewood-001,Bruno,Sullivan,Cedar IT Support,Business,bruno.sullivan@cedar-it-support.ca,85,Hourly,2026-05-02
9528,ridgewood-001,Idris,Cohen,Aurora Catering,Business,idris.cohen@aurora-catering.ca,95,Hourly,2026-05-11
9529,ridgewood-001,Reza,Hernandez,Trailhead Field Trips,Business,reza.hernandez@trailhead-field-trips.ca,45,Hourly,2026-05-20
9530,ridgewood-001,Aisha,Lindqvist,Northline Tutoring,Business,aisha.lindqvist@northline-tutoring.ca,85,Hourly,2026-05-29
9531,ridgewood-001,Sofia,Bello,Maple Music Instruction,Business,sofia.bello@maple-music-instruction.ca,85,Hourly,2026-06-07
