id,channel_id,team_id,from_user_id,from_display_name,content,content_type,importance,created_date
mm_0000,mc_001,mt_001,natasha,Courtney Harper,Message content 0,text,normal,2026-08-10T20:00:00Z
mm_0001,mc_001,mt_001,natasha,Denise Holt,Message content 1,text,normal,2026-08-24T20:00:00Z
mm_0002,mc_001,mt_001,natasha,Courtney Harper,Message content 2,text,normal,2026-09-18T20:00:00Z
mm_0003,mc_001,mt_001,natasha,Natasha Okonkwo,Message content 3,text,normal,2026-08-10T20:00:00Z
mm_0004,mc_001,mt_001,natasha,Natasha Okonkwo,Message content 4,text,normal,2026-08-17T20:00:00Z
mm_0005,mc_001,mt_001,courtney,Natasha Okonkwo,Message content 5,text,normal,2026-08-16T20:00:00Z
mm_0006,mc_001,mt_001,natasha,Denise Holt,Message content 6,text,normal,2026-09-19T20:00:00Z
mm_0007,mc_001,mt_001,denise,Natasha Okonkwo,Message content 7,text,normal,2026-09-28T20:00:00Z
mm_0008,mc_001,mt_001,courtney,Denise Holt,Message content 8,text,normal,2026-07-17T20:00:00Z
mm_0009,mc_001,mt_001,natasha,Courtney Harper,Message content 9,text,normal,2026-10-09T20:00:00Z
mm_0010,mc_001,mt_001,denise,Denise Holt,Message content 10,text,normal,2026-09-30T20:00:00Z
mm_0011,mc_001,mt_001,courtney,Denise Holt,Message content 11,text,normal,2026-10-07T20:00:00Z
mm_0012,mc_001,mt_001,natasha,Courtney Harper,Message content 12,text,normal,2026-08-04T20:00:00Z
mm_0013,mc_001,mt_001,courtney,Natasha Okonkwo,Message content 13,text,normal,2026-09-19T20:00:00Z
mm_0014,mc_001,mt_001,denise,Denise Holt,Message content 14,text,normal,2026-07-27T20:00:00Z
mm_0015,mc_001,mt_001,denise,Natasha Okonkwo,Message content 15,text,normal,2026-08-29T20:00:00Z
mm_0016,mc_001,mt_001,natasha,Natasha Okonkwo,Message content 16,text,normal,2026-08-06T20:00:00Z
mm_0017,mc_001,mt_001,natasha,Courtney Harper,Message content 17,text,normal,2026-09-01T20:00:00Z
mm_0018,mc_001,mt_001,denise,Courtney Harper,Message content 18,text,normal,2026-09-29T20:00:00Z
mm_0019,mc_001,mt_001,denise,Courtney Harper,Message content 19,text,normal,2026-08-28T20:00:00Z
mm_0020,mc_001,mt_001,natasha,Natasha Okonkwo,Message content 20,text,normal,2026-07-19T20:00:00Z
mm_0021,mc_001,mt_001,denise,Denise Holt,Message content 21,text,normal,2026-10-08T20:00:00Z
mm_0022,mc_001,mt_001,courtney,Courtney Harper,Message content 22,text,normal,2026-08-18T20:00:00Z
mm_0023,mc_001,mt_001,natasha,Denise Holt,Message content 23,text,normal,2026-08-17T20:00:00Z
mm_0024,mc_001,mt_001,natasha,Denise Holt,Message content 24,text,normal,2026-07-21T20:00:00Z
mm_0025,mc_001,mt_001,natasha,Courtney Harper,Message content 25,text,normal,2026-07-13T20:00:00Z
mm_0026,mc_001,mt_001,natasha,Denise Holt,Message content 26,text,normal,2026-08-28T20:00:00Z
mm_0027,mc_001,mt_001,denise,Natasha Okonkwo,Message content 27,text,normal,2026-09-23T20:00:00Z
mm_0028,mc_001,mt_001,courtney,Denise Holt,Message content 28,text,normal,2026-09-26T20:00:00Z
mm_0029,mc_001,mt_001,courtney,Natasha Okonkwo,Message content 29,text,normal,2026-07-25T20:00:00Z
mm_0030,mc_001,mt_001,denise,Denise Holt,Message content 30,text,normal,2026-07-28T20:00:00Z
mm_0031,mc_001,mt_001,denise,Courtney Harper,Message content 31,text,normal,2026-07-15T20:00:00Z
mm_0032,mc_001,mt_001,natasha,Courtney Harper,Message content 32,text,normal,2026-08-26T20:00:00Z
mm_0033,mc_001,mt_001,courtney,Natasha Okonkwo,Message content 33,text,normal,2026-07-16T20:00:00Z
mm_0034,mc_001,mt_001,denise,Denise Holt,Message content 34,text,normal,2026-08-18T20:00:00Z
mm_0035,mc_001,mt_001,courtney,Natasha Okonkwo,Message content 35,text,normal,2026-10-09T20:00:00Z
mm_0036,mc_001,mt_001,courtney,Natasha Okonkwo,Message content 36,text,normal,2026-07-24T20:00:00Z
mm_0037,mc_001,mt_001,natasha,Courtney Harper,Message content 37,text,normal,2026-08-28T20:00:00Z
mm_0038,mc_001,mt_001,natasha,Denise Holt,Message content 38,text,normal,2026-09-20T20:00:00Z
mm_0039,mc_001,mt_001,denise,Courtney Harper,Message content 39,text,normal,2026-07-19T20:00:00Z
mm_0040,mc_001,mt_001,natasha,Natasha Okonkwo,Message content 40,text,normal,2026-07-21T20:00:00Z
mm_0041,mc_001,mt_001,natasha,Denise Holt,Message content 41,text,normal,2026-07-20T20:00:00Z
mm_0042,mc_001,mt_001,denise,Denise Holt,Message content 42,text,normal,2026-08-08T20:00:00Z
mm_0043,mc_001,mt_001,courtney,Courtney Harper,Message content 43,text,normal,2026-07-29T20:00:00Z
mm_0044,mc_001,mt_001,denise,Denise Holt,Message content 44,text,normal,2026-10-03T20:00:00Z
mm_0045,mc_001,mt_001,denise,Denise Holt,Message content 45,text,normal,2026-08-01T20:00:00Z
mm_0046,mc_001,mt_001,denise,Natasha Okonkwo,Message content 46,text,normal,2026-08-15T20:00:00Z
mm_0047,mc_001,mt_001,courtney,Natasha Okonkwo,Message content 47,text,normal,2026-07-28T20:00:00Z
mm_0048,mc_001,mt_001,natasha,Natasha Okonkwo,Message content 48,text,normal,2026-09-24T20:00:00Z
mm_0049,mc_001,mt_001,denise,Natasha Okonkwo,Message content 49,text,normal,2026-08-17T20:00:00Z
mm_0050,mc_001,mt_001,denise,Natasha Okonkwo,Message content 50,text,normal,2026-09-14T20:00:00Z
mm_0051,mc_001,mt_001,natasha,Courtney Harper,Message content 51,text,normal,2026-07-22T20:00:00Z
